安定珠	an ding zhu
白虹剑	bai hong jian
白虹一线	bai hong yi xian
白虎印	bai hu yin
暴风犬	bao feng quan
迸辉期	beng hui qi
彼岸花开	bi an hua kai
毕方纹核	bi fang wen he
碧泉石流	bi quan shi liu
碧玉花	bi yu hua
不归刃	bu gui ren
步圣境	bu sheng jing
彩桥高悬格	cai qiao gao xuan ge
沧海月	cang hai yue
称帝境	cheng di jing
程千	cheng qian
成域期	cheng yu qi
传承帝纹	chuan cheng di wen
穿梭	chuan suo
刺穿	ci chuan
葱郁锦簇	cong yu jin cu
地心紫炎	di xin zi yan
地狱召唤	di yu zhao huan
洞悉	dong xi
渡空	du kong
堕落土	duo luo tu
二花	er hua
二手消形	er shou xiao xing
繁花	fan hua
繁星捧月格	fan xing peng yue ge
繁星入海	fan xing ru hai
芬居村	fen ju cun
风掣雷行	feng che lei xing
冯尘	feng chen
封禁	feng jin
风卷残云	feng juan can yun
冯星阁	feng xing ge
冯泽	feng ze
腐血魔蛛	fu xue mo zhu
阁主	ge zhu
庚雪松	geng xue song
孤芳迎寒	gu fang ying han
谷主	gu zhu
挂月期	gua yue qi
厚土玄纹	hou tu xuan wen
化碑期	hua bei qi
幻蝶	huan die
幻影	huan ying
煌煌大日塔	huang huang da ri ta
回春竖纹	hui chun shu wen
慧通	hui tong
霍莲	huo lian
霍锐瀚	huo rui han
霍溪	huo xi
极向离明格	ji xiang li ming ge
极渊厚土阵	ji yuan hou tu zhen
急骤狂暴纹	ji zhou kuang bao wen
姜星阑	jiang xing lan
金灿光辉	jin can guang hui
禁寂灭雷纹	jin ji mie lei wen
浸染温润	jin ran wen run
靳圣	jin sheng
金鱼盾纹	jin yu dun wen
静宸昆木纹	jing chen kun mu wen
镜花水月	jing hua shui yue
精晶灵纹	jing jing ling wen
九龙聚首	jiu long ju shou
九龙纹	jiu long wen
九尾天狐	jiu wei tian hu
九霄云宫	jiu xiao yun gong
九元纳虚	jiu yuan na xu
九足金乌	jiu zu jin wu
聚源期	ju yuan qi
倦鸟归巢	juan niao gui chao
绝巅玄冰纹	jue dian xuan bing wen
君临天下	jun lin tian xia
夔牛	kui niu
朗夜巨耀	lang ye ju yao
炼魂期	lian hun qi
两仪玄风	liang yi xuan feng
廖妙嫣	liao miao yan
裂形	lie xing
凛冽之痕	lin lie zhi hen
林天	lin tian
林虚瀚	lin xu han
林虚远	lin xu yuan
凌奉	ling feng
灵魂剥离	ling hun bo li
凌霜傲雪	ling shuang ao xue
六手摘月	liu shou zhai yue
镂月载云	lou yue zai yun
落泉水	luo quan shui
梦蝶触纹	meng die chu wen
灭雷纹	mie lei wen
铭纹技	ming wen ji
铭纹师	ming wen shi
铭纹兽	ming wen shou
铭纹物	ming wen wu
铭纹异象	ming wen yi xiang
明珠出海格	ming zhu chu hai ge
末路接引	mo lu jie yin
慕长昱	mu chang yu
穆冉谷	mu ran gu
穆学丰	mu xue feng
纳虚	na xu
南宫妙嫣	nan gong miao yan
内峰	nei feng
拟邸期	ni di qi
凝纹期	ning wen qi
凝香纹	ning xiang wen
劈天裂地纹	pi tian lie di wen
破空纹	po kong wen
麒麟印	qi lin yin
齐世	qi shi
七手陨星	qi shou yun xing
轻灵纹	qing ling wen
青龙印	qing long yin
清幽皓月纹	qing you hao yue wen
琼楼玉宇	qiong lou yu yu
邱嘉祥	qiu jia xiang
曲径通幽	qu jing tong you
日出扶桑格	ri chu fu sang ge
日月并明	ri yue bing ming
日月辉映	ri yue hui ying
日月同辉格	ri yue tong hui ge
融鹏翼	rong peng yi
融睿宗	rong rui zong
融心期	rong xin qi
柔金柳	rou jin liu
柔金柳纹	rou jin liu wen
入体期	ru ti qi
三梵冰丝纹	san fan bing si wen
三梵冰猿	san fan bing yuan
三花	san hua
三手破魂	san shou po hun
杀破狼	sha po lang
沈鸿祯	shen hong zhen
升日期	sheng ri qi
十大绝世命格	shi da jue shi ming ge
时间流速	shi jian liu su
嗜血暝纹	shi xue ming wen
石中隐玉格	shi zhong yin yu ge
守护金阵	shou hu jin zhen
曙光初露	shu guang chu lu
霜飞莲	shuang fei lian
四方天	si fang tian
司马兴延	si ma xing yan
四手湮灭	si shou yan mie
塑尊境	su zun jing
碎雷	sui lei
碎雷幻影	sui lei huan ying
索晨	suo chen
锁系	suo xi
踏影	ta ying
太乙玄纹	tai yi xuan wen
天煞孤星	tian sha gu xing
通天峰	tong tian feng
通天印	tong tian yin
通宇梅	tong yu mei
脱凡境	tuo fan jing
拓纹师	tuo wen shi
拓纹型师	tuo wen xing shi
拓纹阵师	tuo wen zhen shi
外峰	wai feng
万峰攒簇	wan feng cuan cu
万化镇土纹	wan hua zhen tu wen
万马奔腾	wan ma ben teng
亡命丧钟	wang ming sang zhong
忘忧血海	wang you xue hai
雯静槐	wen jing huai
纹型	wen xing
纹幽冥河纹	wen you ming he wen
纹阵	wen zhen
悟道期	wu dao qi
无痕	wu hen
五手裂地	wu shou lie di
五天帝圣纹	wu tian di sheng wen
伍烨霖	wu ye lin
夏宛菡	xia wan han
肖斌蔚	xiao bin wei
小桥流水	xiao qiao liu shui
玄合极风	xuan he ji feng
玄极落金纹	xuan ji luo jin wen
炫目槐纹	xuan mu huai wen
玄武印	xuan wu yin
悬星期	xuan xing qi
血染长穹	xue ran chang qiong
阎丰门	yan feng men
阎建业	yan jian ye
衍纹期	yan wen qi
阎懿轩	yan yi xuan
仰绮菱	yang qi ling
一花	yi hua
一手封喉	yi shou feng hou
银河卧空	yin he wo kong
殷弘新	yin hong xin
引渠期	yin qu qi
幽冥血海	you ming xue hai
幽冥真水纹	you ming zhen shui wen
悠然入梦	you ran ru meng
育道镜	yu dao jing
御空印	yu kong yin
御宵雷纹	yu xiao lei wen
虞秀	yu xiu
俞雨梅	yu yu mei
袁计	yuan ji
元穹缲火纹	yuan qiong sao huo wen
月生沧海	yue sheng cang hai
陨星雷手	yun xing lei shou
斩地剑	zhan di jian
折迹	zhe ji
镇霄域纹	zhen xiao yu wen
执事	zhi shi
治愈鸟	zhi yu niao
朱雀印	zhu que yin
朱霞万道	zhu xia wan dao
灼炎大日纹	zhuo yan da ri wen
紫府同宫格	zi fu tong gong ge
紫极皇木	zi ji huang mu
紫炎剑	zi yan jian
宗主	zong zhu
