爱心飞镖	ai xin fei biao
爱心花粉	ai xin hua fen
暗影蝠	an ying fu
宝石花园	bao shi hua yuan
冰封	bing feng
冰公主	bing gong zhu
冰极白熊	bing ji bai xiong
冰晶宫	bing jing gong
冰雪暴	bing xue bao
冰锥术	bing zhui shu
陈思思	chen si si
翠竹轩	cui zhu xuan
缔结契约	di jie qi yue
电闪雷鸣	dian shan lei ming
毒宝章鱼	du bao zhang yu
毒痕	du hen
毒夕菲	du xi fei
毒溪流	du xi liu
菲灵仙子	fei ling xian zi
飞翼兽	fei yi shou
封银沙	feng yin sha
高级法术	gao ji fa shu
高泰明	gao tai ming
怪兽军团	guai shou jun tuan
光仙子	guang xian zi
海啸	hai xiao
海震	hai zhen
黑暗齐娜	hei an qi na
黑孔雀	hei kong que
黑香菱	hei xiang ling
花海潮	hua hai chao
花蕾城堡	hua lei cheng bao
黄金剑	huang jin jian
荒石	huang shi
火荆棘	huo jing ji
火睛眸	huo jing mou
火领主	huo ling zhu
火焰峡谷	huo yan xia gu
火焰之力	huo yan zhi li
建鹏	jian peng
金骨鸟	jin gu niao
金火狂狮	jin huo kuang shi
禁忌之地	jin ji zhi di
金璃瞳	jin li tong
金狮之力	jin shi zhi li
金王子	jin wang zi
金银雨	jin yin yu
镜空间	jing kong jian
静水湖	jing shui hu
镜像	jing xiang
镜阵	jing zhen
静止时间	jing zhi shi jian
镜子的两面	jing zi de liang mian
孔雀的羽毛	kong que de yu mao
孔雀仙子	kong que xian zi
孔雀之吻	kong que zhi wen
雷电之力	lei dian zhi li
雷电尊者	lei dian zun zhe
雷霆轩	lei ting xuan
亮彩仙子	liang cai xian zi
灵公主	ling gong zhu
罗丽仙子	luo li xian zi
曼多拉	man duo la
曼多拉女王	man duo la nv wang
美情兔	mei qing tu
梦公主	meng gong zhu
梦境乾坤	meng jing qian kun
梦境之力	meng jing zhi li
梦术	meng shu
梦夜猫	meng ye mao
梦艺	meng yi
命运之书	ming yun zhi shu
茉莉仙子	mo li xian zi
莫纱	mo sha
庞尊	pang zun
七彩麋鹿	qi cai mi lu
七彩尾护	qi cai wei hu
齐娜	qi na
千年之力	qian nian zhi li
情感之力	qing gan zhi li
情公主	qing gong zhu
清溪峡谷	qing xi xia gu
情语塔	qing yu ta
生的灵生的魂	sheng de ling sheng de hun
圣火玫瑰	sheng huo mei gui
十法相	shi fa xiang
时间长河	shi jian chang he
时间倒流	shi jian dao liu
时间法术	shi jian fa shu
时间使者	shi jian shi zhe
十万伏	shi wan fu
时希公主	shi xi gong zhu
石像术	shi xiang shu
舒言	shu yan
水牢	shui lao
水龙	shui long
水龙卷	shui long juan
水清璃	shui qing li
水王子	shui wang zi
水之书	shui zhi shu
水之印	shui zhi yin
四时钟圣地	si shi zhong sheng di
塔罗牌	ta luo pai
提线木偶	ti xian mu ou
铁皮	tie pi
铁希	tie xi
王默	wang mo
喜怒哀乐悲恐惊	xi nu ai le bei kong jing
仙境银行	xian jing yin hang
小野叶	xiao ye ye
心力	xin li
辛灵店长	xin ling dian zhang
辛灵仙子	xin ling xian zi
颜爵	yan jue
叶罗丽	ye luo li
叶罗丽魔法	ye luo li mo fa
叶罗丽契约	ye luo li qi yue
叶罗丽娃娃	ye luo li wa wa
叶罗丽娃娃店	ye luo li wa wa dian
叶罗丽仙境	ye luo li xian jing
叶罗丽仙子	ye luo li xian zi
银杏王	yin xing wang
御王黎灰	yu wang li hui
植物的力量	zhi wu de li liang
