爱转	ai zhuan
巴比龙	ba bi long
必需品	bi xu pin
波特兰灯塔	bo te lan deng ta
不爱而别	bu ai er bie
不服	bu fu
虫儿飞	chong er fei
淡水河	dan shui he
蛋仔星派对	dan zai xing pai dui
等风吻你	deng feng wen ni
海风与晚星	hai feng yu wan xing
好人坏人	hao ren huai ren
黑白之间	hei bai zhi jian
灰姑娘	hui gu niang
连名带姓	lian ming dai xing
落笔成殇	luo bi cheng shang
梦归尽	meng gui jin
你的名字	ni de ming zi
你的情歌	ni de qing ge
你值得最好的	ni zhi de zui hao de
偏爱人间烟火	pian ai ren jian yan huo
漂流	piao liu
平行又交替	ping xing you jiao ti
其实也还好	qi shi ye hai hao
请不要给我安全感	qing bu yao gei wo an quan gan
清平乐	qing ping le
深信不疑	shen xin bu yi
是否我真的一无所有	shi fou wo zhen de yi wu suo you
失眠哲学	shi mian zhe xue
苏西的世界	su xi de shi jie
她觉得	ta jue de
万毒不侵	wan du bu qin
我们	wo men
我们的爱像夏天的风	wo men de ai xiang xia tian de feng
我们可能就这样	wo men ke neng jiu zhe yang
我想我不一样	wo xiang wo bu yi yang
星星	xing xing
拥抱你的心跳	yong bao ni de xin tiao
愉快纪念	yu kuai ji nian
余生有你	yu sheng you ni
月下	yue xia
云边	yun bian
自己	zi ji
