阿尔古达	a er gu da
阿弗特克拉特	a fu te ke la te
阿里斯特拉	a li si te la
艾德拉	ai de la
艾涅德拉	ai nie de la
奥寺常幸	ao si chang xing
巴德	ba de
巴虎太郎	ba hu tai lang
巴姆斯塔	ba mu si ta
白鹭	bai lu
半崎义人	ban qi yi ren
磅达	bang da
北添秀高	bei tian xiu gao
北添寻	bei tian xun
本部开发室长	ben bu kai fa shi zhang
本部长	ben bu zhang
本部长辅佐	ben bu zhang fu zuo
变换箱	bian huan xiang
变色龙	bian se long
冰见亚季	bing jian ya ji
丙秀英	bing xiu ying
藏内和纪	cang nei he ji
草壁队	cao bi dui
草壁早纪	cao bi zao ji
茶野队	cha ye dui
茶野真	cha ye zhen
常盘队	chang pan dui
常盘守	chang pan shou
城户正宗	cheng hu zheng zong
出水公平	chu shui gong ping
处刑者	chu xing zhe
船桥了午	chuan qiao le wu
窗之影	chuang zhi ying
带岛紫	dai dao zi
当真勇	dang zhen yong
德古	de gu
德克西亚	de ke xi ya
堤大地	di da di
蝶之盾	die zhi dun
东春秋	dong chun qiu
冬岛慎次	dong dao shen ci
东队	dong dui
毒蛇	du she
二宫队	er gong dui
二宫匡贵	er gong kuang gui
发射器	fa she qi
风间苍也	feng jian cang ye
风间队	feng jian dui
风间进	feng jian jin
风刃	feng ren
钢锥	gang zhui
藁之兵	gao zhi bing
歌川辽	ge chuan liao
根付荣藏	gen fu rong cang
弓场队	gong chang dui
弓场拓磨	gong chang tuo mo
古寺章平	gu si zhang ping
光魂	guang hun
鬼怒田本吉	gui nu tian ben ji
国近柚宇	guo jin you yu
海老名队	hai lao ming dui
海老名贵大	hai lao ming gui da
黑壁	hei bi
黑江双叶	hei jiang shuang ye
护城盾	hu cheng dun
弧月	hu yue
幻踊	huan yong
荒船队	huang chuan dui
荒船哲次	huang chuan zhe ci
黄蜂	huang feng
绘马让	hui ma rang
火蜥蜴	huo xi yi
吉昂	ji ang
吉里队	ji li dui
吉里雄一郎	ji li xiong yi lang
计良佳伸	ji liang jia shen
加古队	jia gu dui
加古望	jia gu wang
加贺美伦	jia he mei lun
加洛	jia luo
伽罗普拉	jia luo pu la
甲田队	jia tian dui
甲田照辉	jia tian zhao hui
间宫队	jian gong dui
间宫桂三	jian gong gui san
剑龙	jian long
樫尾由多嘉	jian wei you duo jia
结束夏凛	jie shu xia lin
久利	jiu li
鸠原未来	jiu yuan wei lai
菊地原士郎	ju di yuan shi lang
橘高羽矢	ju gao yu shi
卡尔瓦利亚	ka er wa li ya
空闲有吾	kong xian you wu
空闲游真	kong xian you zhen
拉比特	la bi te
拉德	la de
拉菲雷纳	la fei lei na
岚山队	lan shan dui
岚山准	lan shan zhun
雷欧弗利欧	lei ou fu li ou
雷普利卡	lei pu li ka
雷神丸	lei shen wan
雷之羽	lei zhi yu
利贝里	li bei li
里见一马	li jian yi ma
莉莉丝	li li si
鲤沼三弥	li zhao san mi
连接器	lian jie qi
猎犬	lie quan
林藤匠	lin teng jiang
林藤阳太郎	lin teng yang tai lang
林藤由莉	lin teng you li
绫辻遥	ling shi yao
流星	liu xing
卵之冠	luan zhi guan
罗德库隆	luo de ku long
绿川骏	lv chuan jun
迈克尔克罗宁	mai ke er ke luo ning
茂手木翔	mao shou mu xiang
梅丽莎	mei li sha
美诺埃迪斯	mei nuo ai di si
梅森	mei sen
媒体对策室长	mei ti dui ce shi zhang
米屋阳介	mi wu yang jie
莫尔默德	mo er mo de
魔光	mo guang
木虎蓝	mu hu lan
木崎礼治	mu qi li zhi
纳维斯	na wei si
那须队	na xu dui
那须玲	na xu ling
奈良坂透	nai liang ban tou
楠本葵	nan ben kui
南泽海	nan ze hai
尼仓亚澄	ni cang ya cheng
泥之王	ni zhi wang
佩尔古兰德	pei er gu lan de
片桐队	pian tong dui
片桐隆明	pian tong long ming
普涅乌拉	pu nie wu la
奇夫	qi fu
七尾叶月	qi wei ye yue
铅弹	qian dan
秦稔	qin ren
犬饲澄晴	quan si cheng qing
全武装	quan wu zhuang
人见摩子	ren jian mo zi
仁礼光	ren li guang
人事部部长	ren shi bu bu zhang
忍田瑠花	ren tian liu hua
忍田真史	ren tian zhen shi
日浦茜	ri pu qian
三轮队	san lun dui
三轮秀次	san lun xiu ci
三上歌步	san shang ge bu
三云修	san yun xiu
闪电	shan dian
神田忠臣	shen tian zhong chen
生驹达人	sheng ju da ren
生驹队	sheng ju dui
十仓惠	shi cang hui
柿崎队	shi qi dui
柿崎国治	shi qi guo zhi
辻新之助	shi xin zhi zhu
时枝充	shi zhi chong
首席工程师	shou xi gong cheng shi
双月	shuang yue
水上敏志	shui shang min zhi
水沼诚二	shui zhao cheng er
瞬间传送	shun jian chuan song
斯宾泰尔	si bin tai er
寺岛雷藏	si dao lei cang
斯克尔	si ke er
丝克尔发射器	si ke er fa she qi
斯皮鲁克	si pi lu ke
松代队	song dai dui
松代仁	song dai ren
穗刈笃	sui yi du
蓑衣虫	suo yi chong
太刀川队	tai dao chuan dui
太刀川庆	tai dao chuan qing
唐泽克己	tang ze ke ji
桃园藤一郎	tao yuan teng yi lang
藤丸乃乃	teng wan nai nai
藤泽树	teng ze shu
笹森日佐人	ti sen ri zuo ren
田屋麻美	tian wu ma mei
天羽月彦	tian yu yue yan
土崎祐也	tu qi you ye
推进器	tui jin qi
外冈一斗	wai gang yi dou
外务营业部长	wai wu ying ye bu chang
丸井星司	wan jing xing si
王子队	wang zi dui
王子一彰	wang zi yi zhang
韦驮天	wei tuo tian
唯我尊	wei wo zun
伪装信标	wei zhuang xin biao
舞蹈者	wu dao zhe
武富樱子	wu fu ying zi
乌丸京介	wu wan jing jie
喜多川真衣	xi duo chuan zhen yi
细井真织	xi jing zhen zhi
夏目出穗	xia mu chu sui
箱田正邦	xiang tian zheng bang
小荒井登	xiao huang jing deng
小南桐绘	xiao nan tong hui
小行星	xiao xing xing
小早川杏	xiao zao chuan xing
小佐野瑠衣	xiao zuo ye liu yi
蝎子	xie zi
星形标记	xing xing biao ji
星之杖	xing zhi zhang
熊谷友子	xiong gu you zi
休斯	xiu si
旋空	xuan kong
迅悠一	xun you yi
眼镜蛇	yan jing she
乙川由纪人	yi chuan you ji ren
伊鲁加	yi lu jia
伊米提特	yi mi ti te
一条雪丸	yi tiao xue wan
隐岐孝二	yin qi xiao er
影浦队	ying pu dui
影浦雅人	ying pu ya ren
幽影	you ying
玉狛第二	yu bo di er
玉狛第一	yu bo di yi
玉狛支部	yu bo zhi bu
宇都宫和歌	yu du gong he ge
宇井真登华	yu jing zhen deng hua
羽鸟步	yu niao bu
雨取千佳	yu qu qian jia
宇野隼人	yu ye sun ren
宇佐美栞	yu zuo mei kan
月见花绪	yue jian hua xu
月见莲	yue jian lian
早川队	zao chuan dui
早川悟	zao chuan wu
早乙女文史	zao yi nv wen shi
泽村响子	ze cun xiang zi
