埃及使者	ai ji shi zhe
暗痴汉	an chi han
暗武	an wu
奥义	ao yi
霸王眷龙	ba wang juan long
超雷龙	chao lei long
超量	chao liang
超再生	chao zai sheng
车斗	che dou
痴汉	chi han
齿轮齿轮齿轮	chi lun chi lun chi lun
充电池人	chong dian chi ren
创造	chuang zao
次时代水精灵	ci shi dai shui jing ling
大风	da feng
大岚	da lan
导游	dao you
帝龙	di long
电池人	dian chi ren
电子族	dian zi zu
董鸡	dong ji
董平	dong ping
豆娘	dou niang
毒蛾	du e
恶灵	e ling
发条	fa tiao
防火龙	fang huo long
废铁	fei tie
凤凰木	feng huang mu
孵化	fu hua
浮幽樱	fu you ying
副葬	fu zang
刚鬼	gang gui
古遗物	gu yi wu
馆长	guan zhang
光抽	guang chou
光枪	guang qiang
光天使	guang tian shi
光天星因	guang tian xing yin
汉诺	han nuo
汉诺的崇高力量	han nuo de chong gao li liang
黑洞	hei dong
黑圣枪	hei sheng qiang
黑天枪	hei tian qiang
黑羽抽	hei yu chou
幻变骚灵	huan bian sao ling
蝗虫	huang chong
黄蜂	huang feng
黄金柜	huang jin gui
黄再生	huang zai sheng
灰流丽	hui liu li
混充	hun chong
混沌	hun dun
混黑	hun hei
机壳	ji ke
激流	ji liu
祭品	ji pin
疾行机人	ji xing ji ren
甲虫	jia chong
加速人	jia su ren
剑斗兽	jian dou shou
将军树	jiang jun shu
角型	jiao xing
解放	jie fang
解禁	jie jin
进化帝	jin hua di
禁止	jin zhi
旧神	jiu shen
巨眼	ju yan
巨岩掌	ju yan zhang
铠甲人	kai jia ren
开辟	kai pi
凯撒	kai sa
科瑞森	ke rui sen
空母	kong mu
控制员	kong zhi yuan
蜡板	la ban
狼吠	lang fei
老希	lao xi
雷电	lei dian
雷海马	lei hai ma
连接	lian jie
灵摆	ling bai
灵峰	ling feng
零最大	ling zui da
流天	liu tian
龙谷	long gu
龙庙	long miao
龙祖	long zu
马斗	ma dou
码语者	ma yu zhe
米德拉什	mi de la shen
魔导	mo dao
魔科	mo ke
魔妖	mo yao
拿非利	na fei li
奈菲丝之引导者	nai fei si zhi yin dao zhe
奈芙缇丝的凤凰神	nai fu ti si de feng huang shen
奈落	nai luo
脑魔	nao mo
尼禄	ni lu
念动力	nian dong li
纽扣型	niu kou xing
瓢虫	piao chong
骑斗	qi dou
枪斗	qiang dou
人渣	ren zha
融合	rong he
三叉	san cha
森罗	sen luo
闪刀姬	shan dao ji
上级召唤	shang ji zhao huan
神警	shen jing
神判	shen pan
肾骑士	shen qi shi
神宣	shen xuan
神宣龙	shen xuan long
神忠	shen zhong
圣杯	sheng bei
圣防	sheng fang
牲祭	sheng ji
圣骑士	sheng qi shi
圣枪	sheng qiang
施舍	shi she
时钟龙	shi zhong long
手坑	shou keng
书士	shu shi
术士	shu shi
数学家	shu xue jia
水机	shui ji
水精鳞	shui jing lin
死灵	si ling
死灵师	si ling shi
死苏	si su
丝袜	si wa
死转	si zhuan
宋江	song jiang
锁鸟	suo niao
弹压	tan ya
淘气仙星	tao qi xian xing
天抽	tian chou
天罚龙	tian fa long
天狗	tian gou
天玑	tian ji
天士	tian shi
天枢	tian shu
天璇	tian xuan
同调	tong diao
蛙帝	wa di
王触	wang chu
王通	wang tong
屋敷童	wu fu tong
武库人	wu ku ren
溪谷	xi gu
先史遗产	xian shi yi chan
限制	xian zhi
小车	xiao che
小开辟	xiao kai pi
星骸	xing hai
星遗物	xing yi wu
星因士	xing yin shi
幸运	xing yun
旋风	xuan feng
杨志	yang zhi
业务用	ye wu yong
叶子	ye zi
遗物	yi wu
影孢子	ying bao zi
影依	ying yi
永火	yong huo
幽鬼兔	you gui tu
鱼斗	yu dou
娱乐伙伴	yu le huo ban
愚埋	yu mai
御用	yu yong
月书	yue shu
战车	zhan che
张天师	zhang tian shi
针虫	zhen chong
征龙	zheng long
指名者	zhi ming zhe
终末	zhong mo
朱诺	zhu nuo
转生炎兽	zhuan sheng yan shou
准限制	zhun xian zhi
自奏圣乐	zi zou sheng yue
