阿银	a yin
暗魔邪神虎	an mo xie shen hu
奥斯卡	ao si ka
八蛛矛	ba zhu mao
白沉香	bai chen xiang
白虎护身障	bai hu hu shen zhang
白虎金刚变	bai hu jin gang bian
白虎烈光波	bai hu lie guang bo
白虎流星雨	bai hu liu xing yu
白虎魔神变	bai hu mo shen bian
白虎破灭杀	bai hu po mie sha
白虎天雷灭	bai hu tian lei mie
白虎啸天击	bai hu xiao tian ji
白虎真身	bai hu zhen shen
半神	ban shen
暴雨梨花针	bao yu li hua zhen
比比东	bi bi dong
缠绕	chan rao
初级铁匠	chu ji tie jiang
大地蚁皇斩	da di yi huang zhan
大魂师	da hun shi
大明	da ming
戴沐白	dai mu bai
地穴魔蛛	di xue mo zhu
巅峰斗罗	dian feng dou luo
定力之破	ding li zhi po
独孤博	du gu bo
二明	er ming
封号斗罗	feng hao dou luo
佛怒唐莲	fo nu tang lian
高级铁匠	gao ji tie jiang
鬼藤	gui teng
鬼影迷踪	gui ying mi zong
海神八翼	hai shen ba yi
海神领域	hai shen ling yu
海神三叉戟	hai shen san cha ji
昊天锤	hao tian chui
昊天真身	hao tian zhen shen
毁灭之神	hui mie zhi shen
魂帝	hun di
魂斗罗	hun dou luo
魂骨	hun gu
魂环	hun huan
魂力	hun li
魂圣	hun sheng
魂士	hun shi
魂师	hun shi
魂王	hun wang
魂宗	hun zong
魂尊	hun zun
火元素神	huo yuan su shen
寄生	ji sheng
极限斗罗	ji xian dou luo
教皇	jiao huang
金丝魔网	jin si mo wang
控鹤擒龙	kong he qin long
孔雀翎	kong que ling
蓝电霸王龙	lan dian ba wang long
蓝昊王	lan hao wang
蓝银霸皇枪	lan yin ba huang qiang
蓝银霸王枪	lan yin ba wang qiang
蓝银草	lan yin cao
蓝银虎鲸镜之灭	lan yin hu jing jing zhi mie
蓝银皇	lan yin huang
蓝银领域	lan yin ling yu
蓝银囚笼	lan yin qiu long
蓝银天青龙之魂	lan yin tian qing long zhi hun
蓝银真身	lan yin zhen shen
六翼天使	liu yi tian shi
龙神	long shen
罗刹魔镰	luo cha mo lian
罗刹神	luo cha shen
马红俊	ma hong jun
曼陀罗蛇	man tuo luo she
魅惑	mei huo
魔鲸领域	mo jing ling yu
魔暝鹿	mo ming lu
逆天柔骨	ni tian rou gu
宁荣荣	ning rong rong
破坏神	po huai shen
千道流	qian dao liu
千钧壁垒	qian jun bi lei
千钧蚁皇	qian jun yi huang
千仞雪	qian ren xue
人面魔蛛	ren mian mo zhu
人面魔蛛皇	ren mian mo zhu huang
柔骨锁	rou gu suo
柔骨兔	rou gu tu
柔骨兔分身	rou gu tu fen shen
杀戮之都	sha lu zhi du
善良之神	shan liang zhi shen
深海魔鲸王	shen hai mo jing wang
神匠	shen jiang
神界	shen jie
神界中枢	shen jie zhong shu
神兽	shen shou
生命女神	sheng ming nv shen
噬魂蛛皇	shi hun zhu huang
时空乱流	shi kong luan liu
水元素神	shui yuan su shen
瞬移	shun yi
死亡蛛皇	si wang zhu huang
泰坦苍穹破	tai tan cang qiong po
泰坦巨猿	tai tan ju yuan
唐晨	tang chen
唐昊	tang hao
唐三	tang san
唐啸	tang xiao
唐月华	tang yue hua
天斗帝国	tian dou di guo
天青牛蟒	tian qing niu mang
天使神	tian shi shen
天使圣剑	tian shi sheng jian
铁匠大师	tie jiang da shi
铁匠师	tie jiang shi
铁匠宗师	tie jiang zong shi
无敌金身	wu di jin shen
武魂殿	wu hun dian
小舞	xiao wu
邪恶之神	xie e zhi shen
邪魔虎鲸王	xie mo hu jing wang
邪眸白虎	xie mou bai hu
邪神破	xie shen po
星罗帝国	xing luo di guo
凶兽魂骨	xiong shou hun gu
凶兽魂环	xiong shou hun huan
修罗结界	xiu luo jie jie
修罗领域	xiu luo ling yu
修罗魔剑	xiu luo mo jian
虚无	xu wu
旋风狂舞	xuan feng kuang wu
绚烂之爆	xuan lan zhi bao
玄天宝录	xuan tian bao lu
玄天功	xuan tian gong
玄玉手	xuan yu shou
腰弓	yao gong
玉小刚	yu xiao gang
月光轰天杀	yue guang hong tian sha
中级铁匠	zhong ji tie jiang
重甲虫王	zhong jia chong wang
诸葛神弩	zhu ge shen nu
蛛网束缚	zhu wang shu fu
朱竹清	zhu zhu qing
紫极魔瞳	zi ji mo tong
