阿戈尔	a ge er
阿米驴	a mi lv
阿米娅	a mi ya
阿能	a neng
巴别塔	ba bie ta
白面鸮	bai mian xiao
玻利瓦尔	bo li wa er
博士	bo shi
嵯峨	cuo e
大帝	da di
大炎	da yan
刀客塔	dao ke ta
德克萨斯	de ke sa si
东国	dong guo
高卢	gao lu
格拉斯哥帮	ge la si ge bang
歌蕾蒂娅	ge lei di ya
哥伦比亚	ge lun bi ya
姑妈	gu ma
光谱行动	guang pu xing dong
龟龟	gui gui
赫默	he mo
华法琳	hua fa lin
画中人	hua zhong ren
皇帝的利刃	huang di de li ren
黄铁行动	huang tie xing dong
灰烬	hui jin
监狱风云	jian yu feng yun
剿灭	jiao mie
进化的本质	jin hua de ben zhi
喀兰贸易	ka lan mao yi
卡普里尼	ka pu li ni
卡提	ka ti
卡西米尔	ka xi mi er
卡兹戴尔	ka zi dai er
凯尔希	kai er xi
凯太后	kai tai hou
刻刀	ke dao
克洛丝	ke luo si
可颂	ke song
克天使	ke tian shi
恐鱼	kong yu
傀影	kui ying
拉特兰	la te lan
莱塔尼亚	lai ta ni ya
莱茵	lai yin
莱茵生命	lai yin sheng ming
雷姆必拓	lei mu bi tuo
雷神工业	lei shen gong ye
利刃行动	li ren xing dong
临光	lin guang
龙门	long men
龙门近卫局	long men jin wei ju
罗德岛	luo de dao
玛嘉烈	ma jia lie
玛利亚	ma li ya
玫剑圣	mei jian sheng
玫兰莎	mei lan sha
米格鲁	mi ge lu
米诺斯	mi nuo si
面包人	mian bao ren
明日方舟	ming ri fang zhou
莫斯提马	mo si ti ma
能天使	neng tian shi
普瑞赛斯	pu rui sai si
企鹅物流	qi e wu liu
铅灰行动	qian hui xing dong
切城	qie cheng
切尔诺伯格	qie er nuo bo ge
萨尔贡	sa er gong
萨科塔	sa ke ta
萨米	sa mi
赛爹	sai die
塞雷娅	sai lei ya
闪光	shan guang
蛇屠箱	she tu xiang
史都华德	shi du hua de
史尔特尔	shi er te er
使徒	shi tu
守林人	shou lin ren
斯卡蒂	si ka di
泰拉	tai la
泰拉世界	tai la shi jie
维多利亚	wei duo li ya
危机合约	wei ji he yue
巫恋	wu lian
乌萨斯	wu sa si
乌萨斯学生自治团	wu sa si xue sheng zi zhi tuan
汐斯塔	xi si ta
瑕光	xia guang
小火龙	xiao huo long
谢拉格	xie la ge
叙拉古	xu la gu
巡林者	xun lin zhe
炎国	yan guo
焰尾	yan wei
伊芙利特	yi fu li te
幽灵鲨	you ling sha
整合运动	zheng he yun dong
铸铁	zhu tie
自在	zi zai
