艾克	ai ke
艾克闯祸了	ai ke chuang huo liao
艾雪	ai xue
安然	an ran
棒棒	bang bang
宝贝	bao bei
宝贝失踪了	bao bei shi zong le
包雷	bao lei
笨笨	ben ben
冰柠檬	bing ning meng
补上这一课	bu shang zhe yi ke
超级宝贝大赛	chao ji bao bei da sai
超级睡眠仪	chao ji shui mian yi
超级体验机	chao ji ti yan ji
陈光文	chen guang wen
陈梅生	chen mei sheng
陈娜	chen na
出了毛病的基因转换器	chu le mao bing de ji yin zhuan huan qi
聪聪	cong cong
崔彤	cui tong
错别字风暴	cuo bie zi feng bao
代理爸爸	dai li ba ba
戴在身上的计算机	dai zai shen shang de ji suan ji
单亲孩子	dan qin hai zi
到底谁帮了谁	dao di shui bang le shui
电脑奇遇记	dian nao qi yu ji
丁凯	ding kai
丁凯乐	ding kai le
东方老师	dong fang lao shi
东文	dong wen
豆豆	dou dou
发现可爱	fa xian ke ai
防火墙	fang huo qiang
冯佳玮	feng jia wei
冯锦	feng jin
高虹	gao hong
高山妹	gao shan mei
高天	gao tian
郭惠子	guo hui zi
韩秀峰	han xiu feng
好玩的吹风机	hao wan de chui feng ji
何大力	he da li
贺双彬	he shuang bin
黑暗星球	hei an xing qiu
黑暗星球机器人	hei an xing qiu ji qi ren
黑山的较量	hei shan de jiao liang
胡编	hu bian
胡红兵	hu hong bing
会讲故事的机器人	hui jiang gu shi de ji qi ren
霍都督	huo du du
击剑教练	ji jian jiao lian
姬老师	ji lao shi
姬老师偷走了宇宙神剑	ji lao shi tou zou le yu zhou shen jian
记忆净化器	ji yi jing hua qi
佳佳	jia jia
家长会风波	jia zhang hui feng bo
将计就计	jiang ji jiu ji
金刚	jin gang
金亮	jin liang
金圣凯	jin sheng kai
金小刚	jin xiao gang
剧照版	ju zhao ban
恐怖天使	kong bu tian shi
快二	kuai er
快乐城堡	kuai le cheng bao
快乐星球	kuai le xing qiu
快乐星球第二部	kuai le xing qiu di er bu
快乐星球第三部	kuai le xing qiu di san bu
快乐星球第四部	kuai le xing qiu di si bu
快乐星球第一部	kuai le xing qiu di yi bu
快乐星球二	kuai le xing qiu er
快乐星球三	kuai le xing qiu san
快乐星球四	kuai le xing qiu si
快乐星球一	kuai le xing qiu yi
快三	kuai san
快四	kuai si
快一	kuai yi
老顽童爷爷	lao wan tong ye ye
乐乐	le le
李老师	li lao shi
李瑞	li rui
李雪	li xue
李阳	li yang
李志刚	li zhi gang
莲蓉包	lian rong bao
梁馨	liang xin
刘斯雯	liu si wen
路港一森	lu gang yi sen
马虎克星帽	ma hu ke xing mao
马翔宇	ma xiang yu
马子豪	ma zi hao
毛悦	mao yue
毛竹青	mao zhu qing
孟繁志	meng fan zhi
孟老夫子	meng lao fu zi
魔鬼妈妈	mo gui ma ma
木乃病毒	mu nai bing du
慕容老师	mu rong lao shi
鸟语识别器	niao yu shi bie qi
聂浩然	nie hao ran
牛东文	niu dong wen
牛老师	niu lao shi
欧阳老师	ou yang lao shi
怕羞的女孩	pa xiu de nv hai
胖哥	pang ge
胖哥你吹吧	pang ge ni chui ba
奇奇	qi qi
千面人	qian mian ren
寝室里的怪物	qin shi li de guai wu
神秘来信	shen mi lai xin
神童梦波	shen tong meng bo
拾金不昧的烦恼	shi jin bu mei de fan nao
谁是真正的三剑客	shui shi zhen zheng de san jian ke
思维控制器	si wei kong zhi qi
斯雯	si wen
孙格	sun ge
孙斯阳	sun si yang
孙野	sun ye
太阳石	tai yang shi
唐晨	tang chen
万事通	wan shi tong
王波	wang bo
王东方	wang dong fang
王黎雯	wang li wen
王鹿鸣	wang lu ming
王宁	wang ning
王硕	wang shuo
王校长	wang xiao zhang
王新博	wang xin bo
王志飞	wang zhi fei
危机时刻	wei ji shi ke
为孟老夫子减压	wei meng lao fu zi jian ya
我对老师实话实说	wo dui lao shi shi hua shi shuo
我是篮球迷	wo shi lan qiu mi
我要回星球	wo yao hui xing qiu
我最喜爱的老师	wo zui xi ai de lao shi
吴佳佳	wu jia jia
吴刘华	wu liu hua
无声的舞蹈	wu sheng de wu dao
小布丁	xiao bu ding
晓航	xiao hang
小九九	xiao jiu jiu
晓璐	xiao lu
消失的城市	xiao shi de cheng shi
小眼镜	xiao yan jing
小樱桃	xiao ying tao
邢凯轩	xing kai xuan
许诚实	xu cheng shi
许嘉诚	xu jia cheng
虚拟实验室	xu ni shi yan shi
雪儿	xue er
寻找艾克	xun zhao ai ke
厌食口香糖	yan shi kou xiang tang
闫思遥	yan si yao
烟雾吸收仪	yan wu xi shou yi
杨阳	yang yang
叶秋子	ye qiu zi
一天只睡五分钟	yi tian zhi shui wu fen zhong
永远是朋友	yong yuan shi peng you
于根义	yu gen yi
于同云	yu tong yun
于小慧	yu xiao hui
张导	zhang dao
张惠民	zhang hui min
张佳琪	zhang jia qi
张竞乐	zhang jing le
张蕊	zhang rui
张泽宇	zhang ze yu
张兆艺	zhang zhao yi
赵克明	zhao ke ming
赵文淇	zhao wen qi
这个冬天不怕冷	zhe ge dong tian bu pa leng
真假杨阳	zhen jia yang yang
郑小宁	zheng xiao ning
争着当剑客	zheng zhe dang jian ke
周乾畅	zhou qian chang
周晓航	zhou xiao hang
周晓璐	zhou xiao lu
诸葛老师	zhu ge lao shi
祝翔	zhu xiang
自私神针	zi si shen zhen
