阿明	a ming
阿追	a zhui
爱的废墟	ai de fei xu
哀歌	ai ge
爱如空气	ai ru kong qi
爱似神仙	ai si shen xian
爱已满楹	ai yi man ying
安菲尔德死忠	an fei er de si zhong
暗花	an hua
安魂曲	an hun qu
傲笑杯杯	ao xiao bei bei
芭比琵琶	ba bi pi pa
拔剑问苍天	ba jian wen cang tian
霸江东	ba jiang dong
把酒临风	ba jiu lin feng
霸王之殇	ba wang zhi shang
百变	bai bian
百鬼夜行抄	bai gui ye xing chao
白河秋寒	bai he qiu han
白狐	bai hu
白虎林	bai hu lin
百年	bai nian
白蛇	bai she
白夜	bai ye
百羽之	bai yu zhi
白月光	bai yue guang
半抱琵琶	ban bao pi pa
半面妆	ban mian zhuang
半月琴	ban yue qin
北辰元凰	bei chen yuan huang
北辰珠老	bei chen zhu lao
贝儿筱	bei er xiao
悲欢离合戏一场	bei huan li he xi yi chang
杯酒	bei jiu
北凌	bei ling
北燕归	bei yan gui
彼岸芳菲	bi an fang fei
彼岸花	bi an hua
彼岸千年	bi an qian nian
比武招亲	bi wu zhao qin
碧血映长空	bi xue ying chang kong
碧玉	bi yu
遍地狼藉	bian di lang ji
别洞天	bie dong tian
别风间	bie feng jian
别绪	bie xu
别亦难	bie yi nan
滨崎步	bin qi bu
冰封前尘	bing feng qian chen
冰封天璇	bing feng tian xuan
病骨丹青	bing gu dan qing
冰煌雪舞	bing huang xue wu
冰晶璇玑	bing jing xuan ji
冰菊物语	bing ju wu yu
冰璃	bing li
冰凝紫夜	bing ning zi ye
冰泉	bing quan
冰弦	bing xian
冰月	bing yue
薄情赋	bo qing fu
步步皆殇	bu bu jie shang
不纯君	bu chun jun
不复还	bu fu hai
不浪漫罪名	bu lang man zui ming
不如乘风归去	bu ru cheng feng gui qu
不如归	bu ru gui
不往	bu wang
不夜城	bu ye cheng
步云登仙	bu yun deng xian
不知所云	bu zhi suo yun
彩依	cai yi
彩云追月	cai yun zhui yue
残爱	can ai
沧海乐茗	cang hai le ming
沧海明月	cang hai ming yue
苍浪剑赋	cang lang jian fu
仓木麻衣	cang mu ma yi
沧桑叹	cang sang tan
苍天变	cang tian bian
苍天有负	cang tian you fu
沧月明珠	cang yue ming zhu
苍之涛	cang zhi tao
草阿米	cao a mi
草丛里的诗	cao cong li de shi
草灯	cao deng
草原之忽必烈	cao yuan zhi hu bi lie
刹那残像	cha na can xiang
刹那欢颜	cha na huan yan
茶山情歌	cha shan qing ge
钗心怨	chai xin yuan
长安幻夜	chang an huan ye
长安旧事	chang an jiu shi
长安李白	chang an li bai
长风当歌	chang feng dang ge
长风万里	chang feng wan li
长干词	chang gan ci
长空	chang kong
长相守	chang xiang shou
长相思	chang xiang si
长相忆	chang xiang yi
常言笑	chang yan xiao
唱与你听	chang yu ni ting
潮涛逝	chao tao shi
超越时空的思念	chao yue shi kong de si nian
朝云碎	chao yun sui
车芸的回忆	che yun de hui yi
尘封缘	chen feng yuan
陈鲲	chen kun
晨铃	chen ling
晨曦依旧	chen xi yi jiu
晨晓	chen xiao
尘缘劫	chen yuan jie
尘缘叹	chen yuan tan
沉月	chen yue
尘云	chen yun
乘风飞翔	cheng feng fei xiang
乘风我愿	cheng feng wo yuan
敕勒歌	chi le ge
赤霄岁月	chi xiao sui yue
迟盈盈	chi ying ying
螭羽毛	chi yu mao
重楼	chong lou
愁闲杨柳风	chou xian yang liu feng
楚歌唱彻	chu ge chang che
楚歌谁祭	chu ge shui ji
出连	chu lian
出塞歌	chu sai ge
出塞曲	chu sai qu
出世歌	chu shi ge
楚天斜阳	chu tian xie yang
楚天谣	chu tian yao
初寻	chu xun
楚渝	chu yu
串铃花开	chuan ling hua kai
传诵之物	chuan song zhi wu
穿心莲	chuan xin lian
春风谣	chun feng yao
春耕雨读	chun geng yu du
春归	chun gui
春晖爱日	chun hui ai ri
春景	chun jing
纯钧剑	chun jun jian
春去春又来	chun qu chun you lai
春日闲游	chun ri xian you
春如昨	chun ru zuo
淙流依翠	cong liu yi cui
存古	cun gu
错今生	cuo jin sheng
大江东去	da jiang dong qu
大开眼界	da kai yan jie
大梦方觉晓	da meng fang jue xiao
大漠残月	da mo can yue
大隋帝国	da sui di guo
大唐豪侠	da tang hao xia
大唐曙光	da tang shu guang
大战在即	da zhan zai ji
黛菲菲	dai fei fei
呆瓜小贼	dai gua xiao zei
代王	dai wang
黛夭	dai yao
当时明月	dang shi ming yue
悼皇甫定涛	dao huang fu ding tao
刀锈	dao xiu
滴草由实	di cao you shi
涤尘	di chen
帝王业	di wang ye
颠倒的彩虹	dian dao de cai hong
点点情愫	dian dian qing su
簟画	dian hua
点秋香	dian qiu xiang
雕花笼	diao hua long
蝶飞花舞	die fei hua wu
蝶恋	die lian
蝶恋花	die lian hua
蝶恋四世缘	die lian si shi yuan
蝶恋月	die lian yue
蝶舞春园	die wu chun yuan
蝶舞凤飘	die wu feng piao
蝶舞云纱	die wu yun sha
蝶衣叹	die yi tan
蝶园	die yuan
丢丢	diu diu
丢子	diu zi
冬亦凌	dong yi ling
董贞	dong zhen
独孤祭	du gu ji
独孤宁珂	du gu ning ke
独孤殇凌	du gu shang ling
独立	du li
独醉笑春风	du zui xiao chun feng
断魂笛	duan hun di
断情殇	duan qing shang
断弦	duan xian
敦煌一梦	dun huang yi meng
多情歌	duo qing ge
峨眉峰	e mei feng
峨眉金顶	e mei jin ding
二十二桥枫别雨	er shi er qiao feng bie yu
发如雪	fa ru xue
梵唱	fan chang
繁华落尽	fan hua luo jin
范力	fan li
放不下我	fang bu xia wo
芳辰礼	fang chen li
放肆芊莲	fang si qian lian
绯村柯北	fei cun ke bei
菲儿颦颦	fei er pin pin
飞歌流星	fei ge liu xing
绯红记忆	fei hong ji yi
绯红之月	fei hong zhi yue
绯色秋	fei se qiu
飞天舞	fei tian wu
飞羽	fei yu
绯羽怨姬	fei yu yuan ji
飞云天暮	fei yun tian mu
分贝	fen bei
焚香谷	fen xiang gu
风潮	feng chao
封尘镜轩	feng chen jing xuan
凤歌青天	feng ge qing tian
凤歌思寐	feng ge si mei
风光之初见月如	feng guang zhi chu jian yue ru
风痕	feng hen
凤凰长离	feng huang chang li
凤凰劫	feng huang jie
凤凰语	feng huang yu
枫涧冷音	feng jian leng yin
风居住的街道	feng ju zhu de jie dao
风浅裳	feng qian shang
风情万种	feng qing wan zhong
凤求凰	feng qiu huang
风沙颂	feng sha song
风声鹤唳	feng sheng he li
风舞流殇	feng wu liu shang
枫雪诗	feng xue shi
风亦飞	feng yi fei
枫影儿	feng ying er
凤于九天	feng yu jiu tian
风雨无晴	feng yu wu qing
风语者	feng yu zhe
风云决	feng yun jue
风葬秋暝	feng zang qiu ming
风之夜	feng zhi ye
风之夜物语	feng zhi ye wu yu
风中采莲	feng zhong cai lian
风中残叶	feng zhong can ye
风中祭你	feng zhong ji ni
风姿花传	feng zi hua chuan
浮尘幻梦	fu chen huan meng
赋得紫泉忆落月	fu de zi quan yi luo yue
赋风流	fu feng liu
拂剑	fu jian
扶罗门忆事	fu luo men yi shi
浮生破晓	fu sheng po xiao
浮生叹	fu sheng tan
浮生未歇	fu sheng wei xie
浮生一梦	fu sheng yi meng
浮世红颜	fu shi hong yan
缚思	fu si
蚨子	fu zi
钢铁军魂	gang tie jun hun
隔世情缘	ge shi qing yuan
共长醉	gong chang zui
宫灯帷	gong deng wei
公子汨	gong zi mi
公子纳兰	gong zi na lan
古德里安	gu de li an
古风	gu feng
蛊惑	gu huo
孤莲	gu lian
顾盼依然	gu pan yi ran
故人叹	gu ren tan
菇射仙子	gu she xian zi
故思	gu si
古凶	gu xiong
孤雁令	gu yan ling
姑瑶山	gu yao shan
故缘	gu yuan
骨葬	gu zang
观水岸	guan shui an
关小楼	guan xiao lou
桂堂东畔画西楼	gui tang dong pan hua xi lou
归雁	gui yan
