阿夜	a ye
爱上你的眼睛	ai shang ni de yan jing
爸爸和妈妈的回忆	ba ba he ma ma de hui yi
白金圣皇	bai jin sheng huang
拜托了弥耶	bai tuo le mi ye
暴突	bao tu
被发现了	bei fa xian le
被粉碎的思念	bei fen sui de si nian
被破坏的初次约会	bei po huai de chu ci yue hui
悲伤的秘密	bei shang de mi mi
悲伤的圣诞节前夜	bei shang de sheng dan jie qian ye
悲伤的战斗	bei shang de zhan dou
被撕破的绘本	bei si po de hui ben
变回那一天的我	bian hui na yi tian de wo
边里唯世	bian li wei shi
辺里唯世	bian li wei shi
铂金之心	bo jin zhi xin
不得不爱	bu de bu ai
不要吵架了	bu yao chao jia le
充满险峻的真诚之路	chong man xian jun de zhen cheng zhi lu
初次见面	chu ci jian mian
初恋爱情攻击	chu lian ai qing gong ji
初恋的婚礼蛋糕	chu lian de hun li dan gao
传达给你	chuan da gei ni
传说中的女孩登场	chuan shuo zhong de nv hai deng chang
纯洁感受	chun jie gan shou
纯洁之魅	chun jie zhi mei
大地	da di
大和舞姬	da he wu ji
大骚动猫耳少女	da sao dong mao er shao nv
大骚乱新年演唱会	da sao luan xin nian yan chang hui
蛋的归宿	dan de gui su
诞生两种变身	dan sheng liang zhong bian shen
第四个守护蛋	di si ge shou hu dan
第一份工作真辛苦	di yi fen gong zuo zhen xin ku
动摇的心	dong yao de xin
二阶堂老师真的是老师	er jie tang lao shi zhen de shi lao shi
方块	fang kuai
复活社	fu huo she
复活耀眼的舞姬	fu huo yao yan de wu ji
抚子春天却要告别	fu zi chun tian que yao gao bie
感情和好的秘方	gan qing he hao de mi fang
高兴而害羞的初次约会	gao xing er hai xiu de chu ci yue hui
歌呗来我家	ge bei lai wo jia
歌的力量	ge de li liang
歌声响彻	ge sheng xiang che
孤单一人的	gu dan yi ren de
海里再次出现	hai li zai ci chu xian
和小光愉快地去游乐园	he xiao guang yu kuai de qu you le yuan
黑暗宝石	hei an bao shi
黑色蛋	hei se dan
黑色蛋净化后与阿夜	hei se dan jing hua hou yu a ye
黑色山猫	hei se shan mao
滑雪场和守护甜心	hua xue chang he shou hu tian xin
坏方块	huai fang kuai
坏甜心	huai tian xin
欢迎回来抚子	huan ying hui lai fu zi
黄金王子	huang jin wang zi
绘琉	hui liu
活力十足的转校生	huo li shi zu de zhuan xiao sheng
几斗与唯世	ji dou yu wei shi
几斗与亚梦	ji dou yu ya meng
激萌可爱千钧一发	ji meng ke ai qian jun yi fa
激震婆婆登场	ji zhen po po deng chang
加油诚一郎	jia you cheng yi lang
见习守护者	jian xi shou hu zhe
解开心灵之锁	jie kai xin ling zhi suo
结木弥耶	jie mu mi ye
节拍跳跃者	jie pai tiao yue zhe
啦啦队大活跃	la la dui da huo yue
蓝天侍从	lan tian shi cong
立花和坏蛋	li hua he huai dan
璃茉和弥耶	li mo he mi ye
璃茉降临	li mo jiang lin
璃茉前辈	li mo qian bei
理想的自己	li xiang de zi ji
理想中的我	li xiang zhong de wo
理想中的自己	li xiang zhong de zi ji
李子小组的大恐慌	li zi xiao zu de da kong huang
两个人是对手	liang ge ren shi dui shou
两颗心相互理解	liang ke xin xiang hu li jie
露露的完美圣诞节	lu lu de wan mei sheng dan jie
露露堂莫鲁斯露山本	lu lu tang mo lu si lu shan ben
迈向守护者之路	mai xiang shou hu zhe zhi lu
忙得不可开交	mang de bu ke kai jiao
美琪	mei qi
梦想之蛋	meng xiang zhi dan
弥耶的热情园艺	mi ye de re qing yuan yi
谜之蛋大暴走	mi zhi dan da bao zou
谜之守护蛋	mi zhi shou hu dan
命运的占星术	ming yun de zhan xing shu
那家伙和我	na jia huo he wo
内心的光芒	nei xin de guang mang
胚胎到手了	pei tai dao shou le
皮皮	pi pi
漂亮的宝宝大骚动	piao liang de bao bao da sao dong
飘雪的日子	piao xue de ri zi
七海珍宝	qi hai zhen bao
奇迹的形象改造	qi ji de xing xiang gai zao
前进吧立花	qian jin ba li hua
前进花猫搜索队	qian jin hua mao sou suo dui
潜入复活社	qian ru fu huo she
亲爱宝贝	qin ai bao bei
请相信我纯洁的心	qing xiang xin wo chun jie de xin
全开我的节奏	quan kai wo de jie zou
热斗	re dou
日奈森亚梦	ri nai sen ya meng
如同珍珠的羁绊	ru tong zhen zhu de ji ban
三条海里	san tiao hai li
闪闪发光的宝物	shan shan fa guang de bao wu
少女出现	shao nv chu xian
射门干掉坏甜心	she men gan diao huai tian xin
圣夜学园	sheng ye xue yuan
圣夜学园小学守护者	sheng ye xue yuan xiao xue shou hu zhe
失之交臂的音乐博览会	shi zhi jiao bi de yin yue bo lan hui
守护蛋	shou hu dan
守护蛋上刻了叉	shou hu dan shang ke le cha
守护恶魔	shou hu e mo
守护方块	shou hu fang kuai
守护黑桃	shou hu hei tao
守护红心	shou hu hong xin
守护梅花	shou hu mei hua
守护命运	shou hu ming yun
守护天使	shou hu tian shi
守护甜心被诱拐	shou hu tian xin bei you guai
守护甜心诞生	shou hu tian xin dan sheng
守护甜心护士出动	shou hu tian xin hu shi chu dong
守护甜心救出大作战	shou hu tian xin jiu chu da zuo zhan
守护甜心派对	shou hu tian xin pai dui
守护者之战	shou hu zhe zhi zhan
手鞠	shou ju
刷刷的飘浮的请交给小丝	shua shua de piao fu de qing jiao gei xiao si
帅气的解决吧	shuai qi de jie jue ba
思念合一	si nian he yi
死亡标记	si wang biao ji
送给你的礼物	song gei ni de li wu
藤咲抚子	teng xiao fu zi
藤咲家的七大不可思议	teng xiao jia de qi da bu ke si yi
天河司	tian he si
团团转	tuan tuan zhuan
唯世君喜欢的人	wei shi jun xi huan de ren
为心灵之歌插上翅膀	wei xin ling zhi ge cha shang chi bang
我叫小萤	wo jiao xiao ying
我是歌呗的经纪人	wo shi ge bei de jing ji ren
我是王牌	wo shi wang pai
我要成为王牌	wo yao cheng wei wang pai
无法传达的声音	wu fa chuan da de sheng yin
武士之魂	wu shi zhi hun
武藏	wu zang
想告诉你这份心情	xiang gao su ni zhe fen xin qing
相马空海	xiang ma kong hai
向着天空想要飞翔的心情	xiang zhe tian kong xiang yao fei xiang de xin qing
小丑降临	xiao chou jiang lin
笑话之神	xiao hua zhi shen
小兰	xiao lan
小闪的思绪	xiao shan de si xu
小丝	xiao si
小提琴的秘密	xiao ti qin de mi mi
小小的蛋	xiao xiao de dan
小萤	xiao ying
新的敌人	xin de di ren
新的朋友	xin de peng you
心的闪耀	xin de shan yao
新的守护者登场	xin de shou hu zhe deng chang
心灵之蛋	xin ling zhi dan
新年变身的初笑	xin nian bian shen de chu xiao
信任之心	xin ren zhi xin
心跳不已的心跳	xin tiao bu yi de xin tiao
心跳的野餐	xin tiao de ye can
心跳加速的白色情人节	xin tiao jia su de bai se qing ren jie
心之写生	xin zhi xie sheng
星名歌呗	xing ming ge bei
星名歌呗向着未来飞翔	xing ming ge bei xiang zhe wei lai fei xiang
星那歌呗	xing na ge bei
星那歌呗新的旅程	xing na ge bei xin de lv cheng
形象改造	xing xiang gai zao
幸运日是表白的佳日	xing yun ri shi biao bai de jia ri
星组对月组	xing zu dui yue zu
雪贝登场	xue bei deng chang
雪山的休假	xue shan de xiu jia
雪原的大攻防	xue yuan de da gong fang
亚梦当妈妈了	ya meng dang ma ma le
亚梦漫长的一日	ya meng man chang de yi ri
眼前一片的闪耀	yan qian yi pian de shan yao
钥匙和锁	yao shi he suo
依琉	yi liu
一之宫光	yi zhi gong guang
迎风而舞的音符	ying feng er wu de yin fu
幽灵屋大冒险	you ling wu da mao xian
有着数不尽的秘密	you zhe shu bu jin de mi mi
月夜下的战斗	yue ye xia de zhan dou
月咏歌呗	yue yong ge bei
月咏几斗	yue yong ji dou
月之魅	yue zhi mei
再见山吹沙绫	zai jian shan chui sha ling
崭新的开始	zhan xin de kai shi
这就是坏甜心	zhe jiu shi huai tian xin
真城璃茉	zhen cheng li mo
真的发现了吗	zhen de fa xian le ma
真实的自我	zhen shi de zi wo
拯救娜娜	zheng jiu na na
拯救雪贝	zheng jiu xue bei
柊立花	zhong li hua
转动的世界	zhuan dong de shi jie
最讨厌巧克力	zui tao yan qiao ke li
最终的决战	zui zhong de jue zhan
