白黑病栋	bai hei bing dong
病名为爱	bing ming wei ai
抽象的废话	chou xiang de fei hua
此处集结我等镜音一家	ci chu ji jie wo deng jing yin yi jia
电子天使	dian zi tian shi
东京泰迪熊	dong jing tai di xiong
多彩的旋律	duo cai de xuan lv
恶之娘	e zhi niang
孤独的尽头	gu du de jin tou
孩子气的战争	hai zi qi de zhan zheng
悔恨的讯息	hui hen de xun xi
蕉橘有爱	jiao ju you ai
镜音铃	jing yin ling
就这样死了也太没出息了	jiu zhe yang si le ye tai mei chu xi le
橘子万岁	ju zi wan sui
劣等上等	lie deng shang deng
铃魂转生	ling hun zhuan sheng
铃酱	ling jiang
铃声的讯息	ling sheng de xun xi
炉心融解	lu xin rong jie
迷失者的号哭	mi shi zhe de hao ku
谬见的马戏团	miu jian de ma xi tuan
你好反乌托邦	ni hao fan wu tuo bang
杀戮人偶的爆发	sha lu ren ou de bao fa
神的随波逐流	shen de sui bo zhu liu
深海地下城市	shen hai di xia cheng shi
世界征服	shi jie zheng fu
双子座	shuang zi zuo
随便随便随便	sui bian sui bian sui bian
天乐	tian le
脱狱	tuo yu
王女殿下	wang nv dian xia
我的压路机	wo de ya lu ji
我在这里	wo zai zhe li
喜欢讨厌	xi huan tao yan
下克上	xia ke shang
香蕉万岁	xiang jiao wan sui
许诺	xu nuo
压路机最速传说	ya lu ji zui su chuan shuo
遥控器	yao kong qi
咦连去哪里了	yi lian qu na li le
伊吕波歌	yi lv bo ge
右肩之蝶	you jian zhi die
忧郁的心情	you yu de xin qing
雨梦楼	yu meng lou
再教育	zai jiao yu
周末即将到来	zhou mo ji jiang dao lai
