艾丽	ai li
爱丽丝玛格特罗依德	ai li si ma ge te luo yi de
艾琳	ai lin
八坂神奈子	ba ban shen nai zi
八意永琳	ba yi yong lin
八云蓝	ba yun lan
八云紫	ba yun zi
稗田阿求	bai tian a qiu
白玉楼	bai yu lou
北白河千百合	bei bai he qian bai he
彼岸	bi an
比那名居天子	bi na ming ju tian zi
博丽灵梦	bo li ling meng
博丽神社	bo li shen she
擦弹	ca dan
朝仓理香子	chao cang li xiang zi
村纱水蜜	cun sha shui mi
大图书馆	da tu shu guan
大妖精	da yao jing
地灵殿	di ling dian
东方萃梦想	dong fang cui meng xiang
东方地霊殿	dong fang de ling dian
东方绯想天	dong fang fei xiang tian
东方非想天则	dong fang fei xiang tian ze
东方封魔录	dong fang feng mo lu
东方风神录	dong fang feng shen lu
东方怪绮谈	dong fang guai qi tan
东方红魔郷	dong fang hong mo xiang
东方花映冢	dong fang hua ying zhong
东方幻想郷	dong fang huan xiang xiang
东方灵异伝	dong fang ling yi yun
东方梦时空	dong fang meng shi kong
东方儚月抄	dong fang meng yue chao
东方求闻史纪	dong fang qiu wen shi ji
东方三月精	dong fang san yue jing
东方文花贴	dong fang wen hua tie
东方香霖堂	dong fang xiang lin tang
东方星莲船	dong fang xing lian chuan
东方妖妖梦	dong fang yao yao meng
东方永夜抄	dong fang yong ye chao
东风谷早苗	dong feng gu zao miao
多多良小伞	duo duo liang xiao san
风见幽香	feng jian you xiang
封兽鵺	feng shou ye
芙兰朵露斯卡雷特	fu lan duo lu si ka lei te
冈崎梦美	gang qi meng mei
古明地觉	gu ming di jue
古明地恋	gu ming di lian
河城荷取	he cheng he qu
黑谷山女	hei gu shan nv
红美铃	hong mei ling
红魔馆	hong mo guan
胡桃	hu tao
幻想乡	huan xiang xiang
幻月	huan yue
黄昏边境	huang hun bian jing
魂魄妖忌	hun po yao ji
魂魄妖梦	hun po yao meng
火焰猫燐	huo yan mao lin
键山雏	jian shan chu
矜羯罗	jin jie luo
旧都	jiu du
菊理	ju li
卡娜安娜贝拉尔	ka na an na bei la er
蕾迪霍瓦特罗克	lei di huo wa te luo ke
蕾米莉亚斯卡雷特	lei mi li ya si ka lei te
莉格露奈特巴格	li ge lu nai te ba ge
莉莉霍瓦特	li li huo wa te
莉莉卡普利兹姆利巴	li li ka pu li zi mu li ba
里香	li xiang
灵击	ling ji
灵乌路空	ling wu lu kong
铃仙优昙华院因幡	ling xian you tan hua yuan yin fan
露米亚	lu mi ya
露娜查尔德	lu na cha er de
露娜萨普利兹姆利巴	lu na sa pu li zi mu li ba
露伊兹	lu yi zi
玛艾露贝莉赫恩	ma ai lu bei li he en
梅蒂欣梅兰可莉	mei di xin mei lan ke li
梅露兰普利兹姆利巴	mei lu lan pu li zi mu li ba
魅魔	mei mo
梦月	meng yue
梦子	meng zi
米斯蒂娅萝蕾拉	mi si di ya luo lei la
绵月丰姬	mian yue feng ji
绵月依姬	mian yue yi ji
明罗	ming luo
魔法森林	mo fa sen lin
魔界	mo jie
娜兹玲	na zi ling
帕秋莉诺蕾姬	pa qiu li nuo lei ji
蓬莱山辉夜	peng lai shan hui ye
蓬莱之药	peng lai zhi yao
琪露诺	qi lu nuo
琪斯美	qi si mei
秋静叶	qiu jing ye
秋穣子	qiu rang zi
犬走椛	quan zou hua
萨莉爱儿	sa li ai er
三月精	san yue jing
桑尼密尔克	sang ni mi er ke
骚灵三姐妹	sao ling san jie mei
森近霖之助	sen jin lin zhi zhu
沙罗	sha luo
上白泽慧音	shang bai ze hui yin
上海爱莉丝幻乐团	shang hai ai li si huan yue tuan
射命丸文	she ming wan wen
神绮	shen qi
神玉	shen yu
圣白莲	sheng bai lian
圣辇船	sheng nian chuan
十六夜咲夜	shi liu ye xiao ye
守矢神社	shou shi shen she
水桥帕露西	shui qiao pa lu xi
丝妲莎法伊雅	si da sha fa yi ya
四季映姬亚玛萨那度	si ji ying ji ya ma sa na du
太阳花田	tai yang hua tian
藤原妹红	teng yuan mei hong
雾雨魔理沙	wu yu mo li sha
隙间	xi jian
西行寺幽幽子	xi xing si you you zi
香霖堂	xiang lin tang
小恶魔	xiao e mo
小兔姫	xiao tu zhen
小野冢小町	xiao ye zhong xiao ding
洩矢诹访子	xie shi zou fang zi
信仰点	xin yang dian
星熊勇仪	xing xiong yong yi
玄爷	xuan ye
妖怪之山	yao guai zhi shan
伊吹萃香	yi chui cui xiang
伊利斯	yi li si
因幡帝	yin fan di
寅丸星	yin wan xing
永江衣玖	yong jiang yi jiu
永远亭	yong yuan ting
幽幻魔眼	you huan mo yan
宇佐见莲子	yu zuo jian lian zi
云居一轮	yun ju yi lun
云山	yun shan
朱鹭子	zhu lu zi
