阿格尼	a ge ni
阿修罗独角仙	a xiu luo du jiao xian
霸王臭花	ba wang chou hua
邦古	bang gu
暴风雪组	bao feng xue zu
爆裂飞镖	bao lie fei biao
爆破	bao po
背心黑洞	bei xin hei dong
背心猛虎	bei xin meng hu
背心擒摔	bei xin qin shuai
背心素食主义者	bei xin su shi zhu yi zhe
背心尊者	bei xin zun zhe
鼻涕虫	bi ti chong
波佛伊博士	bo fo yi bo shi
波罗斯	bo luo si
茶兰子	cha lan zi
超合金黑光	chao he jin hei guang
超巨型螺旋毒刺	chao ju xing luo xuan du ci
赤鼻	chi bi
冲天好小子	chong tian hao xiao zi
吹雪	chui xue
吹雪组	chui xue zu
催眠香	cui mian xiang
大背头男	da bei tou nan
大雪人	da xue ren
大哲人	da zhe ren
地底人	di di ren
地底王	di di wang
地狱的暴风雪	di yu de bao feng xue
地狱的吹雪	di yu de chui xue
电光源氏	dian guang yuan shi
钉锤头	ding chui tou
毒刺	du ci
饿狼	e lang
愤怒超人	fen nu chao ren
焚烧	fen shao
风刃脚	feng ren jiao
风扇鬼	feng shan gui
福克高	fu ke gao
戈留干修普	ge liu gan xiu pu
格洛里巴斯	ge luo li ba si
海比空格	hai bi kong ge
海人族	hai ren zu
黑暗炎龙刀使	hei an yan long dao shi
红围巾斗士	hong wei jin dou shi
黄金球	huang jin qiu
机关枪扫射拳	ji guan qiang sao she quan
基奈斯博士	ji nai si bo shi
僵尸男	jiang shi nan
睫毛	jie mao
杰诺斯	jie nuo si
进化之家	jin hua zhi jia
金属骑士	jin shu qi shi
金属球棒	jin shu qiu bang
警犬侠	jing quan xia
居合庵	ju he an
居合斩	ju he zhan
库斯诺博士	ku si nuo bo shi
快拳超人	kuai quan chao ren
盔甲大猩猩	kui jia da xing xing
老师	lao shi
连续攻击技能	lian xu gong ji ji neng
连续普通拳	lian xu pu tong quan
炼狱无双爆热波动炮	lian yu wu shuang bao re bo dong pao
刘海大婶	liu hai da shen
流水岩碎拳	liu shui yan sui quan
流影脚	liu ying jiao
龙卷	long juan
马尔格利	ma er ge li
马可二	ma ke er
马修鲁姆	ma xiu lu mu
梅鲁扎嘎鲁多	mei lu zha ga lu duo
魔鬼改造人	mo gui gai zao ren
魔术妙手	mo shu miao shou
念流旋转风暴	nian liu xuan zhuan feng bao
螃蟹怪	pang xie guai
喷气式男子汉	pen qi shi nan zi han
普通拳	pu tong quan
奇袭梅	qi xi mei
埼玉	qi yu
青蛙男	qing wa nan
丘舞太刀	qiu wu tai dao
驱动骑士	qu dong qi shi
人鸟草	ren niao cao
认真殴打	ren zhen ou da
认真抛台	ren zhen pao tai
认真头槌	ren zhen tou chui
认真掀桌	ren zhen xian zhuo
认真折返跳	ren zhen zhe fan tiao
塞尔克斯	sai er ke si
三日月粗眉毛	san ri yue cu mei mao
丧服吊带	sang fu diao dai
杀戮乱阵	sha lu luan zhen
闪电麦克斯	shan dian mai ke si
闪光的佛莱士	shan guang de fo lai shi
闪光拳	shan guang quan
山猿	shan yuan
烧毁炮	shao hui pao
深海王	shen hai wang
十七万年蝉成虫	shi qi wan nian chan cheng chong
十七万年蝉幼虫	shi qi wan nian chan you chong
十字键	shi zi jian
兽王	shou wang
帅哥假面甜心假面	shuai ge jia mian tian xin jia mian
双手连续普通拳	shuang shou lian xu pu tong quan
瞬杀丸	shun sha wan
斯奈克	si nai ke
四影葬之闪散斩	si ying zang zhi shan san zhan
死之加特林	si zhi jia te lin
锁镰	suo lian
弹簧胡子	tan huang hu zi
螳螂男	tang lang nan
天空王	tian kong wang
天空族	tian kong zu
童帝	tong di
土龙	tu long
秃头披风侠	tu tou pi feng xia
我想回家星人	wo xiang hui jia xing ren
蜈蚣学弟	wu gong xue di
蜈蚣学长	wu gong xue zhang
蜈蚣长老	wu gong zhang lao
乌马洪	wu ma hong
武士钻头	wu shi zuan tou
无限海带	wu xian hai dai
无证骑士	wu zheng qi shi
西奇	xi qi
向日葵怪人	xiang ri kui guai ren
小雪人	xiao xue ren
小猪银行	xiao zhu yin hang
性感囚犯	xing gan qiu fan
一击男	yi ji nan
疫苗人	yi miao ren
异能研究会	yi neng yan jiu hui
一拳超人	yi quan chao ren
银色獠牙	yin se liao ya
音速索尼克	yin su suo ni ke
英雄协会	ying xiong xie hui
原子武士	yuan zi wu shi
原子斩	yuan zi zhan
灾害级别鬼	zai hai ji bie gui
灾害级别虎	zai hai ji bie hu
灾害级别狼	zai hai ji bie lang
灾害级别龙	zai hai ji bie long
灾害级别神	zai hai ji bie shen
战车炮直拳	zhan che pao zhi quan
战栗的龙卷	zhan li de long juan
战栗的龙卷风	zhan li de long juan feng
哲学全书	zhe xue quan shu
正义擒抱	zheng yi qin bao
正义撞击	zheng yi zhuang ji
重坦克裆兜布	zhong tan ke dang dou bu
猪神	zhu shen
竹笋	zhu sun
