艾拉	ai la
暗黑狼人	an hei lang ren
暗日魔术师	an ri mo shu shi
霸王龙	ba wang long
白虎	bai hu
白小飞	bai xiao fei
帮主	bang zhu
变色龙	bian se long
冰蛇	bing she
不朽大师	bu xiu da shi
次声波	ci sheng bo
大界风	da jie feng
大森林	da sen lin
等千年	deng qian nian
地鬼	di gui
第一小队	di yi xiao dui
东瀛	dong ying
东瀛忍者	dong ying ren zhe
毒姬	du ji
恶魔犬	e mo quan
尔多	er duo
二首领	er shou ling
反扒队队长	fan pa dui dui zhang
枫林晚洗浴中心	feng lin wan xi yu zhong xin
风魔灰太郎	feng mo hui tai lang
风魔家族	feng mo jia zu
风魔天姬	feng mo tian ji
苟不同	gou bu tong
苟氏集团	gou shi ji tuan
鬼棍	gui gun
哈姆	ha mu
亥猪	hai zhu
黑暗虹吸	hei an hong xi
黑暗议会	hei an yi hui
黑白二将	hei bai er jiang
黑带十二段	hei dai shi er duan
黑虎骚博	hei hu sao bo
黑莲帮	hei lian bang
黑骑士	hei qi shi
黑色火线	hei se huo xian
黑色火线总首领	hei se huo xian zong shou ling
黑塔	hei ta
黑巫	hei wu
黑小飞	hei xiao fei
红莲	hong lian
后来枯坐着垫	hou lai ku zuo zhe dian
胡爱伦	hu ai lun
花田	hua tian
花田小队	hua tian xiao dui
花鱼	hua yu
基因重组	ji yin chong zu
加藤大雕	jia teng da diao
僵尸危机	jiang shi wei ji
界风	jie feng
杰克	jie ke
京城	jing cheng
九级猎人	jiu ji lie ren
就像生命控制不了死亡	jiu xiang sheng ming kong zhi bu liao si wang
菊坛主	ju tan zhu
军方高层	jun fang gao ceng
开胃奶	kai wei nai
空凰	kong huang
控脑高手	kong nao gao shou
蓝海	lan hai
兰坛主	lan tan zhu
劳拉	lao la
老徐	lao xu
泪如雨	lei ru yu
临高楼	lin gao lou
林珑	lin long
林轩	lin xuan
灵虎	ling hu
六级猎人	liu ji lie ren
龙右	long you
龙右阵营	long you zhen ying
卯兔	mao tu
梅坛主	mei tan zhu
没有人逃得过悲伤	mei you ren tao de guo bei shang
米国	mi guo
墨绿	mo lv
末日动荡	mo ri dong dang
魔鼠	mo shu
莫卓	mo zhuo
穆老师	mu lao shi
木犀	mu xi
难道固执闪烁的光	nan dao gu zhi shan shuo de guang
内力	nei li
倪大爷	ni da ye
尼玛	ni ma
你我都如是	ni wo dou ru shi
欧盟	ou meng
欧盟黑暗议会	ou meng hei an yi hui
七度鱼	qi du yu
七级猎人	qi ji lie ren
千年古尸	qian nian gu shi
晴暗	qing an
青龙	qing long
人性泯灭	ren xing min mie
三级猎人	san ji lie ren
森川凌峰	sen chuan ling feng
杀势	sha shi
少教主	shao jiao zhu
身毒国	shen du guo
神皇	shen huang
神之基因	shen zhi ji yin
生命终将消亡	sheng ming zhong jiang xiao wang
尸巢大战	shi chao da zhan
十二上忍	shi er shang ren
石井大尉	shi jing da wei
石井奈奈子	shi jing nai nai zi
尸王	shi wang
尸王阵营	shi wang zhen ying
尸兄	shi xiong
水银人	shui yin ren
四大神宠	si da shen chong
司令	si ling
死人就该有死人的样子	si ren jiu gai you si ren de yang zi
死绳	si sheng
苏坡猫	su po mao
夙沙	su sha
孙小猴	sun xiao hou
弹力神	tan li shen
天鬼	tian gui
土狼	tu lang
屠叔	tu shu
豚鬼	tun gui
王不君	wang bu jun
王老师	wang lao shi
唯欣	wei xin
未羊	wei yang
我叫白小飞	wo jiao bai xiao fei
我们永远控制不了悲伤	wo men yong yuan kong zhi bu liao bei shang
武宝	wu bao
武丑	wu chou
五级猎人	wu ji lie ren
无色大师	wu se da shi
武生	wu sheng
舞尸猎人	wu shi lie ren
舞尸猎人协会	wu shi lie ren xie hui
吸血鬼	xi xue gui
戏中戏言	xi zhong xi yan
小白	xiao bai
小惠	xiao hui
小金刚	xiao jin gang
小林	xiao lin
小鹿	xiao lu
小萌	xiao meng
小木	xiao mu
小胖	xiao pang
小柔	xiao rou
小师太	xiao shi tai
小田菊一郎	xiao tian ju yi lang
小瞳	xiao tong
小屠夫	xiao tu fu
小丸子	xiao wan zi
小言子	xiao yan zi
邪罗汉	xie luo han
玄武	xuan wu
血莲教	xue lian jiao
血莲教圣女	xue lian jiao sheng nv
血莲教右护法	xue lian jiao you hu fa
血侍	xue shi
血翼黑刃	xue yi hei ren
牙木	ya mu
炎黄	yan huang
炎黄部	yan huang bu
炎黄高层	yan huang gao ceng
炎黄十二生肖机器人	yan huang shi er sheng xiao ji qi ren
炎黄守护者	yan huang shou hu zhe
炎黄特能队	yan huang te neng dui
言无声	yan wu sheng
炎燕	yan yan
阳光小学	yang guang xiao xue
一眉道长	yi mei dao zhang
易墨	yi mo
异能人	yi neng ren
异能尸王	yi neng shi wang
阴阳师	yin yang shi
酉鸡	you ji
鱼博士	yu bo shi
瑜伽王	yu jia wang
雨湿面	yu shi mian
余晓佳	yu xiao jia
愚鱼	yu yu
雨云雪	yu yun xue
云中身影却不见	yun zhong shen ying que bu jian
藏区	zang qu
长大后换我来背你	zhang da hou huan wo lai bei ni
张小涛	zhang xiao tao
赵日天	zhao ri tian
赵日天的血侍	zhao ri tian de xue shi
浙省	zhe sheng
蒸汽蝎子	zheng qi xie zi
终难现	zhong nan xian
猪肛裂	zhu gang lie
竹坛主	zhu tan zhu
啄木鸟	zhuo mu niao
紫金大桥	zi jin da qiao
最大的谎言莫过于我没事	zui da de huang yan mo guo yu wo mei shi
最后只剩虚伪的慌	zui hou zhi sheng xu wei de huang
左护法	zuo hu fa
