阿邦	a bang
阿噶	a ga
阿贵	a gui
阿宁	a ning
阿维	a wei
矮子冯	ai zi feng
巴乃	ba nai
八重宝函	ba zhong bao han
白衣女鬼	bai yi nv gui
绊脚绳	ban jiao sheng
半截李	ban jie li
豹萨	bao sa
北地玄珠	bei di xuan zhu
北法南传	bei fa nan chuan
镖子岭	biao zi ling
波塞冬之炫	bo sai dong zhi xuan
博弈	bo yi
蔡老二	cai lao er
菜尸	cai shi
藏海花	cang hai hua
长白山	chang bai shan
长生不老术	chang sheng bu lao shu
车总	che zong
陈丞澄	chen cheng cheng
陈皮阿四	chen pi a si
陈情派	chen qing pai
陈文锦	chen wen jin
陈雪寒	chen xue han
蚩尤失忆	chi you shi yi
大花	da hua
大金牙	da jin ya
大奎	da kui
带我回家	dai wo hui jia
倒斗	dao dou
德仁大喇嘛	de ren da la ma
地霜	di shuang
地下河	di xia he
定尸丹	ding shi dan
董灿	dong can
斗尸	dou shi
杜鹃山	du juan shan
独眼沈	du yan shen
二叔	er shu
二月红	er yue hong
发丘铜印	fa qiu tong yin
发丘中郎将	fa qiu zhong lang jiang
防蛊	fang gu
封存石中人	feng cun shi zhong ren
格尔木	ge er mu
瓜子庙	gua zi miao
关根	guan gen
鬼雾	gui wu
鬼影人	gui ying ren
海底墓	hai di mu
海猴子	hai hou zi
嗨少	hai shao
汗尸	han shi
黑背老六	hei bei lao liu
黑狗	hei gou
黑花	hei hua
黑金古刀	hei jin gu dao
黑驴蹄子	hei lv ti zi
黑瞎子	hei xia zi
黑眼镜	hei yan jing
虹吸效应	hong xi xiao ying
猴头烧	hou tou shao
护宝笔记	hu bao bi ji
护宝小分队	hu bao xiao fen dui
花儿爷	hua er ye
黄严	huang yan
霍道夫	huo dao fu
霍老太	huo lao tai
霍玲	huo ling
火龙阵	huo long zhen
火炭	huo tan
霍仙姑	huo xian gu
霍秀秀	huo xiu xiu
火折子	huo zhe zi
积尸地	ji shi di
甲尸	jia shi
夹子沟	jia zi gou
僵尸	jiang shi
解九爷	jie jiu ye
解连环	jie lian huan
解语花	jie yu hua
禁婆	jin po
金香玉	jin xiang yu
精绝古国	jing jue gu guo
镜像阴谋	jing xiang yin mou
九门提督	jiu men ti du
考古笔记	kao gu bi ji
孔雀花翎	kong que hua ling
口中猴	kou zhong hou
库里帕	ku li pa
捆尸索	kun shi suo
拉巴	la ba
喇嘛庙	la ma miao
喇十嘛庙封引	la shi ma miao feng yin
蓝庭	lan ting
郎风	lang feng
狼眼手电	lang yan shou dian
老九门	lao jiu men
老鼠衣	lao shu yi
老痒	lao yang
老于	lao yu
李晨浩	li chen hao
李沉舟	li chen zhou
黎簇	li cu
李琵琶	li pi pa
李四地	li si di
李昕亮	li xin liang
李易峰	li yi feng
凉师爷	liang shi ye
梁湾	liang wan
临卡	lin ka
林其中	lin qi zhong
六角铃铛	liu jiao ling dang
六姐	liu jie
刘天佐	liu tian zuo
龙脊背	long ji bei
龙虱	long shi
龙套	long tao
鲁黄帛书	lu huang bo shu
鲁殇王	lu shang wang
洛丹卓玛	luo dan zhuo ma
洛阳铲	luo yang chan
驴蛋蛋	lv dan dan
马平川	ma ping chuan
马日拉	ma ri la
毛尸	mao shi
门殿	men dian
闷坑	men keng
闷油瓶	men you ping
谜海归巢	mi hai gui chao
密洛陀	mi luo tuo
绵尸	mian shi
魔鬼城	mo gui cheng
摸金符	mo jin fu
摸金校尉	mo jin xiao wei
摸明器	mo ming qi
木尸	mu shi
泥浆池	ni jiang chi
牛头古物	niu tou gu wu
弄猜	nong cai
怒海潜沙	nu hai qian sha
潘家园	pan jia yuan
盘马	pan ma
盘马老爹	pan ma lao die
皮包	pi bao
皮尸	pi shi
瓶邪	ping xie
瓶邪粉	ping xie fen
奇洞	qi dong
七口棺材	qi kou guan cai
齐老爷子	qi lao ye zi
麒麟竭	qi lin jie
奇门盾甲	qi men dun jia
起尸	qi shi
齐铁嘴	qi tie zui
七星棺	qi xing guan
七星鲁王宫	qi xing lu wang gong
千棺	qian guan
墙窜子	qiang cuan zi
秦海婷	qin hai ting
秦岭神树	qin ling shen shu
青铜铃铛	qing tong ling dang
青铜门	qing tong men
青眼狐尸	qing yan hu shi
邛笼石影	qiong long shi ying
裘德考	qiu de kao
邱叔	qiu shu
人面鸟	ren mian niao
荣科长	rong ke zhang
肉尸	rou shi
软尸香	ruan shi xiang
三连响	san lian xiang
三叔	san shu
沙海	sha hai
上交给国家	shang jiao gei guo jia
哨子棺	shao zi guan
蛇眉铜鱼	she mei tong yu
蛇沼鬼城	she zhao gui cheng
尸蹩	shi bie
尸鳖	shi bie
尸洞	shi dong
十年	shi nian
尸肉	shi rou
石尸	shi shi
尸香	shi xiang
水晶自在山	shui jing zi zai shan
水牛头沟	shui niu tou gou
顺子	shun zi
四姑娘	si gu niang
四目九天娘娘	si mu jiu tian niang niang
死亡错误	si wang cuo wu
苏万	su wan
随葬品	sui zang pin
孙耀琦	sun yao qi
塔木陀	ta mu tuo
胎洞灵宫	tai dong ling gong
唐嫣	tang yan
天宫雪墓	tian gong xue mu
铁面生	tie mian sheng
铁甬	tie yong
土夫子	tu fu zi
汪藏海	wang cang hai
王达明	wang da ming
魏巍	wei wei
闻香玉	wen xiang yu
吴二白	wu er bai
吴老狗	wu lao gou
吴三省	wu san xing
五圣雪山	wu sheng xue shan
吴邪	wu xie
吴一穷	wu yi qiong
物质化	wu zhi hua
西王母	xi wang mu
西王母罐	xi wang mu guan
下斗	xia dou
瞎子	xia zi
小哥	xiao ge
小花	xiao hua
小鸡内裤	xiao ji nei ku
谢连环	xie lian huan
新月饭店	xin yue fan dian
星官钉尸针	xing guan ding shi zhen
星盘	xing pan
行尸	xing shi
醒尸	xing shi
旋风铲	xuan feng chan
血光之灾	xue guang zhi zai
血竭	xue jie
血尸	xue shi
血尸古墓	xue shi gu mu
寻龙点穴	xun long dian xue
殉葬渠	xun zang qu
哑姐	ya jie
阎王骑尸	yan wang qi shi
杨好	yang hao
羊角山地图	yang jiao shan di tu
养气	yang qi
样式雷	yang shi lei
杨洋	yang yang
瑶家大院	yao jia da yuan
引魂酒馆	yin hun jiu guan
阴人	yin ren
阴山古楼	yin shan gu lou
荫尸	yin shi
阴西宝帝	yin xi bao di
颖儿	ying er
营山村	ying shan cun
英雄山老海	ying xiong shan lao hai
影子传说	ying zi chuan shuo
佣兵	yong bing
永兴岛	yong xing dao
玉尸	yu shi
玉俑	yu yong
于正风	yu zheng feng
原著粉	yuan zhu fen
云彩	yun cai
云顶天宫	yun ding tian gong
扎吉	zha ji
诈尸	zha shi
张大佛爷	zhang da fo ye
张海客	zhang hai ke
张海杏	zhang hai xing
张家	zhang jia
张家传奇	zhang jia chuan qi
张家古楼	zhang jia gu lou
张隆半	zhang long ban
