阿芙罗斯	a fu luo si
阿加雷斯	a jia lei si
阿鲁比昂	a lu bi ang
阿邱卡阿斯塔洛特	a qiu ka a si ta luo te
阿萨谢尔	a sa xie er
阿斯卡隆	a si ka long
阿兹达哈卡	a zi da ha ka
艾尔梅因谢尔汀格尔斯坦	ai er mei yin xie er ting ge er si tan
艾尔莎	ai er sha
爱莎	ai sha
爱莎阿尔杰特	ai sha a er jie te
安倍清芽	an bei qing ya
暗兽群	an shou qun
安野希世乃	an ye xi shi nai
安元洋贵	an yuan yang gui
奥丁	ao ding
奥菲斯	ao fei si
八坂	ba ban
霸龙	ba long
霸之力	ba zhi li
白龙皇	bai long huang
白龙皇的光翼	bai long huang de guang yi
拜丘	bai qiu
白音	bai yin
白银的极霸龙	bai yin de ji ba long
保村真	bao cun zhen
宝树的护封龙	bao shu de hu feng long
贝鲁扎德	bei lu zha de
北欧主神奥丁	bei ou zhu shen ao ding
本尼亚	ben ni ya
别西卜	bie xi bu
兵藤爱莉	bing teng ai li
兵藤一诚	bing teng yi cheng
苍雷龙	cang lei long
苍那西迪	cang na xi di
草下怜耶	cao xia lian ye
刹那的绝园	cha na de jue yuan
超自然研究部	chao zi ran yan jiu bu
成田剑	cheng tian jian
赤龙帝	chi long di
赤龙帝的笼手	chi long di de long shou
匙元士郎	chi yuan shi lang
次元狭缝	ci yuan xia feng
村山	cun shan
大罪之暴龙	da zui zhi bao long
德莱格	de lai ge
狄奥朵拉阿斯塔洛特	di ao duo la a si ta luo te
迪兰达尔	di lan da er
迪欧里奥杰兹阿尔德	di ou li ao jie zi a er de
帝释天	di shi tian
迪亚马特	di ya ma te
地狱之下层	di yu zhi xia ceng
斗战胜佛	dou zhan sheng fo
恶魔委托人	e mo wei tuo ren
二天龙	er tian long
法夫纳	fa fu na
菲尼克斯	fei ni ke si
芬里尔	fen li er
逢坂良太	feng ban liang tai
弗里德赛尔泽	fu li de sai er ze
弗栗多	fu li duo
高桥未奈美	gao qiao wei nai mei
高森奈津美	gao sen nai jin mei
格奥尔格	ge ao er ge
格古马格	ge gu ma ge
格拉墨	ge la mo
格莉洁达歌尔塔	ge li jie da ge er ta
格伦戴尔	ge lun dai er
古川慎	gu chuan shen
古蕾菲亚路西菲格斯	gu lei fei ya lu xi fei ge si
怪人们的假面舞会	guai ren men de jia mian wu hui
鬼手化	gui shou hua
哈迪斯	ha di si
海格力斯	hai ge li si
黑茨	hei ci
黑歌	hei ge
黑刃的狗神	hei ren de gou shen
黑邪之龙王	hei xie zhi long wang
黑之龙脉	hei zhi long mai
红发的灭杀公主	hong fa de mie sha gong zhu
花戒桃	hua jie tao
黄金龙君	huang jin long jun
黄金龙君的羽衣	huang jin long jun de yu yi
黄金龙君之铠	huang jin long jun zhi kai
煌天雷狱	huang tian lei yu
祸之团	huo zhi tuan
姬岛红	ji dao hong
姬岛朱乃	ji dao zhu nai
几濑鸢雄	ji lai yuan xiong
吉蒙里家族	ji meng li jia zu
加百列	jia bai lie
加斯帕维拉迪	jia si pa wei la di
加隈亚衣	jia wei ya yi
杰诺瓦	jie nuo wa
杰诺瓦夸塔	jie nuo wa kua ta
禁手化	jin shou hua
近藤孝行	jin teng xiao xing
井口佑一	jing kou you yi
精灵与光荣之盾	jing ling yu guang rong zhi dun
九重	jiu chong
巨人的恶作剧	ju ren de e zuo ju
驹王协定	ju wang xie ding
驹王学园	ju wang xue yuan
绝雾	jue wu
卡迪蕾雅	ka di lei ya
卡迪蕾雅利维坦	ka di lei ya li wei tan
开关公主	kai guan gong zhu
克鲁泽雷阿斯莫德	ke lu ze lei a si mo de
寇克博尔	kou ke bo er
拉冬	la dong
拉斐尔	la fei er
蕾贝尔菲尼克斯	lei bei er fei ni ke si
雷诚	lei cheng
雷光巫女	lei guang wu nv
雷之巫女	lei zhi wu nv
李奥纳多	li ao na duo
莉莉丝	li li si
立木文彦	li mu wen yan
丽娜丽	li na li
利维坦	li wei tan
莉亚丝	li ya si
莉亚丝吉蒙里	li ya si ji meng li
列泽维姆李维安路西法	lie ze wei mu li wei an lu xi fa
柳田淳一	liu tian chun yi
龙王变化	long wang bian hua
笼罩禁夜与黑暗的朔兽	long zhao jin ye yu hei an de shuo shou
龙之牢狱	long zhi lao yu
龙之手	long zhi shou
路菲潘德拉贡	lu fei pan de la gong
卢卡尔	lu ka er
路西法	lu xi fa
洛基	luo ji
洛丝维亚瑟	luo si wei ya se
猫魈	mao xiao
猫又	mao you
美猴	mei hou
米迦勒	mi jia le
米利加斯吉蒙里	mi li jia si ji meng li
米露炭	mi lu tan
密米尔之泉	mi mi er zhi quan
冥界	ming jie
魔帝剑	mo di jian
魔帝剑格拉墨	mo di jian ge la mo
魔剑创造	mo jian chuang zao
魔狼	mo lang
魔神巴罗尔	mo shen ba luo er
魔兽创造	mo shou chuang zao
魔源的禁龙	mo yuan de jin long
木场佑斗	mu chang you dou
木村亚希子	mu cun ya xi zi
内匠靖明	nei jiang jing ming
内田真礼	nei tian zhen li
拟态	ni tai
拟态之圣剑	ni tai zhi sheng jian
欧几里得路西菲格斯	ou ji li de lu xi fei ge si
片濑	pian lai
普鲁托	pu lu tuo
齐格弗里德	qi ge fu li de
漆黑之领域	qi hei zhi ling yu
浅仓杏美	qian cang xing mei
清水爱	qing shui ai
仁村留流子	ren cun liu liu zi
刃狗	ren gou
日笠阳子	ri li yang zi
乳龙帝	ru long di
乳神之力	ru shen zhi li
乳之精灵	ru zhi jing ling
瑞赛尔菲尼克斯	rui sai er fei ni ke si
萨麦尔	sa mai er
萨泽克斯	sa ze ke si
萨泽克斯吉蒙里	sa ze ke si ji meng li
塞拉奥格巴力	sai la ao ge ba li
塞拉芙尔西迪	sai la fu er xi di
三森铃子	san sen ling zi
三宅健太	san zhai jian tai
闪光与暗黑的龙绝刀	shan guang yu an hei de long jue dao
山口太郎	shan kou tai lang
山崎遥	shan qi yao
上匙	shang chi
神灭具	shen mie ju
神器无效化	shen qi wu xiao hua
神之子监视者	shen zhi zi jian shi zhe
圣霸之龙骑士团	sheng ba zhi long qi shi tuan
圣剑	sheng jian
圣剑创造	sheng jian chuang zao
圣母的微笑	sheng mu de wei xiao
生天目仁美	sheng tian mu ren mei
圣王剑	sheng wang jian
石川界人	shi chuan jie ren
世户沙织	shi hu sha zhi
食龙者	shi long zhe
辻亲八	shi qin ba
弑神之牙	shi shen zhi ya
石原夏织	shi yuan xia zhi
狮子王	shi zi wang
狮子王的钢皮	shi zi wang de gang pi
狮子王的战斧	shi zi wang de zhan fu
兽皇	shou huang
手冢弘道	shou zhong hong dao
双霸之圣魔剑	shuang ba zhi sheng mo jian
斯雷普尼尔	si lei pu ni er
松冈祯丞	song gang zhen cheng
松田	song tian
塔城小猫	ta cheng xiao mao
坦宁	tan ning
天魔之业龙	tian mo zhi ye long
天野夕麻	tian ye xi ma
停止世界的邪眼	ting zhi shi jie de xie yan
桐生蓝华	tong sheng lan hua
屠龙剑	tu long jian
臀龙皇	tun long huang
瓦勒莉采佩什	wa le li cai pei shen
瓦利	wa li
瓦利路西法	wa li lu xi fa
梶裕贵	wei yu gui
乌列	wu lie
无限龙神	wu xian long shen
西迪	xi di
细谷佳正	xi gu jia zheng
西海龙童	xi hai long tong
西明日香	xi ming ri xiang
夏鲁巴别西卜	xia lu ba bie xi bu
衔尾蛇	xian wei she
小白	xiao bai
小仓唯	xiao cang wei
小猫	xiao mao
小山力也	xiao shan li ye
小松未可子	xiao song wei ke zi
小泽亚李	xiao ze ya li
邪龙之黑炎	xie long zhi hei yan
谢姆哈萨	xie mu ha sa
新月的暗黑龙	xin yue de an hei long
巡巴柄	xun ba bing
亚瑟潘德拉贡	ya se pan de la gong
亚瑟王	ya se wang
野岛健儿	ye dao jian er
耶梦加得	ye meng jia de
一诚	yi cheng
伊库斯	yi ku si
伊库斯吉蒙里	yi ku si ji meng li
伊藤静	yi teng jing
银发的歼灭女王	yin fa de jian mie nv wang
樱井浩美	ying jing hao mei
永恒之枪	yong heng zhi qiang
永远的冰姬	yong yuan de bing ji
由良翼纱	you liang yi sha
幽世的圣杯	you shi de sheng bei
玉龙	yu long
元滨	yuan bin
战车	zhan che
真白龙神皇	zhen bai long shen huang
真赤龙神帝	zhen chi long shen di
贞德	zhen de
真罗椿姬	zhen luo chun ji
支取苍那	zhi qu cang na
中村悠一	zhong cun you yi
中国卓郎	zhong guo zhuo lang
终末之巨龙	zhong mo zhi ju long
种田梨沙	zhong tian li sha
竹达彩奈	zhu da cai nai
竹内良太	zhu nei liang tai
诸神的黄昏	zhu shen de huang hun
追忆之镜	zhui yi zhi jing
子安武人	zi an wu ren
紫藤伊莉娜	zi teng yi li na
紫炎祭主的磔台	zi yan ji zhu de zhe tai
诹访部顺一	zou fang bu shun yi
罪科之狱炎龙王	zui ke zhi yu yan long wang
佐仓绫音	zuo cang ling yin
