阿肯	a ken
阿星	a xing
暗飙	an biao
百日生活条款	bai ri sheng huo tiao kuan
白纱窗	bai sha chuang
曾孝	ceng xiao
超完美恋爱大全	chao wan mei lian ai da quan
陈为民	chen wei min
初体验	chu ti yan
大哥庆	da ge qing
单身戒	dan shen jie
单身戒指	dan shen jie zhi
赌命赛车	du ming sai che
对望	dui wang
耳钻	er zuan
发哥	fa ge
范建	fan jian
放羊	fang yang
放羊的阿星	fang yang de a xing
放羊的星星	fang yang de xing xing
光明	guang ming
光明舅	guang ming jiu
光明舅舅	guang ming jiu jiu
韩文版	han wen ban
韩志胤	han zhi yin
号牢房	hao lao fang
何宝珠	he bao zhu
何俊明	he jun ming
洪小玲	hong xiao ling
华丽的悲伤	hua li de bei shang
会把爱挂在心上	hui ba ai gua zai xin shang
火鸡跳艳舞	huo ji tiao yan wu
极速爱情	ji su ai qing
鸡鸭凡尼	ji ya fan ni
坚强分手	jian qiang fen shou
金善美	jin shan mei
就算给我	jiu suan gei wo
克什米尔蓝宝石	ke shi mi er lan bao shi
李威	li wei
立威廉	li wei lian
李雅微	li ya wei
恋爱必杀技	lian ai bi sha ji
链人	lian ren
林志颖	lin zhi ying
刘荷娜	liu he na
榴莲王子	liu lian wang zi
六婆	liu po
留住纪念	liu zhu ji nian
慢热笔记	man re bi ji
满天的星光	man tian de xing guang
猛男增订版	meng nan zeng ding ban
明日乡	ming ri xiang
摩谷鸽血红宝石	mo gu ge xue hong bao shi
你的爱的力量	ni de ai de li liang
你是否一样	ni shi fou yi yang
欧怀民	ou huai min
欧雅若	ou ya ruo
欧总监	ou zong jian
陪我在	pei wo zai
如何飞向	ru he fei xiang
三姑	san gu
三连弯	san lian wan
身旁	shen pang
圣战路西法	sheng zhan lu xi fa
十三哥	shi san ge
手创饰品达人	shou chuang shi pin da ren
天骐	tian qi
天堂上的星星	tian tang shang de xing xing
我等候的愿望	wo deng hou de yuan wang
我们的纪念	wo men de ji nian
我们只能对望	wo men zhi neng dui wang
我只想换你	wo zhi xiang huan ni
吴仁耀	wu ren yao
吴嫂	wu sao
午宴	wu yan
夏之星	xia zhi xing
像流星耀眼却会坠忘	xiang liu xing yao yan que hui zhui wang
相信爱不会说谎	xiang xin ai bu hui shuo huang
像一颗千里外的星光	xiang yi ke qian li wai de xing guang
小美冰淇淋	xiao mei bing qi lin
眼角的漩涡	yan jiao de xuan wo
遥不可及的远方	yao bu ke ji de yuan fang
遥远的星光	yao yuan de xing guang
一千个愿望	yi qian ge yuan wang
一直陪在我	yi zhi pei zai wo
一直陪在我身旁	yi zhi pei zai wo shen pang
诈欺犯	zha qi fan
赵十三	zhao shi san
这颗	zhe ke
这颗董事	zhe ke dong shi
这颗十块钱的星星在我心中比钻石还要珍贵	zhe ke shi kuai qian de xing xing zai wo xin zhong bi zuan shi hai yao zhen gui
郑董事	zheng dong shi
郑克群	zheng ke qun
只能凝望	zhi neng ning wang
只是分开收藏	zhi shi fen kai shou cang
仲家	zhong jia
仲天俊	zhong tian jun
仲天骐	zhong tian qi
仲天骐和夏之星	zhong tian qi he xia zhi xing
仲威	zhong wei
仲夏夜之星	zhong xia ye zhi xing
仲志胤	zhong zhi yin
猪肉荣	zhu rou rong
总是失望	zong shi shi wang
