暗杀教室	an sha jiao shi
奥田爱美	ao tian ai mei
白先生	bai xian sheng
比琪姐姐	bi qi jie jie
不破优月	bu po you yue
仓桥阳菜乃	cang qiao yang cai nai
潮田渚	chao tian zhu
赤红之眼	chi hong zhi yan
赤羽业	chi yu ye
川边俊介	chuan bian jun jie
川澄绫子	chuan cheng ling zi
村濑克辉	cun lai ke hui
村松拓哉	cun song tuo zai
岛崎信长	dao qi xin chang
多川心菜	duo chuan xin cai
防卫省	fang wei sheng
放学后黏糊糊强化补习	fang xue hou nian hu hu qiang hua bu xi
逢坂良太	feng ban liang tai
伏魔岛事件	fu mo dao shi jian
福山润	fu shan run
冈本信彦	gang ben xin yan
冈岛大河	gang dao da he
冈野日向	gang ye ri xiang
高木俊	gao mu jun
高桥伸也	gao qiao shen ye
宫下荣治	gong xia rong zhi
宫野真守	gong ye zhen shou
桂一雅	gui yi ya
鹤田	he tian
河原木志穗	he yuan mu zhi sui
缓慢杉野	huan man shan ye
荒木铁平	huang mu tie ping
矶贝君	ji bei jun
矶贝悠马	ji bei you ma
吉田大成	ji tian da cheng
机械暗杀者	ji xie an sha zhe
间岛淳司	jian dao chun si
间宫胡桃	jian gong hu tao
菅谷创介	jian gu chuang jie
进藤一考	jin teng yi kao
金元寿子	jin yuan shou zi
堀部营	ku bu ying
濑尾智也	lai wei zhi ye
柳泽	liu ze
柳泽夸太郎	liu ze kua tai lang
龙辉	long hui
罗威罗	luo wei luo
茅野	mao ye
茅野枫	mao ye feng
椚丘中学	men qiu zhong xue
明平铁平	ming ping tie ping
磨濑榛名	mo lai zhen ming
木村昴	mu cun mao
木村正义	mu cun zheng yi
楠大典	nan da dian
内藤玲	nei teng ling
片冈惠	pian gang hui
千叶龙之介	qian ye long zhi jie
浅野学峯	qian ye xue feng
浅野学秀	qian ye xue xiu
前原阳斗	qian yuan yang dou
浅沼晋太郎	qian zhao jin tai lang
清爽的杀意	qing shuang de sha yi
日野未步	ri ye wei bu
三村航辉	san cun hang hui
三宅健太	san zhai jian tai
杀老师	sha lao shi
山谷祥生	shan gu xiang sheng
杉田智和	shan tian zhi he
杉野友人	shan ye you ren
神崎有希子	shen qi you xi zi
榊原莲	shen yuan lian
胜杏里	sheng xing li
石川界人	shi chuan jie ren
矢田桃花	shi tian tao hua
矢作纱友里	shi zuo sha you li
帅气萌	shuai qi meng
双死神	shuang si shen
水岛大宙	shui dao da zhou
寺坂龙马	si ban long ma
寺板龙马	si ban long ma
寺井清	si jing qing
死神	si shen
死亡代言人	si wang dai yan ren
松浦知惠	song pu zhi hui
松山鹰志	song shan ying zhi
速水奖	su shui jiang
速水凛香	su shui lin xiang
藤田咲	teng tian xiao
田中美海	tian zhong mei hai
樋口智透	tong kou zhi tou
土屋果穗	tu wu guo sui
乌间	wu jian
乌间惟臣	wu jian wei chen
五英杰	wu ying jie
狭间绮罗罗	xia jian qi luo luo
下妻由幸	xia qi you xing
橡果	xiang guo
小山夏彦	xiao shan xia yan
小营	xiao ying
修业旅行指南	xiu ye lv xing zhi nan
绪方惠美	xu fang hui mei
雪村老师	xue cun lao shi
雪村亚佳里	xue cun ya jia li
雪村亚久里	xue cun ya jiu li
伊莉娜耶拉比琪	yi li na ye la bi qi
伊藤静	yi teng jing
伊丸冈笃	yi wan gang du
鹰冈	ying gang
鹰冈明	ying gang ming
永远的零	yong yuan de ling
有田	you tian
鱼之国	yu zhi guo
远胜小营的怪物	yuan sheng xiao ying de guai wu
原寿美铃	yuan shou mei ling
原泽晃绮	yuan ze huang qi
斋藤枫子	zhai teng feng zi
章鱼老师	zhang yu lao shi
沼仓爱美	zhao cang ai mei
植田佳奈	zhi tian jia nai
中村莉樱	zhong cun li ying
洲崎绫	zhou qi ling
宙斯盾级战舰	zhou si dun ji zhan jian
竹林孝太郎	zhu lin xiao tai lang
竹内良太	zhu nei liang tai
子安武人	zi an wu ren
自律思考固定炮台	zi lv si kao gu ding pao tai
诹访彩花	zou fang cai hua
罪孽深重的生物	zui nie shen zhong de sheng wu
佐藤聪美	zuo teng cong mei
佐藤拓也	zuo teng tuo ye
