暗杠	an gang
暗坎	an kan
暗刻	an ke
安牌	an pai
安庆麻将	an qing ma jiang
安全牌	an quan pai
暗三刻	an san ke
暗听	an ting
暗听牌	an ting pai
八本场	ba ben chang
八饼	ba bing
八番	ba fan
八连庄	ba lian zhuang
八圈	ba quan
八索	ba suo
八条	ba tiao
八筒	ba tong
八万	ba wan
白板	bai ban
百搭牌	bai da pai
百万石	bai wan shi
半庄	ban zhuang
半庄战	ban zhuang zhan
包牌	bao pai
宝牌	bao pai
报牌	bao pai
宝牌表示牌	bao pai biao shi pai
报听	bao ting
北二局	bei er ju
北风	bei feng
北风圈	bei feng quan
北家	bei jia
倍满	bei man
北入	bei ru
北三局	bei san ju
北四局	bei si ju
北一局	bei yi ju
边张	bian zhang
表宝牌	biao bao pai
表宝牌表示牌	biao bao pai biao shi pai
表悬赏牌	biao xuan shang pai
补花	bu hua
不求人	bu qiu ren
不听	bu ting
不听罚符	bu ting fa fu
不听牌	bu ting pai
长城	chang cheng
场风	chang feng
场风牌	chang feng pai
长沙麻将	chang sha ma jiang
赤宝牌	chi bao pai
吃牌	chi pai
吃碰杠	chi peng gang
赤五饼	chi wu bing
赤五索	chi wu suo
赤五条	chi wu tiao
赤五筒	chi wu tong
赤五万	chi wu wan
赤悬赏牌	chi xuan shang pai
吃张	chi zhang
筹码	chou ma
抽头	chou tou
出铳	chu chong
出牌	chu pai
出张	chu zhang
纯九莲宝灯	chun jiu lian bao deng
纯全	chun quan
纯全带	chun quan dai
纯全带幺九	chun quan dai yao jiu
纯四连刻	chun si lian ke
纯一气通贯全带幺九	chun yi qi tong guan quan dai yao jiu
刺马	ci ma
错和	cuo hu
错胡	cuo hu
搓牌	cuo pai
大饼	da bing
大车轮	da che lun
大和	da hu
大满贯	da man guan
大明杠	da ming gang
大七星	da qi xing
大三元	da san yuan
大数临	da shu lin
大四喜	da si xi
大四喜和	da si xi hu
大相公	da xiang gong
大于五	da yu wu
大竹林	da zhu lin
搭子	da zi
单钓	dan diao
单钓将	dan diao jiang
单龙	dan long
单骑	dan qi
单听	dan ting
单向听	dan xiang ting
低番	di fan
地方役	di fang yi
底分	di fen
地和	di hu
底牌	di pai
地域单骑	di yu dan qi
点棒	dian bang
点和	dian hu
点炮	dian pao
电视机	dian shi ji
吊牌	diao pai
顶三刻	ding san ke
东北麻将	dong bei ma jiang
东北新干线	dong bei xin gan xian
东北自动车道	dong bei zi dong che dao
东二局	dong er ju
东风	dong feng
东风圈	dong feng quan
东风战	dong feng zhan
东风庄	dong feng zhuang
东家	dong jia
东南战	dong nan zhan
东三局	dong san ju
东四局	dong si ju
东一局	dong yi ju
断红和	duan hong hu
断平	duan ping
断幺	duan yao
断幺九	duan yao jiu
对对	dui dui
对对和	dui dui hu
对家	dui jia
对门	dui men
