半兽人	ban shou ren
北狼斥候	bei lang chi hou
北狼守卫	bei lang shou wei
北狼先知侍者	bei lang xian zhi shi zhe
碧睛兽	bi jing shou
碧睛兽妖	bi jing shou yao
变异刺鱼	bian yi ci yu
潮蟹	chao xie
捣蛋鼠	dao dan shu
赌儿爷	du er ye
赌狸	du li
功夫酒罐	gong fu jiu guan
海盗	hai dao
角鹿	jiao lu
酒狸	jiu li
巨蛛王	ju zhu wang
枯木斧卫	ku mu fu wei
枯木斧卫头目	ku mu fu wei tou mu
枯木灵师	ku mu ling shi
枯木灵师头目	ku mu ling shi tou mu
狂暴海兽妖	kuang bao hai shou yao
蓝星蟹	lan xing xie
狼蛛	lang zhu
璃兽	li shou
利爪血狼	li zhua xue lang
獠牙野猪	liao ya ye zhu
龙血叛军	long xue pan jun
龙血巫师头目	long xue wu shi tou mu
龙血巫师王	long xue wu shi wang
萝妇蛛	luo fu zhu
萝莉	luo li
美味食物	mei wei shi wu
魔化村民	mo hua cun min
魔化的菇凉	mo hua de gu liang
魔化的菇少	mo hua de gu shao
木妖	mu yao
胖水贼	pang shui zei
奇异草精	qi yi cao jing
色狸	se li
色字头头	se zi tou tou
森鹿	sen lu
沙蟹	sha xie
色子狗	shai zi gou
噬魂海妖	shi hun hai yao
食狸	shi li
石林尸鹫	shi lin shi jiu
嗜血魔狼	shi xue mo lang
瘦水贼	shou shui zei
水之灵	shui zhi ling
偷吃鼠	tou chi shu
偷猎者	tou lie zhe
吞潮龟	tun chao gui
吞浪龟	tun lang gui
吞狼蛛	tun lang zhu
驼鹿	tuo lu
雾影虫	wu ying chong
嘻潮蟹	xi chao xie
汐族法师	xi zu fa shi
汐族守卫	xi zu shou wei
汐族战士	xi zu zhan shi
相扑酒桶	xiang pu jiu tong
小石精	xiao shi jing
星影虫	xing ying chong
雪猿	xue yuan
硬甲刺虫	ying jia ci chong
御姐	yu jie
泽鹿	ze lu
沼泽龟	zhao ze gui
