阿部敦	a bu dun
巴鲁卡星人	ba lu ka xing ren
白百合历	bai bai he li
布瓦兹	bu wa zi
彩南町	cai nan ding
彩南高中	cai nan gao zhong
查姆人	cha mu ren
城雅子	cheng ya zi
出包	chu bao
出包王女	chu bao wang nv
川澄绫子	chuan cheng ling zi
春菜	chun cai
村雨静	cun yu jing
搓揉女孩	cuo rou nv hai
大浦冬华	da pu dong hua
达塞尔银河	da sai er yin he
大原沙耶香	da yuan sha ye xiang
戴比路克星	dai bi lu ke xing
的目扬	de mu yang
第一公主	di yi gong zhu
渡边明乃	du bian ming nai
菲雷伊姆星人	fei lei yi mu xing ren
丰崎爱生	feng qi ai sheng
福圆美里	fu yuan mei li
高美	gao mei
高桥美佳子	gao qiao mei jia zi
骨川老师	gu chuan lao shi
古手川唯	gu shou chuan wei
古手川游	gu shou chuan you
黑色装饰枪	hei se zhuang shi qiang
户松遥	hu song yao
花泽香菜	hua ze xiang cai
火箭君	huo jian jun
基布里	ji bu li
吉开清人	ji kai qing ren
吉野裕行	ji ye yu xing
贾马星	jia ma xing
结城才培	jie cheng cai pei
结城梨斗	jie cheng li dou
结城林檎	jie cheng lin qin
结城美柑	jie cheng mei gan
金色暗影	jin se an ying
金野润	jin ye run
九条戒	jiu tiao jie
九条凛	jiu tiao lin
卡马	ka ma
卡梅龙	ka mei long
拉可斯波	la ke si bo
菈菈	la la
菈菈撒塔林戴比路克	la la sa ta lin dai bi lu ke
蓝杰拉	lan jie la
浪川大辅	lang chuan da fu
乐园计划	le yuan ji hua
梨斗	li dou
立花	li hua
连艾尔西裘利亚	lian ai er xi qiu li ya
伦艾尔西裘利亚	lun ai er xi qiu li ya
马隆	ma long
马鲁	ma lu
麻生智久	ma sheng zhi jiu
美柑	mei gan
梅莫鲁西星	mei mo lu xi xing
梦梦贝莉雅戴比路克	meng meng bei li ya dai bi lu ke
鸣岩老师	ming yan lao shi
名冢佳织	ming zhong jia zhi
魔法少女恭子	mo fa shao nv gong zi
娜娜阿丝达戴比路克	na na a si da dai bi lu ke
乃际真美	nai ji zhen mei
能登麻美子	neng deng ma mei zi
籾冈里纱	ni gang li sha
弄光泰三	nong guang tai san
女王	nv wang
沛凯	pei kai
普兰达斯星	pu lan da si xing
普流马	pu liu ma
奇多路西翁戴比路克	qi duo lu xi weng dai bi lu ke
千叶千惠巳	qian ye qian hui si
桥本	qiao ben
秋穗	qiu sui
萨斯丁	sa si ding
赛菲米卡埃拉戴比路克	sai fei mi ka ai la dai bi lu ke
沙姬	sha ji
纱弥香	sha mi xiang
山口胜平	shan kou sheng ping
矢作纱友里	shi zuo sha you li
水桥香织	shui qiao xiang zhi
松尾大亮	song wei da liang
藤崎绫	teng qi ling
藤原启治	teng yuan qi zhi
天条院集团	tian tiao yuan ji tuan
天条院刘我	tian tiao yuan liu wo
天条院沙姬	tian tiao yuan sha ji
未央	wei yang
雾崎恭子	wu qi gong zi
希莉奴	xi li nu
西连寺春菜	xi lian si chun cai
西连寺秋穗	xi lian si qiu sui
夕崎梨子	xi qi li zi
小黑	xiao hei
小静	xiao jing
小暮幸惠	xiao mu xing hui
小幸	xiao xing
校长	xiao zhang
新井里美	xin jing li mei
新井纱弥香	xin jing sha mi xiang
新田晴子	xin tian qing zi
绪方贤一	xu fang xian yi
伊芙	yi fu
伊集院	yi ji yuan
伊藤加奈惠	yi teng jia nai hui
樱井浩美	ying jing hao mei
柚木凉香	you mu liang xiang
御门凉子	yu men liang zi
猿山健一	yuan shan jian yi
泽田未央	ze tian wei yang
真殿光昭	zhen dian guang zhao
真美	zhen mei
中村秀利	zhong cun xiu li
中村知子	zhong cun zhi zi
子安武人	zi an wu ren
佐清老师	zuo qing lao shi
