八云	ba yun
茶风林	cha feng lin
关智一	guan zhi yi
黒道大哥	hei dao da ge
加濑康之	jia lai kang zhi
家中宏	jia zhong hong
菊比古	ju bi gu
立川	li chuan
林家新平	lin jia xin ping
林原惠	lin yuan hui
美代吉	mei dai ji
牛山茂	niu shan mao
山口胜平	shan kou sheng ping
山寺宏一	shan si hong yi
石田彰	shi tian zhang
死神	si shen
松田	song tian
太郎	tai lang
万岁	wan sui
万月	wan yue
小林沙苗	xiao lin sha miao
小林优	xiao lin you
小夏	xiao xia
须藤翔	xu teng xiang
有乐亭八云	you lao ting ba yun
游佐浩二	you zuo hao er
与太郎	yu tai lang
云田晴子	yun tian qing zi
昭和元禄落语心中	zhao he yuan lu luo yu xin zhong
助六	zhu liu
