阿拉德	a la de
阿拉德大陆	a la de da lu
阿斯顿拉蒂	a si dun la di
阿羿	a yi
艾特布拉尼恩佐	ai te bu la ni en zuo
暗精灵王国	an jing ling wang guo
暴走的赤红左臂	bao zou de chi hong zuo bi
被疯狂唤醒	bei feng kuang huan xing
变异牛头	bian yi niu tou
变异泰拉石	bian yi tai la shi
别跟我拐弯抹角	bie gen wo guai wan mo jiao
不可爱一点	bu ke ai yi dian
布莱切尔	bu lai qie er
曹旭鹏	cao xu peng
长田绘里	chang tian hui li
沉睡着的力量	chen shui zhe de li liang
程武	cheng wu
醋醋	cu cu
大八	da ba
大庭秀昭	da ting xiu zhao
刀斩过肉身	dao zhan guo rou shen
德洛斯帝国	de luo si di guo
德洛斯帝国军事学院	de luo si di guo jun shi xue yuan
帝国	di guo
帝国传说祭典	di guo chuan shuo ji dian
帝国黑幕	di guo hei mu
帝国皇家剑术学院	di guo huang jia jian shu xue yuan
帝国军事学院	di guo jun shi xue yuan
帝国学院	di guo xue yuan
东原一辉	dong yuan yi hui
渡边里佳子	du bian li jia zi
复仇者形态	fu chou zhe xing tai
高校精英邀请赛	gao xiao jing ying yao qing sai
格斗家	ge dou jia
格兰之森的战斗	ge lan zhi sen de zhan dou
公国	gong guo
工藤吉三	gong teng ji san
鬼剑士	gui jian shi
鬼泣	gui qi
鬼手	gui shou
贵族剑术休息机构	gui zu jian shu xiu xi ji gou
贵族叛乱	gui zu pan luan
海因里希三世	hai yin li xi san shi
皇女	huang nv
寄宿在心底的野兽	ji su zai xin di de ye shou
煎饼摊小学徒	jian bing tan xiao xue tu
剑魂	jian hun
贱萌中二	jian meng zhong er
将残忍谎言恸哭击碎	jiang can ren huang yan tong ku ji sui
姜广涛	jiang guang tao
金田冲弘	jin tian chong hong
就算未来茫然无措	jiu suan wei lai mang ran wu cuo
巨剑	ju jian
绝望的终点	jue wang de zhong dian
绝望之塔	jue wang zhi ta
觉醒的黑	jue xing de hei
决战者	jue zhan zhe
克隆实验	ke long shi yan
狂战士	kuang zhan shi
来自天界的枪手	lai zi tian jie de qiang shou
里昂	li ang
力量被疯狂唤醒	li liang bei feng kuang huan xing
黎明的翅膀	li ming de chi bang
卢卡斯	lu ka si
卢卡斯羿	lu ka si yi
玛尔公国	ma er gong guo
马晓轶	ma xiao yi
猫女缪缪	mao nv miu miu
每每	mei mei
萌贱属性	meng jian shu xing
弥夏杯	mi xia bei
冥凰	ming huang
名为天才或名为平庸	ming wei tian cai huo ming wei ping yong
命运的诅咒	ming yun de zu zhou
命运只由自己主宰	ming yun zhi you zi ji zhu zai
缪缪	miu miu
魔道学者	mo dao xue zhe
魔界泰拉	mo jie tai la
魔枪士	mo qiang shi
末日审判者	mo ri shen pan zhe
末日审判者形态	mo ri shen pan zhe xing tai
莫小方	mo xiao fang
魔杖	mo zhang
哪怕粉碎记忆身体	na pa fen sui ji yi shen ti
南主绝	nan zhu jue
能动手就别动口	neng dong shou jiu bie dong kou
牛头怪	niu tou guai
牛头巨兽	niu tou ju shou
牛头人	niu tou ren
诺顿科技	nuo dun ke ji
诺顿实验室克隆生物	nuo dun shi yan shi ke long sheng wu
拼尽全力却徒劳无用	pin jin quan li que tu lao wu yong
千叶梓	qian ye zi
乔诗语	qiao shi yu
请相信你心底	qing xiang xin ni xin di
拳套	quan tao
人生的道路	ren sheng de dao lu
仍止不住我斗志汹涌	reng zhi bu zhu wo dou zhi xiong yong
山新	shan xin
神枪手	shen qiang shou
生活可不能随遇而安	sheng huo ke bu neng sui yu er an
生命如此漫长	sheng ming ru ci man chang
世界末日降临之前	shi jie mo ri jiang lin zhi qian
双层世界	shuang ceng shi jie
双枪左轮	shuang qiang zuo lun
宿命之门	su ming zhi men
泰拉石	tai la shi
泰拉族	tai la zu
特邀考生通道	te yao kao sheng tong dao
天才登场	tian cai deng chang
天界	tian jie
天界根特	tian jie gen te
天空之海	tian kong zhi hai
天族	tian zu
吞噬光明	tun shi guang ming
汪天才	wang tian cai
汪添财	wang tian cai
未来世界	wei lai shi jie
武技元素	wu ji yuan su
希斯	xi si
细田雅弘	xi tian ya hong
希望的开篇	xi wang de kai pian
希望与噩梦对折	xi wang yu e meng dui zhe
夏侯吨	xia hou dun
献上鲜花美女和欢呼	xian shang xian hua mei nv he huan hu
信仰守护的初心	xin yang shou hu de chu xin
心斩过灵魂	xin zhan guo ling hun
修习决战者	xiu xi jue zhan zhe
虚祖	xu zu
虚祖国	xu zu guo
学院形态	xue yuan xing tai
岩田匡志	yan tian kuang zhi
也为守护而前行	ye wei shou hu er qian xing
以剑斩破宿命	yi jian zhan po su ming
以血燃烧绝境	yi xue ran shao jue jing
尤尔根	you er gen
又野弘道	you ye hong dao
在我的子弹出膛之前	zai wo de zi dan chu tang zhi qian
在我身体烙印毁灭	zai wo shen ti lao yin hui mie
怎么全身而退	zen me quan shen er tui
战到最后的黎明	zhan dao zui hou de li ming
战斗形态	zhan dou xing tai
召唤着赤红之手	zhao huan zhe chi hong zhi shou
挣脱枷锁辗碎梦魇	zheng tuo jia suo zhan sui meng yan
征战者	zheng zhan zhe
只想逆转恶魔寄宿	zhi xiang ni zhuan e mo ji su
只有通过或者倒下	zhi you tong guo huo zhe dao xia
周深	zhou shen
紫色魔枪士	zi se mo qiang shi
邹正宇	zou zheng yu
最强的爆裂	zui qiang de bao lie
最重的锁链	zui zhong de suo lian
