阿尔帕兰	a er pa lan
阿克苏那	a ke su na
阿修罗	a xiu luo
艾哈迈德	ai ha mai de
爱丽丝	ai li si
埃默蒂普	ai mo di pu
爱西斯	ai xi si
安妮塔	an ni ta
盎格	ang ge
盎格库克	ang ge ku ke
奥利比亚	ao li bi ya
奥西里斯	ao xi li si
巴比伦空中花园	ba bi lun kong zhong hua yuan
巴塞罗那	ba sai luo na
巴洲	ba zhou
贝奥武夫	bei ao wu fu
北美	bei mei
布加勒斯特	bu jia le si te
布朗	bu lang
布朗城	bu lang cheng
长弓兵	chang gong bing
长枪兵	chang qiang bing
沉没的机械神殿	chen mo de ji xie shen dian
出云阿国	chu yun a guo
大魔导师	da mo dao shi
达沃	da wo
代	dai
代达罗斯	dai da luo si
德梅瑞	de mei rui
东北亚	dong bei ya
东南亚	dong nan ya
恶灵丛林	e ling cong lin
釜山	fu shan
干达	gan da
干达婆	gan da po
干达亚	gan da ya
高级女神官	gao ji nv shen guan
工兵	gong bing
哈尔滨	ha er bin
海底	hai di
海根	hai gen
汉阳	han yang
荷	he
荷拉特斯	he la te si
荷鲁斯	he lu si
和尚	he shang
黑骑士	hei qi shi
黄鹤遗址	huang he yi zhi
黄河遗址	huang he yi zhi
黄金龙	huang jin long
黄泉的摆渡人厄尚阿比	huang quan de bai du ren e shang a bi
辉夜姬	hui ye ji
吉	ji
吉隆坡	ji long po
吉奈特	ji nai te
加德满都	jia de man du
加尔各答	jia er ge da
见习弓兵	jian xi gong bing
见习魔女	jian xi mo nv
见习女神官	jian xi nv shen guan
见习枪兵	jian xi qiang bing
见习巫女	jian xi wu nv
见习驯兽师	jian xi xun shou shi
见习驯兽师纳莉	jian xi xun shou shi na li
精灵之森	jing ling zhi sen
君士坦丁堡激战地	jun shi tan ding bao ji zhan di
卡拉俄	ka la e
卡拉培	ka la pei
克里斯蒂娜	ke li si di na
克里特达罗墓地	ke li te da luo mu di
克里特迷宫	ke li te mi gong
科伦坡	ke lun po
库伯克	ku bo ke
库尔莫拉基	ku er mo la ji
昆虫巢穴	kun chong chao xue
莱拉	lai la
郎克斯	lang ke si
丽莎	li sha
利文斯顿	li wen si dun
里伊夫	li yi fu
寮洲	liao zhou
龙宫	long gong
卢瑞克	lu rui ke
罗宾汉	luo bin han
罗刹	luo cha
马尔奈特	ma er nai te
马里埃特	ma li ai te
马尼拉	ma ni la
曼德勒	man de le
米内	mi nei
明智光秀	ming zhi guang xiu
莫甘娜	mo gan na
墨涅拉俄斯	mo nie la e si
魔女	mo nv
木抢	mu qiang
木枪	mu qiang
纳芙蒂蒂	na fu di di
南蛮公主华蔓	nan man gong zhu hua man
浓姬	nong ji
女骑士	nv qi shi
女骑士长	nv qi shi chang
女骑士随从	nv qi shi sui cong
女神官	nv shen guan
欧拉克	ou la ke
欧洲北部	ou zhou bei bu
欧洲南部	ou zhou nan bu
帕斯菲	pa si fei
佩德罗	pei de luo
破坏者	po huai zhe
奇奇莫拉	qi qi mo la
枪勇士	qiang yong shi
切巴托	qie ba tuo
秦达罗	qin da luo
秦姬陵	qin ji ling
清迈	qing mai
萨迦	sa jia
沙贾汗	sha jia han
阇	she
舍塔那匹	she ta na pi
阇耶跋摩	she ye ba mo
圣女贞德	sheng nv zhen de
失落的火山峡谷	shi luo de huo shan xia gu
双僧	shuang seng
斯巴特奇	si ba te qi
死亡将军城	si wang jiang jun cheng
苏	su
苏富比	su fu bi
泰的的灵魂	tai de de ling hun
泰姬陵的深渊	tai ji ling de shen yuan
田禹治	tian yu zhi
屠龙者	tu long zhe
图坦卡蒙	tu tan ka meng
瓦拉几亚	wa la ji ya
王尔德布鲁	wang er de bu lu
亡灵武士	wang ling wu shi
王室峡谷	wang shi xia gu
薇薇安	wei wei an
维也纳	wei ye na
乌尔班	wu er ban
乌尔瓦希	wu er wa xi
吴哥窟	wu ge ku
巫后	wu hou
巫女	wu nv
物品搜集官鲍三娘	wu pin sou ji guan bao san niang
乌塔那匹兹姆	wu ta na pi zi mu
西南亚	xi nan ya
夏尔丹	xia er dan
血骑士	xue qi shi
驯兽师	xun shou shi
亚门	ya men
伊斯班	yi si ban
英雄阿国	ying xiong a guo
英雄阿克苏那	ying xiong a ke su na
英雄罗宾汉	ying xiong luo bin han
英雄莫甘娜	ying xiong mo gan na
英雄圣女贞德	ying xiong sheng nv zhen de
英雄赵子龙	ying xiong zhao zi long
英雄祝融	ying xiong zhu rong
幽洲	you zhou
预言家赫卡柏	yu yan jia he ka bai
宇宙树城	yu zhou shu cheng
约翰史密斯	yue han shi mi si
赵子龙	zhao zi long
征服者	zheng fu zhe
中原	zhong yuan
祝融	zhu rong
