爆炸符	bao zha fu
辟谷境	bi gu jing
出窍镜	chu qiao jing
创立峨嵋派	chuang li e mei pai
醋醋	cu cu
大成镜	da cheng jing
大流氓	da liu mang
大学穷屌丝	da xue qiong diao si
道家郭双现世篇	dao jia guo shuang xian shi pian
道家妹子求双修	dao jia mei zi qiu shuang xiu
道门仙家	dao men xian jia
地级境	di ji jing
渡劫镜	du jie jing
放大符	fang da fu
飞升镜	fei sheng jing
分神镜	fen shen jing
冯骏骅	feng jun hua
封夕	feng xi
封夕半觉醒篇	feng xi ban jue xing pian
封夕的女朋友	feng xi de nv peng you
封夕回忆之道家郭双前世篇	feng xi hui yi zhi dao jia guo shuang qian shi pian
逛灯会	guang deng hui
郭靖和黄蓉的小女儿	guo jing he huang rong de xiao nv er
郭双	guo shuang
合欢	he huan
合欢树苗	he huan shu miao
合体镜	he ti jing
后天境	hou tian jing
狐火	hu huo
狐仙族	hu xian zu
狐族	hu zu
狐族妖仙	hu zu yao xian
化形境	hua xing jing
黄哥	huang ge
火焰弹	huo yan dan
金丹镜	jin dan jing
警官小周	jing guan xiao zhou
酒儿	jiu er
酒儿姐姐	jiu er jie jie
九尾狐妲己	jiu wei hu da ji
九尾狐族	jiu wei hu zu
九尾狐族修炼法	jiu wei hu zu xiu lian fa
九尾致境	jiu wei zhi jing
君宝	jun bao
老大	lao da
雷电符	lei dian fu
泪珠凝聚成的珠子	lei zhu ning ju cheng de zhu zi
愣头青	leng tou qing
练法境	lian fa jing
亮兵器吧妖怪	liang bing qi ba yao guai
灵动境	ling dong jing
另一个开始	ling yi ge kai shi
龙卷风	long juan feng
龙三元	long san yuan
龙仙儿	long xian er
龙之泪	long zhi lei
龙族妖仙	long zu yao xian
落叶归根	luo ye gui gen
马哲	ma zhe
猫仙族	mao xian zu
魅惑众生的九尾狐狸	mei huo zhong sheng de jiu wei hu li
灭绝师太的师祖	mie jue shi tai de shi zu
内丹	nei dan
内丹境	nei dan jing
女娲麾下战妖	nv wa hui xia zhan yao
胖子	pang zi
榕榕	rong rong
杉杉	shan shan
神游太虚	shen you tai xu
师祖	shi zu
树叉法宝	shu cha fa bao
树藤降生	shu teng jiang sheng
树藤术	shu teng shu
树妖	shu yao
树妖合欢篇	shu yao he huan pian
苏九儿	su jiu er
缩地成寸	suo di cheng cun
锁链封印	suo lian feng yin
糖人家	tang ren jia
天地精华修炼	tian di jing hua xiu lian
天地灵气	tian di ling qi
天级境	tian ji jing
吸人精气的合欢树妖	xi ren jing qi de he huan shu yao
吸食精气	xi shi jing qi
仙家女神表示滚远点	xian jia nv shen biao shi gun yuan dian
先天境	xian tian jing
仙元之力	xian yuan zhi li
襄儿	xiang er
修真殿堂	xiu zhen dian tang
阳神	yang shen
阳眼	yang yan
妖怪名单	yao guai ming dan
妖狼	yao lang
妖女小东邪	yao nv xiao dong xie
妖气诱惑	yao qi you huo
妖人大战	yao ren da zhan
一尾致境到九尾致境	yi wei zhi jing dao jiu wei zhi jing
诱惑术	you huo shu
御龙宝珠	yu long bao zhu
元婴镜	yuan ying jing
张君宝	zhang jun bao
张三丰	zhang san feng
郑成杰	zheng cheng jie
植物系群族	zhi wu xi qun zu
治愈系	zhi yu xi
筑基境	zhu ji jing
