爱奇艺	ai qi yi
百度视频	bai du shi pin
百度影音	bai du ying yin
暴风	bao feng
暴风影音	bao feng ying yin
爆米花	bao mi hua
爆米花视频	bao mi hua shi pin
第一视频	di yi shi pin
电影网	dian ying wang
凤凰视频	feng huang shi pin
风行	feng xing
风行网	feng xing wang
激动视频	ji dong shi pin
激动网	ji dong wang
乐视视频	le shi shi pin
乐视网	le shi wang
七色	qi se
七色追新	qi se zhui xin
七色追新助手	qi se zhui xin zhu shou
人人影视	ren ren ying shi
搜狐视频	sou hu shi pin
糖豆网	tang dou wang
淘米视频	tao mi shi pin
腾讯视频	teng xun shi pin
土豆	tu dou
土豆网	tu dou wang
新浪视频	xin lang shi pin
熊猫频道	xiong mao pin dao
迅雷	xun lei
迅雷官网	xun lei guan wang
迅雷看看	xun lei kan kan
优酷	you ku
优酷网	you ku wang
有妖气	you yao qi
