爱的小屋	ai de xiao wu
爱情长跑	ai qing chang pao
爱杀	ai sha
暗恋桃花源	an lian tao hua yuan
八百壮士	ba bai zhuang shi
白发魔女传	bai fa mo nv chuan
白发魔女二	bai fa mo nv er
奔向彩虹	ben xiang cai hong
碧血黄花	bi xue huang hua
不一样的爱	bu yi yang de ai
彩霞满天	cai xia man tian
长青树	chang qing shu
长情万缕	chang qing wan lv
晨雾	chen wu
成功岭上	cheng gong ling shang
重庆森林	chong qing sen lin
处处闻啼鸟	chu chu wen ti niao
窗外	chuang wai
纯纯的爱	chun chun de ai
纯情	chun qing
刀剑笑	dao jian xiao
刀马旦	dao ma dan
东方不败之风云再起	dong fang bu bai zhi feng yun zai qi
东邪西毒	dong xie xi du
夺命佳人	duo ming jia ren
烽火佳人	feng huo jia ren
枫叶情	feng ye qing
古镜幽魂	gu jing you hun
鬼马俏医生	gui ma qiao yi sheng
滚滚红尘	gun gun hong chen
海誓山盟	hai shi shan meng
海天一色	hai tian yi se
黑白珠	hei bai zhu
黑豹天下	hei bao tian xia
横财三千万	heng cai san qian wan
红粉兵团	hong fen bing tuan
红粉游侠	hong fen you xia
慧眼识英雄	hui yan shi ying xiong
火云传奇	huo yun chuan qi
今夜星光灿烂	jin ye xing guang can lan
金玉良缘红楼梦	jin yu liang yuan hong lou meng
金盏花	jin zhan hua
警察故事	jing cha gu shi
惊魂记	jing hun ji
绝代双骄	jue dai shuang jiao
君子好逑	jun zi hao qiu
恋爱反斗星	lian ai fan dou xing
恋爱功夫	lian ai gong fu
烈血长天	lie xue chang tian
留下一片相思	liu xia yi pian xiang si
六指琴魔	liu zhi qin mo
鹿鼎记	lu ding ji
鹿鼎记之神龙教	lu ding ji zhi shen long jiao
梦中人	meng zhong ren
迷你特攻队	mi ni te gong dui
明天二十岁	ming tian er shi sui
难忘的一天	nan wang de yi tian
女记者	nv ji zhe
女朋友	nv peng you
翩翩情	pian pian qing
旗正飘飘	qi zheng piao piao
七只狐狸	qi zhi hu li
枪口下的小百合	qiang kou xia de xiao bai he
情奔	qing ben
情蒙蒙雾蒙蒙	qing meng meng wu meng meng
青青草原上	qing qing cao yuan shang
情人看刀	qing ren kan dao
秋歌	qiu ge
燃烧吧火鸟	ran shao ba huo niao
热浪	re lang
沙滩上的月亮	sha tan shang de yue liang
射雕英雄之东成西就	she diao ying xiong zhi dong cheng xi jiu
水云	shui yun
四傻害羞	si sha hai xiu
我爱夜来香	wo ai ye lai xiang
我是一片云	wo shi yi pian yun
我是一沙鸥	wo shi yi sha ou
无情荒地有情天	wu qing huang di you qing tian
午夜兰花	wu ye lan hua
陷阱	xian jing
笑傲江湖之东方不败	xiao ao jiang hu zhi dong fang bu bai
小姨	xiao yi
新白蛇传	xin bai she zhuan
新龙门客栈	xin long men ke zhan
新蜀山剑侠	xin shu shan jian xia
新天龙八部之天山童姥	xin tian long ba bu zhi tian shan tong lao
雁儿在林梢	yan er zai lin shao
烟雨	yan yu
一对傻鸟	yi dui sha niao
一九八三大惊奇	yi jiu ba san da jing qi
一颗红豆	yi ke hong dou
一片情深	yi pian qing shen
异乡梦	yi xiang meng
英雄偶像	ying xiong ou xiang
英雄正传	ying xiong zheng zhuan
幽兰在雨中	you lan zai yu zhong
月朦胧鸟朦胧	yue meng long niao meng long
云河	yun he
云飘飘	yun piao piao
云深不知处	yun shen bu zhi chu
在水一方	zai shui yi fang
真白蛇传	zhen bai she zhuan
脂粉双炮	zhi fen shuang pao
中国女兵	zhong guo nv bing
追男仔	zhui nan zai
追球追求	zhui qiu zhui qiu
昨夜今夜明夜	zuo ye jin ye ming ye
