安比槐	an bi huai
安常在	an chang zai
安答应	an da ying
安贵人	an gui ren
安陵容	an ling rong
安嫔	an pin
曹贵人	cao gui ren
曹琴默	cao qin mo
淳常在	chun chang zai
淳儿	chun er
淳意方纤	chun yi fang xian
纯元皇后	chun yuan huang hou
崔槿汐	cui jin xi
杜若清礼	du ruo qing li
端妃	duan fei
敦肃贵妃	dun su gui fei
敦肃皇贵妃	dun su huang gui fei
非洲大丽菊	fei zhou da li ju
冯若昭	feng ruo zhao
浮生若梦	fu sheng ruo meng
故衣事件	gu yi shi jian
瓜尔佳鄂敏	gua er jia e min
瓜尔佳氏	gua er jia shi
瓜尔佳文鸳	gua er jia wen yuan
莞常在	guan chang zai
莞贵人	guan gui ren
莞嫔	guan pin
果郡王	guo jun wang
果亲王	guo qin wang
果子	guo zi
弘时	hong shi
弘曕	hong yan
华妃	hua fei
华贵妃	hua gui fei
浣碧	huan bi
嬛嬛一袅	huan huan yi niao
浣嫣如碧	huan yan ru bi
皇贵妃	huang gui fei
黄规全	huang gui quan
皇贵太妃	huang gui tai fei
惠贵人	hui gui ren
惠嫔	hui pin
姜忠敏	jiang zhong min
槿汐	jin xi
敬妃	jing fei
敬贵妃	jing gui fei
敬贵太妃	jing gui tai fei
静和公主	jing he gong zhu
惊鸿舞	jing hong wu
敬嫔	jing pin
康常在	kang chang zai
老十七	lao shi qi
鹂妃	li fei
丽嫔	li pin
鹂音绕梁	li yin rao liang
灵犀公主	ling xi gong zhu
流光朱色	liu guang zhu se
流朱	liu zhu
胧月公主	long yue gong zhu
眉姐姐	mei jie jie
孟静娴	meng jing xian
明月昭昭	ming yue zhao zhao
木槿潮汐	mu jin chao xi
年答应	nian da ying
年妃	nian fei
年世兰	nian shi lan
钮祜禄氏	niu hu lu shi
钮祜禄玉隐	niu hu lu yu yin
钮祜禄甄嬛	niu hu lu zhen huan
齐二妃	qi er fei
齐妃	qi fei
祺贵人	qi gui ren
祺嫔	qi pin
齐月宾	qi yue bin
前世宜修	qian shi yi xiu
琴音默然	qin yin mo ran
青澜依人	qing lan yi ren
清世宗	qing shi zong
悫妃	que fei
入宫待选	ru gong dai xuan
芍放世兰	shao fang shi lan
沈眉庄	shen mei zhuang
圣孝宪皇后	sheng xiao xian huang hou
世宗宪皇帝	shi zong xian huang di
颂雅兰芝	song ya lan zhi
颂芝	song zhi
苏培盛	su pei sheng
温阿胶	wen e jiao
温实初	wen shi chu
温小受	wen xiao shou
温宜帝姬	wen yi di ji
温宜公主	wen yi gong zhu
乌拉那拉氏	wu la na la shi
熹妃	xi fei
熹贵妃	xi gui fei
娴福晋	xian fu jin
襄嫔	xiang pin
孝敬宪皇后	xiao jing xian huang hou
协理六宫	xie li liu gong
徐进良	xu jin liang
雍凌天威	yong ling tian wei
雍正	yong zheng
玉福晋	yu fu jin
月色宾玢	yue se bin fen
允礼	yun li
展眉如初	zhan mei ru chu
甄嬛	zhen huan
甄嬛传	zhen huan zhuan
贞嫔	zhen pin
甄玉娆	zhen yu rao
甄远道	zhen yuan dao
芝答应	zhi da ying
周宁海	zhou ning hai
