八班	ba ban
变出你和我对话	bian chu ni he wo dui hua
别管它被怀疑被打压	bie guan ta bei huai yi bei da ya
辰希夫妇	chen xi fu fu
陈小希	chen xiao xi
充满我爱的事的家	chong man wo ai de shi de jia
初心染一路芳华	chu xin ran yi lu fang hua
蠢萌逗比	chun meng dou bi
蠢萌漫画家	chun meng man hua jia
大哥	da ge
大姐大	da jie da
多少日夜辗转放不下	duo shao ri ye zhan zhuan fang bu xia
翻页游戏我配合你导	fan ye you xi wo pei he ni dao
分心看我偷笑	fen xin kan wo tou xiao
腹黑傲娇	fu hei ao jiao
高冷学霸	gao leng xue ba
告诉我会实现吧	gao su wo hui shi xian ba
告诉我会实现吧会	gao su wo hui shi xian ba hui
告诉我这是梦吧	gao su wo zhe shi meng ba
高至霆	gao zhi ting
胡一天	hu yi tian
画家希	hua jia xi
假如我是宇宙混沌	jia ru wo shi yu zhou hun dun
江辰	jiang chen
静下来听心底的回答	jing xia lai ting xin di de hui da
来吧别害怕	lai ba bie hai pa
李束	li shu
李薇	li wei
林静晓	lin jing xiao
陆杨	lu yang
吕艳	lv yan
满腹辛辣满喉喑哑	man fu xin la man hou yin ya
每个瞬间都很闪耀	mei ge shun jian dou hen shan yao
每个音符都很美妙	mei ge yin fu dou hen mei miao
梦啊	meng a
梦里	meng li
梦里所有磨难开出了花	meng li suo you mo nan kai chu le hua
梦里所有挣扎破出了芽	meng li suo you zheng zha po chu le ya
描绘未来的那个	miao hui wei lai de na ge
哪里会让你牵挂	na li hui rang ni qian gua
哪里会让我停下	na li hui rang wo ting xia
难以放掉	nan yi fang diao
难以戒掉	nan yi jie diao
你的睫毛你的冷傲	ni de jie mao ni de leng ao
你的手套你的心跳	ni de shou tao ni de xin tiao
你的手指你的味道	ni de shou zhi ni de wei dao
你的嘴角你的微笑	ni de zui jiao ni de wei xiao
你会知道	ni hui zhi dao
你明白啊	ni ming bai a
你是甜的药	ni shi tian de yao
你在那里微笑看我	ni zai na li wei xiao kan wo
偶尔心情感冒发烧	ou er xin qing gan mao fa shao
乔露	qiao lu
全世界都知道嘲笑别恼	quan shi jie dou zhi dao chao xiao bie nao
沈月	shen yue
是梦吧	shi meng ba
是什么失去了心会痛	shi shen me shi qu le xin hui tong
是我的梦话	shi wo de meng hua
孙宁	sun ning
所有磨难开出了花	suo you mo nan kai chu le hua
天才医生	tian cai yi sheng
王梓薇	wang zi wei
温柔地说	wen rou de shuo
温柔地说来吧别害怕	wen rou de shuo lai ba bie hai pa
我多耐心请你等着瞧	wo duo nai xin qing ni deng zhe qiao
我多喜欢你	wo duo xi huan ni
我多喜欢你你会知道	wo duo xi huan ni ni hui zhi dao
我多喜欢你我不知道	wo duo xi huan ni wo bu zhi dao
我会继续请你准备好	wo hui ji xu qing ni zhun bei hao
我喜欢你打篮球	wo xi huan ni da lan qiu
我喜欢你的衬衫	wo xi huan ni de chen shan
我喜欢你的酒窝	wo xi huan ni de jiu wo
我喜欢你的眼睛	wo xi huan ni de yan jing
我喜欢你陪我看书	wo xi huan ni pei wo kan shu
我喜欢你弹钢琴	wo xi huan ni tan gang qin
我想做你的棉袄	wo xiang zuo ni de mian ao
我知道啊我知道啊	wo zhi dao a wo zhi dao a
吴柏松	wu bai song
无国界医生	wu guo jie yi sheng
喜欢你让数学题简单了	xi huan ni rang shu xue ti jian dan le
喜欢你让下雪天温暖了	xi huan ni rang xia xue tian wen nuan le
喜欢你让下雨天放晴了	xi huan ni rang xia yu tian fang qing le
喜欢你让英文书有趣了	xi huan ni rang ying wen shu you qu le
喜欢你已变成习惯	xi huan ni yi bian cheng xi guan
喜欢你已变成信仰	xi huan ni yi bian cheng xin yang
喜欢你在每一处每一角	xi huan ni zai mei yi chu mei yi jiao
喜欢你在每一刻每一秒	xi huan ni zai mei yi ke mei yi miao
小吧主	xiao ba zhu
小弟	xiao di
小希	xiao xi
心外科医生	xin wai ke yi sheng
也许是仙女施了个魔法	ye xu shi xian nv shi le ge mo fa
医生辰	yi sheng chen
有你烦恼全消	you ni fan nao quan xiao
元气少女	yuan qi shao nv
张何昊臻	zhang he hao zhen
张世亮	zhang shi liang
赵乾乾	zhao qian qian
赵越	zhao yue
这繁华世界让人应接不暇	zhe fan hua shi jie rang ren ying jie bu xia
住满我爱的人的家	zhu man wo ai de ren de jia
住满我爱的所有的家	zhu man wo ai de suo you de jia
