半截王迹	ban jie wang ji
冰无漪	bing wu yi
播土扬尘	bo tu yang chen
不笑夫人	bu xiao fu ren
常灭孤子	chang mie gu zi
砗磲佛母	che qu fo mu
传灯无上师	chuan deng wu shang shi
传羽飞书	chuan yu fei shu
大愿普贤	da yuan pu xian
定品	ding pin
独轩辕	du xuan yuan
缎君衡	duan jun heng
端月留生	duan yue liu sheng
厄生残客	e sheng can ke
风光	feng guang
奉菩提	feng pu ti
孤城不危	gu cheng bu wei
寡断优柔	gua duan you rou
和阗印	he tian yin
鹤舟先生	he zhou xian sheng
黑色十九	hei se shi jiu
琥凶残杀	hu xiong can sha
花君子	hua jun zi
欢奭	huan shi
黄鹤子	huang he zi
慧宁师	hui ning shi
疾松夫子	ji song fu zi
缉天涯	ji tian ya
寄辛先宗	ji xin xian zong
缉仲	ji zhong
剑布衣	jian bu yi
剑通慧	jian tong hui
金戈铁马	jin ge tie ma
佬山君	lao shan jun
炼宗圆	lian zong yuan
灵儿	ling er
六独天缺	liu du tian que
麻常道	ma chang dao
麻净	ma jing
麻乐道	ma le dao
麻我道	ma wo dao
卖药郎	mai yao lang
寐鬼	mei gui
魅生	mei sheng
寐月嬛茕	mei yue huan qiong
命辰公	ming chen gong
明霜雪	ming shuang xue
鸣中孚	ming zhong fu
摩诃藏	mo he cang
霹雳战元史之天竞鏖锋	pi li zhan yuan shi zhi tian jing ao feng
破扇婆	po shan po
菩莲修者	pu lian xiu zhe
蒲月长敬	pu yue chang jing
三昧长老	san mei zhang lao
神羽客	shen yu ke
嗜酒猫	shi jiu mao
唐圣笈	tang sheng ji
天竞鏖锋	tian jing ao feng
吞魍	tun wang
污凰	wu huang
小子瞳	xiao zi tong
行魑	xing chi
血刹如来	xue sha ru lai
谒金刚	ye jin gang
一泓净	yi hong jing
银翘	yin qiao
右刑官	you xing guan
欲裁恨	yu cai hen
欲娇奴	yu jiao nu
欲明王	yu ming wang
苑神秀	yuan shen xiu
月藏锋	yue cang feng
蕴果谛魂	yun guo di hun
云霓谗邪	yun ni chan xie
缯翬翟	zeng hui zhai
缯玄应	zeng xuan ying
宙王	zhou wang
朱怯灯	zhu qie deng
紫君花	zi jun hua
走笔邪龙	zou bi xie long
左刑官	zuo xing guan
