白日灯	bai ri deng
百叶箱	bai ye xiang
变形镜面	bian xing jing mian
捕获钳	bu huo qian
捕获网	bu huo wang
捕获网箱	bu huo wang xiang
裁决之轮	cai jue zhi lun
除厄鸟形纸	chu e niao xing zhi
除灵沙漏	chu ling sha lou
除灵师	chu ling shi
传声筒	chuan sheng tong
催眠铜钱	cui mian tong qian
村川梨衣	cun chuan li yi
德井青空	de jing qing kong
堕魔死神	duo mo si shen
恶灵气球	e ling qi qiu
放学后镇魂	fang xue hou zhen hun
分离香	fen li xiang
封印贴纸	feng yin tie zhi
附灵人偶	fu ling ren ou
浮游灵屋	fu you ling wu
高桥留美子	gao qiao liu mei zi
狗骨头	gou gu tou
光敏灵试剂	guang min ling shi ji
幻夜灯	huan ye deng
黄泉羽织	huang quan yu zhi
魂子	hun zi
火车烈断	huo che lie duan
吉娃娃幽灵	ji wa wa you ling
架印	jia yin
简易灵道开通铅笔	jian yi ling dao kai tong qian bi
简易幽灵捕获装置	jian yi you ling bu huo zhuang zhi
结界封箱胶带	jie jie feng xiang jiao dai
境界之轮回	jing jie zhi lun hui
井上麻里奈	jing shang ma li nai
臼井	jiu jing
九十九神捕获网	jiu shi jiu shen bu huo wang
九十九神捕获用流星锤	jiu shi jiu shen bu huo yong liu xing chui
九十九神贴纸	jiu shi jiu shen tie zhi
拉面老板	la mian lao ban
理嘉	li jia
理香	li xiang
灵界	ling jie
灵体脱离钓竿	ling ti tuo li diao gan
灵体用染色球	ling ti yong ran se qiu
六道轮回	liu dao lun hui
六道鲭人	liu dao qing ren
六文	liu wen
轮回之轮	lun hui zhi lun
美保	mei bao
美穗	mei sui
冥界糖果	ming jie tang guo
冥界直达翼	ming jie zhi da yi
沫悟	mo wu
魔狭人	mo xia ren
木村良平	mu cun liang ping
念读泡沫苏打	nian du pao mo su da
念粉	nian fen
贫穷蛾	pin qiong e
坪井智浩	ping jing zhi hao
凭依气球	ping yi qi qiu
齐藤壮马	qi teng zhuang ma
契约黑猫	qi yue hei mao
千之风气流	qian zhi feng qi liu
山口胜平	shan kou sheng ping
少东	shao dong
审判之轮	shen pan zhi lun
圣灰	sheng hui
生灵灵力增强耳机	sheng ling ling li zeng qiang er ji
生命之火	sheng ming zhi huo
生天目仁美	sheng tian mu ren mei
石川界人	shi chuan jie ren
时光倒流显像器	shi guang dao liu xian xiang qi
十文字翼	shi wen zi yi
柿原彻也	shi yuan che ye
十字架	shi zi jia
寿命管理局	shou ming guan li ju
四魔莲华	si mo lian hua
死神	si shen
死神镰刀	si shen lian dao
替身人偶	ti shen ren ou
吸血火车	xi xue huo che
翔真	xiang zhen
杏珠	xing zhu
玄田哲章	xuan tian zhe zhang
雪野五月	xue ye wu yue
熏蛾烟	xun e yan
烟雾弹	yan wu dan
一次性灵道	yi ci xing ling dao
阴阳阻断	yin yang zu duan
幽灵	you ling
幽灵海滩	you ling hai tan
幽灵回体器	you ling hui ti qi
云外镜	yun wai jing
真宫樱	zhen gong ying
镇魂	zhen hun
正义之盾	zheng yi zhi dun
洲崎绫	zhou qi ling
追荻月	zhui di yue
走马灯	zou ma deng
最淡定的女主	zui dan ding de nv zhu
