艾玛	ai ma
艾丝美拉达式血冻道	ai si mei la da shi xue dong dao
阪口大助	ban kou da zhu
本杰明	ben jie ming
布拉克	bu la ke
布雷格利德流血斗术	bu lei ge li de liu xue dou shu
柴田秀胜	chai tian xiu sheng
大冢明夫	da zhong ming fu
道格哈默	dao ge ha mo
德尔德罗布罗迪	de er de luo bu luo di
钉宫理惠	ding gong li hui
斗流血法	dou liu xue fa
堕落王飞姆托	duo luo wang fei mu tuo
高速踢技	gao su ti ji
各务立基	ge wu li ji
宫本充	gong ben chong
宫野真守	gong ye zhen shou
赫尔沙雷姆兹罗特	he er sha lei mu zi luo te
怀特	huai te
歼灭怪物	jian mie guai wu
绝望王	jue wang wang
克劳斯	ke lao si
狼人	lang ren
老板	lao ban
雷欧纳鲁德渥奇	lei ou na lu de wo qi
獠牙狩猎者	liao ya shou lie zhe
裸兽汁外卫贱严	luo shou zhi wai wei jian yan
绿川光	lv chuan guang
秘密结社莱布拉	mi mi jie she lai bu la
米歇拉沃奇	mi xie la wo qi
木内秀信	mu nei xiu xin
内田雄马	nei tian xiong ma
妮嘉	ni jia
帕特里克	pa te li ke
偏执王亚莉基菈	pian zhi wang ya li ji la
齐德奥布赖恩	qi de ao bu lai en
钱皇	qian huang
上田丽奈	shang tian li nai
神之义眼	shen zhi yi yan
石田彰	shi tian zhang
石冢运升	shi zhong yun sheng
水树奈奈	shui shu nai nai
藤原启治	teng yuan qi zhi
薇薇安	wei wei an
小林优	xiao lin you
小山力也	xiao shan li ye
兴梠里美	xing lv li mei
血弹格斗技	xue dan ge dou ji
血界眷属	xue jie juan shu
血界战线	xue jie zhan xian
银河万丈	yin he wan zhang
音速猿索尼克	yin su yuan suo ni ke
由加奈	you jia nai
泽城美雪	ze cheng mei xue
扎普伦弗洛	zha pu lun fu luo
折笠爱	zhe li ai
中井和哉	zhong jing he zai
