白清明	bai qing ming
陈艳南	chen yan nan
大脚超市	da jiao chao shi
东升豆制品厂	dong sheng dou zhi pin chang
郭二	guo er
黄亚萍	huang ya ping
老严	lao yan
李大国	li da guo
李秘书	li mi shu
李秋歌	li qiu ge
刘大脑袋	liu da nao dai
刘能	liu neng
刘一水	liu yi shui
刘英	liu ying
马六	ma liu
皮长山	pi chang shan
齐三太	qi san tai
苏玉红	su yu hong
王兵	wang bing
王长贵	wang chang gui
王大拿	wang da na
王技术	wang ji shu
王凯	wang kai
王老七	wang lao qi
王木生	wang mu sheng
王天来	wang tian lai
王霞	wang xia
王香秀	wang xiang xiu
王小蒙	wang xiao meng
王云	wang yun
乡村爱情变奏曲	xiang cun ai qing bian zou qu
乡村爱情交响曲	xiang cun ai qing jiao xiang qu
乡村爱情进行曲	xiang cun ai qing jin xing qu
乡村爱情浪漫曲	xiang cun ai qing lang man qu
乡村爱情小夜曲	xiang cun ai qing xiao ye qu
乡村爱情圆舞曲	xiang cun ai qing yuan wu qu
香秀	xiang xiu
小蒙豆制品厂	xiao meng dou zhi pin chang
谢大脚	xie da jiao
谢广坤	xie guang kun
谢兰	xie lan
谢晓梅	xie xiao mei
谢永强	xie yong qiang
徐会计	xu kuai ji
杨小燕	yang xiao yan
杨晓燕	yang xiao yan
赵四	zhao si
赵玉田	zhao yu tian
