啊吧	a ba
啊吧吧吧	a ba ba ba
啊大爷	a da ye
啊滴子	a di zi
啊嗲	a dia
啊娘	a niang
川将	chuan jiang
达老子	da lao zi
达你	da ni
达他	da ta
达我	da wo
得呢	de ne
多多带少	duo duo dai shao
二气	er qi
二五八万	er wu ba wan
给好闲	gei hao xian
憨初初	han chu chu
憨婆娘	han po niang
憨凶	han xiong
憨凶憨凶	han xiong han xiong
回克	hui ke
伙子些	huo zi xie
江风寺	jiang feng si
将军洞	jiang jun dong
老么么	lao me me
老奶洋芋	lao nai yang yu
老子们	lao zi men
凉鸡米线	liang ji mi xian
么是	me shi
哪跌	na die
那跌	na die
你怕疯	ni pa feng
泡不住	pao bu zhu
泡米日眼	pao mi ri yan
七五村	qi wu cun
雀神怪鸟	que shen guai niao
日鼓	ri gu
撒烂药	sa lan yao
丧头失脸	sang tou shi lian
沙河梗	sha he geng
神不住	shen bu zhu
豌豆尖	wan dou jian
西洱河	xi er he
西窑村	xi yao cun
小伴伴	xiao ban ban
小烂屎	xiao lan shi
小死丫子	xiao si ya zi
腌菜炒肉	yan cai chao rou
一塔寺	yi ta si
有跌	you die
渣精	zha jing
这跌	zhe die
整不赢	zheng bu ying
整得赢	zheng de ying
正阳时代广场	zheng yang shi dai guang chang
