暗黑妖精	an hei yao jing
暗黑妖精细胞	an hei yao jing xi bao
安济知佳	an ji zhi jia
百鬼夜行	bai gui ye xing
白石凉子	bai shi liang zi
北欧世界	bei ou shi jie
草薙大蛇	cao ti da she
草薙命	cao ti ming
草薙树夕	cao ti shu xi
草薙哮	cao ti xiao
草薙真明流	cao ti zhen ming liu
草薙诸刃流	cao ti zhu ren liu
赤羽根健治	chi yu gen jian zhi
大久保瑠美	da jiu bao liu mei
大野木彼方	da ye mu bi fang
大原沙耶香	da yuan sha ye xiang
第零歼灭机动队	di ling jian mie ji dong dui
第试验小队	di shi yan xiao dui
锻冶师	duan ye shi
对魔导学园	dui mo dao xue yuan
对魔导学园测试小队	dui mo dao xue yuan ce shi xiao dui
鹅妈妈	e ma ma
二阶堂真理	er jie tang zhen li
峰城和真	feng cheng he zhen
凤飒月	feng sa yue
凤晓月	feng xiao yue
凤阳炎	feng yang yan
凤樱花	feng ying hua
弗拉德	fu la de
附身魔法	fu shen mo fa
公司	gong si
古川慎	gu chuan shen
关根明良	guan gen ming liang
红莲公主	hong lian gong zhu
幻想教团	huan xiang jiao tuan
黄昏遗产	huang hun yi chan
极光魔女	ji guang mo nv
吉水明	ji shui ming
结界魔法	jie jie mo fa
禁忌红闪	jin ji hong shan
金丝雀	jin si que
津田健次郎	jin tian jian ci lang
拉碧丝拉斯莉	la bi si la si li
拉佛梅卡	la fo mei ka
雷邦汀	lei bang ting
梅菲斯特	mei fei si te
魔女猎人	mo nv lie ren
魔女猎人化	mo nv lie ren hua
木兰花	mu lan hua
尼禄	ni lu
全能魔女	quan neng mo nv
泉堂静	quan tang jing
人造天才	ren zao tian cai
三木真一郎	san mu zhen yi lang
三瓶由步子	san ping you bu zi
杉波斑鸠	shan bo ban jiu
杉波伊砂	shan bo yi sha
杉波朱雀	shan bo zhu que
山田奈都美	shan tian nai dou mei
上田丽奈	shang tian li nai
神杀赋法	shen sha fu fa
生田善子	sheng tian shan zi
噬魔圣物	shi mo sheng wu
天明路礼真	tian ming lu li zhen
铁隼人	tie sun ren
雾谷京夜	wu gu jing ye
细谷佳正	xi gu jia zheng
吸血鬼	xi xue gui
西园寺家	xi yuan si jia
西园寺桔梗	xi yuan si jie geng
西园寺兔	xi yuan si tu
虾兵蟹将小队	xia bing xie jiang xiao dui
贤者之石	xian zhe zhi shi
小山力也	xiao shan li ye
小兔	xiao tu
新井里美	xin jing li mei
星白流	xing bai liu
凶煞	xiong sha
亚人结晶	ya ren jie jing
亚瑟王	ya se wang
药师	yao shi
野水伊织	ye shui yi zhi
异端审问官	yi duan shen wen guan
异端审问官育成机关	yi duan shen wen guan yu cheng ji guan
伊丽莎白	yi li sha bai
伊藤加奈惠	yi teng jia nai hui
银槲之剑	yin hu zhi jian
银榭之剑	yin xie zhi jian
英雄召唤事件	ying xiong zhao huan shi jian
永恒之枪	yong heng zhi qiang
游佐浩二	you zuo hao er
战乱魔剑	zhan luan mo jian
诸刃流剑术	zhu ren liu jian shu
