暗黑隐者	an hei yin zhe
霸道天星	ba dao tian xing
白色之手	bai se zhi shou
白衣骑士	bai yi qi shi
败者终生服从胜者	bai zhe zhong sheng fu cong sheng zhe
比翼	bi yi
冰霜冷笑	bing shuang leng xiao
不转	bu zhuan
仓敷藏人	cang fu cang ren
操纵时间的因果干涉系	cao zong shi jian de yin guo gan she xi
操纵水的自然操作系	cao zong shui de zi ran cao zuo xi
操纵重力的自然干涉系	cao zong zhong li de zi ran gan she xi
长枪虎王	chang qiang hu wang
城之崎白夜	cheng zhi qi bai ye
地缚阵	di fu zhen
东内麻里子	dong nei ma li zi
东山奈央	dong shan nai yang
东堂刀华	dong tang dao hua
断月天龙爪	duan yue tian long zhua
多多良幽衣	duo duo liang you yi
伐刀者	fa dao zhe
法米利昂皇国	fa mi li ang huang guo
妃龙的罪剑	fei long de zui jian
妃龙吐息	fei long tu xi
妃龙羽衣	fei long yu yi
粉碎时空	fen sui shi kong
逢坂良太	feng ban liang tai
风祭凛奈	feng ji lin nai
缝影	feng ying
共享疼痛	gong xiang teng tong
光影密道	guang ying mi dao
贵德原彼方	gui de yuan bi fang
贵德原家的大小姐	gui de yuan jia de da xiao jie
鬼火	gui huo
鹤屋美琴	he wu mei qin
黑鸟	hei niao
黑蔷薇	hei qiang wei
黑铁家	hei tie jia
黑铁王马	hei tie wang ma
黑铁一辉	hei tie yi hui
黑铁珠雫	hei tie zhu na
红莲皇女	hong lian huang nv
红莲蜷局	hong lian quan ju
极速渴望	ji su ke wang
剑士杀手	jian shi sha shou
建御雷神	jian yu lei shen
禁技霸道天星	jin ji ba dao tian xing
禁技粉碎时空	jin ji fen sui shi kong
金元寿子	jin yuan shou zi
井口裕香	jing kou yu xiang
局部麻醉	ju bu ma zui
居合刀鸣神	ju he dao ming shen
橘田泉	ju tian quan
绝对不确定性	jue dui bu que ding xing
浪速之星	lang su zhi xing
雷切	lei qie
隶属项圈	li shu xiang quan
廉贞学园	lian zhen xue yuan
烈风剑帝	lie feng jian di
烈风爪痕	lie feng zhao hen
猎人	lie ren
猎人之森	lie ren zhi sen
绫辻绚濑	ling shi xuan lai
胧月	long yue
掠地蜈蚣	lue di wu gong
落第骑士	luo di qi shi
落第骑士英雄谭	luo di qi shi ying xiong tan
魔法骑士	mo fa qi shi
魔法骑士学园	mo fa qi shi xue yuan
魔法骑士制度	mo fa qi shi zhi du
魔兽使	mo shou shi
潘惠美	pan hui mei
睥睨八方	pi ni ba fang
破城舰	po cheng jian
破军学园	po jun xue yuan
破军学园理事长	po jun xue yuan li shi zhang
七星剑王	qi xing jian wang
七星剑舞祭	qi xing jian wu ji
浅木椛	qian mu hua
浅沼晋太郎	qian zhao jin tai lang
燃天焚地龙王炎	ran tian fen di long wang yan
染血海域	ran xue hai yu
日本刀绯爪	ri ben dao fei zhao
日本国立晓学园	ri ben guo li xiao xue yuan
日下部加加美	ri xia bu jia jia mei
三连星	san lian xing
闪理眼	shan li yan
蛇骨刃	she gu ren
蛇骨双刃	she gu shuang ren
深海魔女	shen hai mo nv
史黛菈	shi dai la
史黛菈法米利昂	shi dai la fa mi li ang
史芬克斯	shi fen ke si
世界时钟	shi jie shi zhong
石上静香	shi shang jing xiang
水色轮回	shui se lun hui
死亡宣告	si wang xuan gao
松冈祯丞	song gang zhen cheng
速度中毒	su du zhong du
碎城雷	sui cheng lei
贪狼学园	tan lang xue yuan
天才骑士	tian cai qi shi
天眼	tian yan
铁扇	tie shan
桐原静矢	tong yuan jing shi
兔丸恋恋	tu wan lian lian
完全反射	wan quan fan she
无法观测	wu fa guan ce
无冕剑王	wu mian jian wang
武曲学园	wu qu xue yuan
细谷佳正	xi gu jia zheng
西京宁音	xi jing ning yin
夏洛特科黛	xia luo te ke dai
相坂优歌	xiang ban you ge
小丑	xiao chou
小林优	xiao lin you
宵时雨	xiao shi yu
新宫寺黑乃	xin gong si hei nai
星辰之剑	xing chen zhi jian
腥红淑女	xing hong shu nv
蓄锐之斧	xu rui zhi fu
药师雾子	yao shi wu zi
夜叉姬	ye cha ji
一刀罗刹	yi dao luo cha
一刀修罗	yi dao xiu luo
因果干涉系	yin guo gan she xi
拥有男性身躯的少女	yong you nan xing shen qu de shao nv
御祓泡沫	yu fu pao mo
斩马刀	zhan ma dao
障破水莲	zhang po shui lian
折木有里	zhe mu you li
钟画	zhong hua
帚星	zhou xing
诸星雄大	zhu xing xiong da
最后武士	zui hou wu shi
