白雪	bai xue
赤发白雪姬	chi fa bai xue ji
充英	chong ying
丹巴伦王国	dan ba lun wang guo
逢坂良太	feng ban liang tai
福山润	fu shan run
冈本信彦	gang ben xin yan
哥哥	ge ge
哥哥美如画	ge ge mei ru hua
宫廷药剂师	gong ting yao ji shi
光秀路恩	guang xiu lu en
克拉利涅斯王国	ke la li nie si wang guo
垃圾	la ji
拉冀王子	la ji wang zi
绿了	lv le
梅原裕一郎	mei yuan yu yi lang
名冢佳织	ming zhong jia zhi
木木	mu mu
木木塞兰	mu mu sai lan
欧比	ou bi
千威斯塔利亚	qian wei si ta li ya
润润	run run
少女心	shao nv xin
石头	shi tou
完结撒花	wan jie sa hua
小西克幸	xiao xi ke xing
一集是一季	yi ji shi yi ji
伊札那	yi zha na
早见沙织	zao jian sha zhi
主人	zhu ren
