爱岛琴美	ai dao qin mei
苍井翔太	cang jing xiang tai
春歌	chun ge
达子	da zi
代永翼	dai yong yi
凤瑛一	feng ying yi
歌殿	ge dian
歌之王子殿下	ge zhi wang zi dian xia
宫野真守	gong ye zhen shou
谷山纪章	gu shan ji zhang
黑崎	hei qi
黑崎兰丸	hei qi lan wan
皇绮罗	huang qi luo
今井由香	jin jing you xiang
劲歌贵公子	jing ge gui gong zi
卡缪	ka miu
库普鲁	ku pu lu
来栖翔	lai qi xiang
来栖薰	lai qi xun
兰兰	lan lan
蓝蓝	lan lan
铃村健一	ling cun jian yi
铃木达央	ling mu da yang
绿川光	lv chuan guang
美风蓝	mei feng lan
魔鬼董事长	mo gui dong shi zhang
鸟海浩辅	niao hai hao fu
偶像课程	ou xiang ke cheng
七海春歌	qi hai chun ge
前野智昭	qian ye zhi zhao
亲父	qin fu
日向龙也	ri xiang long ye
如月爱音	ru yue ai yin
若本规夫	ruo ben gui fu
森久保祥太郎	sen jiu bao xiang tai lang
砂月	sha yue
杉田智和	shan tian zhi he
涉谷友千香	she gu you qian xiang
神宫寺	shen gong si
神宫寺财团	shen gong si cai tuan
神宫寺雷	shen gong si lei
圣川财团	sheng chuan cai tuan
圣川真臣	sheng chuan zhen chen
圣川真斗	sheng chuan zhen dou
圣川真衣	sheng chuan zhen yi
寿岭二	shou ling er
寺岛拓笃	si dao tuo du
四之宫那月	si zhi gong na yue
天使之音	tian shi zhi yin
梶裕贵	wei yu gui
下野紘	xia ye hong
小鸡仔	xiao ji zai
小翔	xiao xiang
小野大辅	xiao ye da fu
亚古那帕雷斯	ya gu na pa lei si
一十木音也	yi shi mu yin ye
一之濑时也	yi zhi lai shi ye
音乐之神	yin yue zhi shen
游佐浩二	you zuo hao er
月宫林檎	yue gong lin qin
早乙女	zao yi nv
早乙女光男	zao yi nv guang nan
早乙女学园	zao yi nv xue yuan
泽城美雪	ze cheng mei xue
中村悠一	zhong cun you yi
诹访部顺一	zou fang bu shun yi
诹少	zou shao
