比嘉	bi jia
铲子	chan zi
出口桐子	chu kou tong zi
慈姐	ci jie
祠堂圭	ci tang gui
芳野由奈	fang ye you nai
高桥李依	gao qiao li yi
高上	gao shang
古川慎	gu chuan shen
光里晶	guang li jing
海法纪光	hai fa ji guang
胡桃	hu tao
惠飞须泽胡桃	hui fei xu ze hu tao
加藤英美里	jia teng ying mei li
救济人格	jiu ji ren ge
兰德尔公司	lan de er gong si
里姐	li jie
稜河原理世	ling he yuan li shi
茅野爱衣	mao ye ai yi
美纪	mei ji
咪君	mi jun
木村珠莉	mu cun zhu li
男土之夜	nan tu zhi ye
鞣河小学	rou he xiao xue
若狭悠里	ruo xia you li
神山昭子	shen shan zhao zi
圣依多罗斯大学	sheng yi duo luo si da xue
圣伊西多尔大学	sheng yi xi duo er da xue
水濑祈	shui lai qi
太郎丸	tai lang wan
武斗派	wu dou pai
喜来比嘉子	xi lai bi jia zi
小留	xiao liu
小美	xiao mei
校园生活	xiao yuan sheng huo
小泽亚李	xiao ze ya li
学园孤岛	xue yuan gu dao
学园生活部	xue yuan sheng huo bu
学长	xue zhang
巡之丘市	xun zhi qiu shi
巡之丘学院	xun zhi qiu xue yuan
叶山郁美	ye shan yu mei
柚村贵依	you cun gui yi
由纪	you ji
悠里	you li
丈枪由纪	zhang qiang you ji
志纳	zhi na
直树美纪	zhi shu mei ji
自甘坠落同好会	zi gan zhui luo tong hao hui
佐仓慈	zuo cang ci
