白雪战妹	bai xue zhan mei
布里德卡特塞拉惠美	bu li de ka te sai la hui mei
岛麒麟	dao qi lin
钉宫理惠	ding gong li hui
东京武侦高	dong jing wu zhen gao
毒之击	du zhi ji
法结	fa jie
绯弹	fei dan
绯绯神	fei fei shen
风魔家	feng mo jia
高千惠丽	gao qian hui li
高千穗丽小组	gao qian sui li xiao zu
火野来夏	huo ye lai xia
间宫明里	jian gong ming li
间宫乃乃香	jian gong nai nai xiang
间宫小队	jian gong xiao dui
姐妹战	jie mei zhan
眷属	juan shu
壳金	ke jin
壳金七星	ke jin qi xing
蕾姬	lei ji
理子	li zi
鸾穿	luan chuan
茅野爱衣	mao ye ai yi
男人婆	nan ren po
强袭科	qiang xi ke
色金	se jin
师团	shi tuan
双剑双枪	shuang jian shuang qiang
汤泽姐妹	tang ze jie mei
微型冲锋枪	wei xing chong feng qiang
武侦	wu zhen
亚里亚	ya li ya
燕返	yan fan
伊幽	yi you
咏叹调	yong tan diao
悠木碧	you mu bi
原峰理子	yuan feng li zi
佐仓绫音	zuo cang ling yin
佐佐木	zuo zuo mu
佐佐木志乃	zuo zuo mu zhi nai
