阿箬	a ruo
白蕊姬	bai rui ji
陈婉茵	chen wan yin
纯妃	chun fei
纯嫔	chun pin
富察琅嬅	fu cha lang hua
富察诸瑛	fu cha zhu ying
高佳晞月	gao jia xi yue
海常在	hai chang zai
海贵人	hai gui ren
海兰	hai lan
后宫如懿传	hou gong ru yi chuan
皇后	huang hou
慧贵妃	hui gui fei
嘉贵人	jia gui ren
嘉嫔	jia pin
金玉妍	jin yu yan
珂里叶特海兰	ke li ye te hai lan
琅嬅	lang hua
流潋紫	liu lian zi
玫常在	mei chang zai
玫答应	mei da ying
玫贵人	mei gui ren
玫嫔	mei pin
庆常在	qing chang zai
青樱	qing ying
如懿	ru yi
慎常在	shen chang zai
慎贵人	shen gui ren
慎嫔	shen pin
舒贵人	shu gui ren
舒嫔	shu pin
苏绿筠	su lv jun
索绰伦阿箬	suo chuo lun a ruo
婉答应	wan da ying
乌拉那拉青樱	wu la na la qing ying
乌拉那拉如懿	wu la na la ru yi
晞月	xi yue
娴妃	xian fei
娴贵妃	xian gui fei
叶赫那拉意欢	ye he na la yi huan
意欢	yi huan
愉嫔	yu pin
哲妃	zhe fei
