曾小贤	ceng xiao xian
陈美嘉	chen mei jia
弹一闪弹二闪弹百闪	dan yi shan dan er shan dan bai shan
关谷	guan gu
关谷神奇	guan gu shen qi
好男人就是我我就是曾小贤	hao nan ren jiu shi wo wo jiu shi ceng xiao xian
胡小菲	hu xiao fei
胡一菲	hu yi fei
活到老学到老	huo dao lao xue dao lao
贱人曾	jian ren ceng
林宛瑜	lin wan yu
陆展博	lu zhan bo
吕小布	lv xiao bu
吕子乔	lv zi qiao
秦羽墨	qin yu mo
人家还没有想好要和谁在一起呢	ren jia hai mei you xiang hao yao he shui zai yi qi ne
他要挟我让我做牛做马	ta yao xie wo rang wo zuo niu zuo ma
他怎么会说我订婚了呢	ta zen me hui shuo wo ding hun le ne
唐小悠	tang xiao you
唐悠悠	tang you you
我分分钟切腹给你看	wo fen fen zhong qie fu gei ni kan
我要切腹自尽	wo yao qie fu zi jin
我已经找到打败你的方法了	wo yi jing zhao dao da bai ni de fang fa le
相信梦想相信奇迹	xiang xin meng xiang xiang xin qi ji
张伟	zhang wei
张益达	zhang yi da
