奥比岛	ao bi dao
奥比广场	ao bi guang chang
奥比斯山顶	ao bi si shan ding
奥比斯山脚	ao bi si shan jiao
奥比斯峡谷	ao bi si xia gu
奥比小区	ao bi xiao qu
百花园	bai hua yuan
餐厅	can ting
地下室	di xia shi
叮咚小溪	ding dong xiao xi
服装店	fu zhuang dian
哈根农庄	ha gen nong zhuang
黄金海岸	huang jin hai an
家具店	jia ju dian
假日海滩	jia ri hai tan
家族管理处	jia zu guan li chu
精灵学校	jing ling xue xiao
精灵之家	jing ling zhi jia
礼品店	li pin dian
领航员大厅	ling hang yuan da ting
摩天轮	mo tian lun
农庄小屋	nong zhuang xiao wu
奇乐园	qi le yuan
青木森林	qing mu sen lin
沙滩小店	sha tan xiao dian
树屋	shu wu
水车磨坊	shui che mo fang
四季果园	si ji guo yuan
塔台	ta tai
淘宝街	tao bao jie
图书馆	tu shu guan
图书馆二楼	tu shu guan er lou
外星城堡遗址	wai xing cheng bao yi zhi
蔚蓝海岸	wei lan hai an
星际站台	xing ji zhan tai
雪人城堡	xue ren cheng bao
阳光大道	yang guang da dao
医院	yi yuan
云霄乐园	yun xiao le yuan
自助餐厅	zi zhu can ting
