北条氏康	bei tiao shi kang
本多忠胜	ben duo zhong sheng
草尾毅	cao wei yi
大坂之阵	da ban zhi zhen
大本真基子	da ben zhen ji zi
大谷吉继	da gu ji ji
大冢明夫	da zhong ming fu
稻姬	dao ji
岛左近	dao zuo jin
德川	de chuan
德川家康	de chuan jia kang
德川秀忠	de chuan xiu zhong
独眼龙	du yan long
丰臣秀吉	feng chen xiu ji
丰臣秀赖	feng chen xiu lai
风魔忍军	feng mo ren jun
风魔小太郎	feng mo xiao tai lang
福岛正则	fu dao zheng ze
高冢正也	gao zhong zheng ye
攻城战	gong cheng zhan
桧山修之	gui shan xiu zhi
海老名翔太	hai lao ming xiang tai
甲斐姬	jia fei ji
加藤清正	jia teng qing zheng
景胜	jing sheng
井伊直政	jing yi zhi zheng
铃木真仁	ling mu zhen ren
宁宁	ning ning
女忍	nv ren
片仓小十郎	pian cang xiao shi lang
前田利家	qian tian li jia
前田庆次	qian tian qing ci
日野聪	ri ye cong
山崎和佳奈	shan qi he jia nai
山田真一	shan tian zhen yi
杉田智和	shan tian zhi he
上杉	shang shan
上杉景胜	shang shan jing sheng
上田城	shang tian cheng
上田佑司	shang tian you si
石川英郎	shi chuan ying lang
石田三成	shi tian san cheng
石冢运升	shi zhong yun sheng
松风雅也	song feng ya ye
藤本隆弘	teng ben long hong
藤堂高虎	teng tang gao hu
相模之狮	xiang mo zhi shi
小田原城之战	xiao tian yuan cheng zhi zhan
小西克幸	xiao xi ke xing
小野大辅	xiao ye da fu
小野贤章	xiao ye xian zhang
信之	xin zhi
幸村	xing cun
野战	ye zhan
伊达政宗	yi da zheng zong
永岛由子	yong dao you zi
月丸	yue wan
早川殿	zao chuan dian
战国时代	zhan guo shi dai
战国无双	zhan guo wu shuang
真田信之	zhen tian xin zhi
真田幸村	zhen tian xing cun
直江兼续	zhi jiang jian xu
中田让治	zhong tian rang zhi
竹本英史	zhu ben ying shi
竹内良太	zhu nei liang tai
佐藤聪美	zuo teng cong mei
