阿澄佳奈	a cheng jia nai
八千代	ba qian dai
白石凉子	bai shi liang zi
白藤	bai teng
白藤杏子	bai teng xing zi
便利的后辈	bian li de hou bei
川濑晶子	chuan lai jing zi
大冢芳忠	da zhong fang zhong
渡边久美子	du bian jiu mei zi
峰岸透	feng an tou
福山润	fu shan run
广桥凉	guang qiao liang
轰八千代	hong ba qian dai
户松遥	hu song yao
回家部	hui jia bu
近藤妃	jin teng fei
菊代	ju dai
铃木真仁	ling mu zhen ren
迷糊餐厅	mi hu can ting
母亲说明书	mu qin shuo ming shu
日笠阳子	ri li yang zi
日野聪	ri ye cong
山田	shan tian
山田葵	shan tian kui
山田桐生	shan tian tong sheng
神谷浩史	shen gu hao shi
松本麻耶	song ben ma ye
藤田咲	teng tian xiao
桐生	tong sheng
瓦古娜利亚	wa gu na li ya
危险的感觉令人上瘾的餐厅	wei xian de gan jue ling ren shang yin de can ting
喜多村英梨	xi duo cun ying li
相马博臣	xiang ma bo chen
小鸟儿	xiao niao er
小鸟游荠	xiao niao you ji
小鸟游静	xiao niao you jing
小鸟游泉	xiao niao you quan
小鸟游梢	xiao niao you shao
小鸟游一枝	xiao niao you yi zhi
小鸟游宗太	xiao niao you zong tai
小野大辅	xiao ye da fu
小游鸟	xiao you niao
岩男润子	yan nan run zi
伊波	yi bo
伊波真昼	yi bo zhen zhou
伊藤静	yi teng jing
一枝	yi zhi
音尾兵吾	yin wei bing wu
音尾春菜	yin wei chun cai
游佐浩二	you zuo hao er
斋藤桃子	zhai teng tao zi
长者杀手	zhang zhe sha shou
真柴美月	zhen chai mei yue
真柴阳平	zhen chai yang ping
中村悠一	zhong cun you yi
种岛	zhong dao
种岛白杨	zhong dao bai yang
中田让治	zhong tian rang zhi
宗太	zong tai
足立正广	zu li zheng guang
佐藤	zuo teng
佐藤润	zuo teng run
