白球	bai qiu
大忙内	da mang nei
对内总攻咸恩静	dui nei zong gong xian en jing
恩静偶吧	en jing ou ba
夫人	fu ren
公主	gong zhu
含恩静	han en jing
韩国最百变女团	han guo zui bai bian nv tuan
花爷	hua ye
皇冠团	huang guan tuan
假忙内	jia mang nei
静爷	jing ye
居丽夫人	ju li fu ren
蓝宝	lan bao
蓝波	lan bo
李居丽	li ju li
刘花英	liu hua ying
忙内	mang nei
美人	mei ren
萌妍	meng yan
女神	nv shen
痞子敏	pi zi min
痞子妍	pi zi yan
屏风	ping feng
朴素妍	pu su yan
朴孝敏	pu xiao min
朴智妍	pu zhi yan
全宝蓝	quan bao lan
全能敏	quan neng min
汝矣岛咔咔咔	ru yi dao ka ka ka
删戏女	shan xi nv
实力娃儿	shi li wa er
睡恩静	shui en jing
睡神	shui shen
素妍女王	su yan nv wang
童颜娃娃	tong yan wa wa
妍宝	yan bao
