阿边	a bian
安打率	an da lv
奥村光舟	ao cun guang zhou
白州健二郎	bai zhou jian er lang
坂井一郎	ban jing yi lang
暴投	bao tou
变化球	bian hua qiu
捕手	bu shou
捕手帽	bu shou mao
仓持	cang chi
仓持洋一	cang chi yang yi
苍井翔太	cang jing xiang tai
苍月若菜	cang yue ruo cai
赤城中学	chi cheng zhong xue
触击短打	chu ji duan da
触身球	chu shen qiu
川岛谦吾	chuan dao qian wu
川口翔	chuan kou xiang
川上	chuan shang
川上宪史	chuan shang xian shi
春甲选拔赛	chun jia xuan ba sai
春市	chun shi
村田太志	cun tian tai zhi
大川透	da chuan tou
大和田秋子	da he tian qiu zi
丹波	dan bo
丹波光一郎	dan bo guang yi lang
稻城实业高中	dao cheng shi ye gao zhong
岛崎信长	dao qi xin chang
低肩侧投投手	di jian ce tou tou shou
槙原真澄	dian yuan zhen cheng
东地宏树	dong di hong shu
东京都第一铁捕	dong jing du di yi tie bu
东清国	dong qing guo
东条	dong tiao
东条秀明	dong tiao xiu ming
渡边久志	du bian jiu zhi
对决球	dui jue qiu
二垒手	er lei shou
二游防线	er you fang xian
逢坂良太	feng ban liang tai
峰富士夫	feng fu shi fu
冈本信彦	gang ben xin yan
高岛	gao dao
高岛礼	gao dao li
高桥花林	gao qiao hua lin
宫内	gong nei
宫内启介	gong nei qi jie
怪物先生	guai wu xian sheng
关直道	guan zhi dao
桧山修之	gui shan xiu zhi
河西健吾	he xi jian wu
黑土馆一战	hei tu guan yi zhan
红白战	hong bai zhan
后援投手	hou yuan tou shou
花江夏树	hua jiang xia shu
花守由美里	hua shou you mei li
吉川春乃	ji chuan chun nai
加地绫乃	jia di ling nai
甲子园	jia zi yuan
降谷	jiang gu
降谷晓	jiang gu xiao
降谷英司	jiang gu ying si
将军	jiang jun
结城将司	jie cheng jiang si
结城哲也	jie cheng zhe ye
金田忠大	jin tian zhong da
金丸	jin wan
金丸信二	jin wan xin er
克里斯	ke li si
快速球	kuai su qiu
瀬户拓马	lai hu tuo ma
浪川大辅	lang chuan da fu
老大	lao da
亮介	liang jie
林慎一	lin shen yi
铃木裕斗	ling mu yu dou
泷川克里斯优	long chuan ke li si you
落合博光	luo he bo guang
麻生尊	ma sheng zun
梅本幸子	mei ben xing zi
门田将明	men tian jiang ming
木岛澪	mu dao ling
楠木文哉	nan mu wen zai
内角球	nei jiao qiu
内山夕实	nei shan xi shi
内田雄马	nei tian xiong ma
跑垒	pao lei
配球	pei qiu
片冈监督	pian gang jian du
片冈教练	pian gang jiao lian
片冈铁心	pian gang tie xin
七彩变化球	qi cai bian hua qiu
欠收年	qian shou nian
千田光男	qian tian guang nan
前园	qian yuan
前园健太	qian yuan jian tai
浅沼晋太郎	qian zhao jin tai lang
青道高中	qing dao gao zhong
若菜	ruo cai
三宅贵大	san zhai gui da
桑田	sang tian
桑田雅树	sang tian ya shu
森昌平	sen chang ping
森田成一	sen tian cheng yi
山口健	shan kou jian
山口立花子	shan kou li hua zi
山崎邦夫	shan qi bang fu
山下大辉	shan xia da hui
深远安打	shen yuan an da
石田彰	shi tian zhang
狩场航	shou chang hang
寺岛惇太	si dao dun tai
寺嶋裕二	si dao yu er
松本忍	song ben ren
松冈祯丞	song gang zhen cheng
太田	tai tian
汤本健一	tang ben jian yi
藤原贵子	teng yuan gui zi
田尻浩章	tian kao hao zhang
田中晋	tian zhong jin
樋笠	tong li
樋笠昭二	tong li zhao er
投手	tou shou
外野手	wai ye shou
梶川翔平	wei chuan xiang ping
细谷佳正	xi gu jia zheng
夏川唯	xia chuan wei
下妻由幸	xia qi you xing
下野纮	xia ye hong
向井太阳	xiang jing tai yang
小春	xiao chun
小凑春市	xiao cou chun shi
小凑亮介	xiao cou liang jie
小野弘	xiao ye hong
小野友树	xiao ye you shu
小泽村	xiao ze cun
须藤翔	xu teng xiang
野手	ye shou
伊佐敷纯	yi zuo fu chun
樱井孝宏	ying jing xiao hong
由井熏	you jing xun
优希	you xi
羽多野涉	yu duo ye she
御幸	yu xing
御幸一也	yu xing yi ye
宇垣秀成	yu yuan xiu cheng
远藤祐里香	yuan teng you li xiang
远藤直树	yuan teng zhi shu
泽村荣纯	ze cun rong chun
泽村荣德	ze cun rong de
增子透	zeng zi tou
斋藤	zhai teng
斋藤宽巳	zhai teng kuan si
指叉球	zhi cha qiu
直球	zhi qiu
重炮型打者	zhong pao xing da zhe
中田中	zhong tian zhong
竹内荣治	zhu nei rong zhi
纵向曲球	zong xiang qu qiu
钻石王牌	zuan shi wang pai
左外野手	zuo wai ye shou
