百年国恨	bai nian guo hen
白起	bai qi
败于懦弱知足者	bai yu nuo ruo zhi zu zhe
败于无知	bai yu wu zhi
败在心之弱也	bai zai xin zhi ruo ye
邦交邦交	bang jiao bang jiao
悲痛於心	bei tong yu xin
本公即位	ben gong ji wei
奔忙一生	ben mang yi sheng
本色不夺	ben shai bu duo
必将为大争之世所遗弃	bi jiang wei da zheng zhi shi suo yi qi
必朗照之	bi lang zhao zhi
彼其之子	bi qi zhi zi
碧水长天兮	bi shui chang tian xi
必以律法而后正	bi yi lv fa er hou zheng
必有隐情	bi you yin qing
变法强秦	bian fa qiang qin
便取兵道	bian qu bing dao
便是惧怕有违民情	bian shi ju pa you wei min qing
卞涛	bian tao
便在于三国变法只走半途	bian zai yu san guo bian fa zhi zou ban tu
不摧不折	bu cui bu zhe
不得其所	bu de qi suo
不合民情么	bu he min qing me
不合铭心么	bu he ming xin me
不见江山	bu jian jiang shan
不禁私相贺礼	bu jin si xiang he li
不觉如梦	bu jue ru meng
不可留余心	bu ke liu yu xin
不能者退	bu neng zhe tui
不能折腰	bu neng zhe yao
不强永远	bu qiang yong yuan
不容些许负义之行	bu rong xie xu fu yi zhi xing
不韦执拗于义本	bu wei zhi niu yu yi ben
不问因由	bu wen yin you
不因其学满	bu yin qi xue man
不与会盟	bu yu hui meng
不足道也	bu zu dao ye
不足效法	bu zu xiao fa
才乃苍生之幸	cai nai cang sheng zhi xing
才有财货土地之争夺	cai you cai huo tu di zhi zheng duo
才有盗贼暴力与杀戮	cai you dao zei bao li yu sha lu
才有法度	cai you fa du
才有声色犬马	cai you sheng se quan ma
沧海难平	cang hai nan ping
藏污纳垢	cang wu na gou
曾不知	ceng bu zhi
差池其羽	cha chi qi yu
察道者帝	cha dao zhe di
柴蔚	chai wei
长平	chang ping
常思国耻	chang si guo chi
朝野就会糜烂	chao ye jiu hui mi lan
陈冰	chen bing
陈昊	chen hao
陈继铭	chen ji ming
陈良	chen liang
陈思宇	chen si yu
陈晓	chen xiao
成年男子无故嚎啕者	cheng nian nan zi wu gu hao tao zhe
耻笑在先	chi xiao zai xian
重蹈昨日覆辙	chong dao zuo ri fu zhe
楚国范式	chu guo fan shi
楚考烈王	chu kao lie wang
初衷无改	chu zhong wu gai
创业三难	chuang ye san nan
此乃纵容恶行	ci nai zong rong e xing
此为棋道	ci wei qi dao
此中虽有变法者	ci zhong sui you bian fa zhe
大爱乃爱天下	da ai nai ai tian xia
大谬	da miu
大秦之强	da qin zhi qiang
大仁则必舍小义	da ren ze bi she xiao yi
大魏军法	da wei jun fa
大业有望	da ye you wang
大鱼吞舟	da yu tun zhou
大争之世	da zheng zhi shi
达子	da zi
