阿尔文	a er wen
阿拉贡	a la gong
埃尔隆德	ai er long de
埃鲁博	ai lu bo
矮人	ai ren
埃西铎	ai xi duo
安格玛	an ge ma
奥克斯	ao ke si
半兽人	ban shou ren
博罗米尔	bo luo mi er
次级神	ci ji shen
迪奈瑟	di nai se
多尔戈多	duo er ge duo
恶龙	e long
法拉米尔	fa la mi er
弗罗多	fu luo duo
盖拉德利尔	gai la de li er
甘道夫	gan dao fu
刚铎	gang duo
高等精灵	gao deng jing ling
葛利马	ge li ma
格洛芬德尔	ge luo fen de er
咕噜	gu lu
哈尔迪尔	ha er di er
护戒队	hu jie dui
霍比特人	huo bi te ren
戒灵	jie ling
金花	jin hua
金雳	jin li
精灵	jing ling
凯兰崔尔	kai lan cui er
凯勒鹏	kai le peng
莱戈拉斯	lai ge la si
洛汗	luo han
洛丝萝林	luo si luo lin
麦尔柯	mai er ke
梅里	mei li
密林精灵	mi lin jing ling
米纳斯提里斯	mi na si ti li si
迷雾山脉	mi wu shan mai
魔多	mo duo
魔苟斯	mo gou si
魔戒	mo jie
末日火山	mo ri huo shan
暮星	mu xing
皮平	pi ping
强兽人	qiang shou ren
人类	ren lei
瑞文戴尔	rui wen dai er
萨鲁曼	sa lu man
瑟兰迪尔	se lan di er
瑟兰督伊	se lan du yi
山姆	shan mu
尸罗	shi luo
兽咬剑	shou yao jian
斯麦格	si mai ge
四毛哥	si mao ge
索伦	suo lun
维林诺	wei lin nuo
巫王	wu wang
希优顿	xi you dun
邪黑塔	xie hei ta
邪眼	xie yan
亚玟	ya wen
炎魔	yan mo
伊兰迪尔	yi lan di er
伊兰迪尔圣剑	yi lan di er sheng jian
伊兰迪尔之光	yi lan di er zhi guang
伊鲁瓦特	yi lu wa te
伊欧墨	yi ou mo
伊欧文	yi ou wen
幽暗密林	you an mi lin
幽暗密林遗忘溪	you an mi lin yi wang xi
指环王	zhi huan wang
至尊魔戒	zhi zun mo jie
