俺物语	an wu yu
北川里奈	bei chuan li nai
大和	da he
大和凛子	da he lin zi
岛崎信长	dao qi xin chang
福山润	fu shan run
刚田百合子	gang tian bai he zi
刚田丰	gang tian feng
刚田猛男	gang tian meng nan
脊髓反射	ji sui fan she
集英高校	ji ying gao xiao
榎木淳弥	jia mu chun mi
江口拓也	jiang kou tuo ye
井上喜久子	jing shang xi jiu zi
浪川大辅	lang chuan da fu
栗原修	li yuan xiu
茅野爱衣	mao ye ai yi
猛男	meng nan
潘惠美	pan hui mei
前田玲奈	qian tian ling nai
青木和代	qing mu he dai
砂川	sha chuan
砂川爱	sha chuan ai
砂川诚	sha chuan cheng
山崎菜菜子	shan qi cai cai zi
天海悠纪华	tian hai you ji hua
西城中里亚	xi cheng zhong li ya
小泉女子学园	xiao quan nv zi xue yuan
玄田哲章	xuan tian zhe zhang
一之濑光基	yi zhi lai guang ji
织田隼人	zhi tian sun ren
