八卦	ba gua
八门金锁	ba men jin suo
拔矢啖睛	ba shi dan jing
霸王	ba wang
霸王再世	ba wang zai shi
白鸡	bai ji
白门遗恨	bai men yi hen
百骑劫营	bai qi jie ying
百姓	bai xing
白衣	bai yi
白衣渡江	bai yi du jiang
北斗	bei dou
悲愤诗	bei fen shi
闭月	bi yue
闭月羞花	bi yue xiu hua
兵不厌诈	bing bu yan zha
兵出子午谷	bing chu zi wu gu
兵圣	bing sheng
兵圣后裔	bing sheng hou yi
兵诈	bing zha
步步为营	bu bu wei ying
不耻下问	bu chi xia wen
不动如山	bu dong ru shan
裁判	cai pan
蔡琰	cai yan
苍天已死	cang tian yi si
曹操	cao cao
曹丕	cao pi
曹仁	cao ren
曹氏宗亲	cao shi zong qin
曹魏谋主	cao wei mou zhu
曹休	cao xiu
曹植	cao zhi
谗言构陷	chan yan gou xian
长驱	chang qu
长驱直入	chang qu zhi ru
陈琳	chen lin
陈寿	chen shou
赤壁	chi bi
魑魅魍魉	chi mei wang liang
出刀	chu dao
初生牛犊	chu sheng niu du
传国玉玺	chuan guo yu xi
春秋大义	chun qiu da yi
刺杀	ci sha
代汉自立	dai han zi li
待劳	dai lao
单刀	dan dao
单刀赴会	dan dao fu hui
单枪	dan qiang
单枪救主	dan qiang jiu zhu
邓艾	deng ai
地遁	di dun
电闪雷鸣	dian shan lei ming
典韦	dian wei
貂蝉	diao chan
丁奉	ding feng
动如雷震	dong ru lei zhen
洞若	dong ruo
洞若观火	dong ruo guan huo
董卓	dong zhuo
断后	duan hou
断后突围	duan hou tu wei
儿女情长	er nv qing chang
法正	fa zheng
反间	fan jian
反馈	fan kui
废帝另立	fei di ling li
奉先安在	feng xian an zai
奉孝安在	feng xiao an zai
复仇之焰	fu chou zhi yan
父兄之佑	fu xiong zhi you
改刀	gai dao
盖棺	gai guan
盖棺论定	gai guan lun ding
改命	gai ming
甘宁	gan ning
割发代首	ge fa dai shou
割须弃袍	ge xu qi pao
葛玄	ge xuan
公告	gong gao
鼓舞	gu wu
鼓舞士气	gu wu shi qi
古之恶来	gu zhi e lai
刮骨疗毒	gua gu liao du
管辂	guan lu
关羽	guan yu
广施符水	guang shi fu shui
过关	guo guan
过关斩将	guo guan zhan jiang
郭嘉	guo jia
国色天香	guo se tian xiang
国士	guo shi
国士之风	guo shi zhi feng
海盗	hai dao
汉少帝	han shao di
汉室宗亲	han shi zong qin
汉献帝	han xian di
汉祚终焉	han zuo zhong yan
号票	hao piao
黑手	hei shou
横扫	heng sao
横扫江东	heng sao jiang dong
红手	hong shou
虎步关右	hu bu guan you
虎痴	hu chi
虎痴喋血	hu chi die xue
虎吼	hu hou
护驾	hu jia
胡笳十八拍	hu jia shi ba pai
互识	hu shi
华佗	hua tuo
皇恩浩荡	huang en hao dang
黄盖	huang gai
黄巾贼	huang jin zei
黄天当立	huang tian dang li
黄月英	huang yue ying
黄忠	huang zhong
魂归	hun gui
浑身是胆	hun shen shi dan
魂兮归来	hun xi gui lai
火船	huo chuan
火船冲阵	huo chuan chong zhen
火烧博望	huo shao bo wang
火烧赤壁	huo shao chi bi
火烧连营	huo shao lian ying
火烧上方谷	huo shao shang fang gu
火烧新野	huo shao xin ye
火神传世	huo shen chuan shi
祸水红颜	huo shui hong yan
继承	ji cheng
击剑	ji jian
击剑长歌	ji jian chang ge
技能	ji neng
计赚	ji zhuan
计赚曹休	ji zhuan cao xiu
计赚徐庶	ji zhuan xu shu
贾诩	jia xu
建安	jian an
建安风骨	jian an feng gu
坚壁	jian bi
坚壁清野	jian bi qing ye
箭无虚发	jian wu xu fa
江陵破吴	jiang ling po wu
将门	jiang men
将门虎女	jiang men hu nv
姜维	jiang wei
揭竿起义	jie gan qi yi
结庐	jie lu
结庐炼丹	jie lu lian dan
结纳豪俊	jie na hao jun
截烧粮草	jie shao liang cao
借物	jie wu
借物代形	jie wu dai xing
禁魔	jin mo
经达权变	jing da quan bian
镜花水月	jing hua shui yue
九死一生	jiu si yi sheng
举国同哀	ju guo tong ai
绝处逢生	jue chu feng sheng
军负	jun fu
君子让梨	jun zi rang li
孔融	kong rong
苦肉	ku rou
苦肉诈降	ku rou zha xiang
狂悖之徒	kuang bei zhi tu
浪里擒将	lang li qin jiang
浪擒	lang qin
老当益壮	lao dang yi zhuang
乐不	le bu
乐不思蜀	le bu si shu
雷击	lei ji
力开	li kai
力开两石	li kai liang shi
力排	li pai
力排众议	li pai zhong yi
连环	lian huan
连环妙计	lian huan miao ji
良苦谏言	liang ku jian yan
料敌机先	liao di ji xian
疗伤	liao shang
料事	liao shi
料事如神	liao shi ru shen
琳琅妙笔	lin lang miao bi
临桥虎吼	lin qiao hu hou
凌波微步	ling bo wei bu
凌统	ling tong
刘备	liu bei
留侯再世	liu hou zai shi
流寇	liu kou
六日一千	liu ri yi qian
刘禅	liu shan
龙胆	long dan
陆抗	lu kang
鲁肃	lu su
陆逊	lu xun
乱箭齐发	luan jian qi fa
乱世枭雄	luan shi xiao xiong
萝卜开会	luo bo kai hui
裸衣击鼓	luo yi ji gu
裸战马超	luo zhan ma chao
吕布	lv bu
吕蒙	lv meng
马超	ma chao
麻沸	ma fei
麻沸散	ma fei san
马良	ma liang
马跃檀溪	ma yue tan xi
馒头	man tou
蛮王	man wang
蛮王神威	man wang shen wei
蛮王助阵	man wang zhu zhen
蛮烟	man yan
蛮烟迷雾	man yan mi wu
美色	mei se
媚眼	mei yan
媚眼如丝	mei yan ru si
孟德献刀	meng de xian dao
孟获	meng huo
猛将	meng jiang
猛兽军团	meng shou jun tuan
祢衡	mi heng
糜氏	mi shi
妙笔	miao bi
民怨沸腾	min yuan fei teng
明修栈道	ming xiu zhan dao
末代老臣	mo dai lao chen
秣马厉兵	mo ma li bing
木牛	mu niu
木牛流马	mu niu liu ma
南斗	nan dou
南国佳人	nan guo jia ren
南郡破敌	nan jun po di
南蛮归心	nan man gui xin
难知如阴	nan zhi ru yin
能吏	neng li
逆天改命	ni tian gai ming
年高德劭	nian gao de shao
牛犊	niu du
庞德	pang de
庞统	pang tong
披发涂炭	pi fa tu tan
匹马	pi ma
匹马冲阵	pi ma chong zhen
平反大将	ping fan da jiang
评价	ping jia
濮阳设伏	pu yang she fu
奇计百出	qi ji bai chu
其疾如风	qi ji ru feng
祁山	qi shan
祁山斗阵	qi shan dou zhen
其徐如林	qi xu ru lin
恰逢大赦	qia feng da she
强袭街亭	qiang xi jie ting
巧设反间	qiao she fan jian
巧施连环	qiao shi lian huan
巧言善辩	qiao yan shan bian
侵略如火	qin lue ru huo
亲冒矢石	qin mao shi shi
琴书	qin shu
琴书雅韵	qin shu ya yun
倾国倾城	qing guo qing cheng
驱虎	qu hu
驱虎吞狼	qu hu tun lang
全局	quan ju
群英荟萃	qun ying hui cui
让梨	rang li
人遁	ren dun
人马	ren ma
人马一体	ren ma yi ti
仁者	ren zhe
入国	ru guo
三顾茅庐	san gu mao lu
三国终焉	san guo zhong yan
三日五百	san ri wu bai
山贼	shan zei
善阵识变	shan zhen shi bian
尚方宝剑	shang fang bao jian
伤判	shang pan
舍身护主	she shen hu zhu
舌战群儒	she zhan qun ru
深得民心	shen de min xin
深明大义	shen ming da yi
生花妙笔	sheng hua miao bi
十八拍	shi ba pai
士别	shi bie
士别三日	shi bie san ri
视死如归	shi si ru gui
嗜血	shi xue
嗜血蛮族	shi xue man zu
手无	shou wu
手无寸铁	shou wu cun tie
兽之觉醒	shou zhi jue xing
水镜	shui jing
水能载舟	shui neng zai zhou
水淹	shui yan
水淹七军	shui yan qi jun
水淹下邳	shui yan xia pi
司马懿	si ma yi
死战	si zhan
死战不屈	si zhan bu qu
苏飞	su fei
岁在甲子	sui zai jia zi
孙策	sun ce
孙坚	sun jian
孙权	sun quan
孙尚香	sun shang xiang
踏营陷阵	ta ying xian zhen
太史慈	tai shi ci
探阵	tan zhen
探阵斩将	tan zhen zhan jiang
韬光养晦	tao guang yang hui
讨逆	tao ni
桃园	tao yuan
桃园结义	tao yuan jie yi
藤甲护体	teng jia hu ti
天遁	tian dun
天下大吉	tian xia da ji
天下无双	tian xia wu shuang
天香	tian xiang
天子之命	tian zi zhi ming
天纵奇才	tian zong qi cai
跳马	tiao ma
挺身护驾	ting shen hu jia
同哀	tong ai
痛哭	tong ku
痛哭流涕	tong ku liu ti
铜墙	tong qiang
铜墙铁壁	tong qiang tie bi
铜雀春深	tong que chun shen
统帅	tong shuai
投票	tou piao
偷袭徐州	tou xi xu zhou
涂炭	tu tan
宛城	wan cheng
宛城血战	wan cheng xue zhan
万象奔腾	wan xiang ben teng
王允	wang yun
围城焚粮	wei cheng fen liang
唯我	wei wo
唯我独尊	wei wo du zun
魏延	wei yan
威震	wei zhen
威震虎牢	wei zhen hu lao
威震西凉	wei zhen xi liang
