白羽衣紬	bai yu yi chou
胞衣星白	bao yi xing bai
彼方	bi fang
比山拉拉	bi shan la la
不死船员会	bu si chuan yuan hui
操纵士	cao zong shi
大原沙耶香	da yuan sha ye xiang
第四次奇居子防御战	di si ci qi ju zi fang yu zhan
逢坂良太	feng ban liang tai
丰崎爱生	feng qi ai sheng
谷风长道	gu feng chang dao
光合作用	guang he zuo yong
红天蛾	hong tian e
继卫	ji wei
假想训练装置	jia xiang xun lian zhuang zhi
金元寿子	jin yuan shou zi
科户濑	ke hu lai
科户濑伊札那	ke hu lai yi zha na
科户濑由蕾	ke hu lai you lei
落合	luo he
落合的补助脑	luo he de bu zhu nao
绿川缬	lv chuan xie
能登麻美子	neng deng ma mei zi
奇居子	qi ju zi
岐神海苔夫	qi shen hai tai fu
齐藤广树	qi teng guang shu
市谷蒂露露	shi gu di lu lu
水城	shui cheng
司令补	si ling bu
外生研	wai sheng yan
卫人	wei ren
希德尼娅	xi de ni ya
希德尼娅的骑士	xi de ni ya de qi shi
喜多村英梨	xi duo cun ying li
小鹅笛攻略战	xiao e di gong lue zhan
小林	xiao lin
小山力也	xiao shan li ye
新井里美	xin jing li mei
星白闲	xing bai xian
亚人种	ya ren zhong
伊札那	yi zha na
樱井孝宏	ying jing xiao hong
颖剌回收任务	ying la hui shou ren wu
仄炒	ze chao
仄烽	ze feng
仄姐妹	ze jie mei
仄炼	ze lian
仄炉	ze lu
仄焰	ze yan
洲崎绫	zhou qi ling
子安武人	zi an wu ren
