楚神乌列	chu shen wu lie
第三图书馆	di san tu shu guan
葛叶杏奈	ge ye xing nai
钩贯雷姆	gou guan lei mu
禁断的魔导书	jin duan de mo dao shu
近藤隆	jin teng long
立华林多	li hua lin duo
立华律香	li hua lv xiang
立华玛利亚	li hua ma li ya
林多	lin duo
铃木达央	ling mu da yang
罗恩	luo en
律香	lv xiang
木村昴	mu cun mao
南那城梅吉	nan na cheng mei ji
平川大辅	ping chuan da fu
齐藤壮马	qi teng zhuang ma
茜屋日海夏	qian wu ri hai xia
驱魔师	qu mo shi
山本和臣	shan ben he chen
山村响	shan cun xiang
四皇町	si huang ding
四皇学园	si huang xue yuan
松田利冴	song tian li hu
羽多野涉	yu duo ye she
与魔共舞	yu mo gong wu
枣坂四季	zao ban si ji
