艾米	ai mi
艾森纳赫流	ai sen na he liu
安济知佳	an ji zhi jia
安元洋贵	an yuan yang gui
崩力	beng li
彼方	bi fang
彼方英司	bi fang ying si
比奇	bi qi
藏合纱惠子	cang he sha hui zi
冲力坏射	chong li huai she
大森日雅	da sen ri ya
东山奈央	dong shan nai yang
多弹头歼灭雨	duo dan tou jian mie yu
二闪十杀	er shan shi sha
飞炎冲天击	fei yan chong tian ji
芙蕾雅	fu lei ya
芙蕾雅事件	fu lei ya shi jian
芙隆	fu long
芙隆弗拉梅尔	fu long fu la mei er
浮游都市	fu you du shi
盖尔惠特儿	gai er hui te er
古拉迪乌斯	gu la di wu si
黑之剑圣	hei zhi jian sheng
极光歼灭炮	ji guang jian mie pao
寂灭公主	ji mie gong zhu
绝空剑	jue kong jian
克雷格哈斯塔克	ke lei ge ha si ta ke
克莉斯	ke li si
克里斯蒂娜巴克霍恩	ke li si di na ba ke huo en
空穿的闪迹	kong chuan de shan ji
空战魔导士	kong zhan mo dao shi
空战魔导士候补生的教官	kong zhan mo dao shi hou bu sheng de jiao guan
蔻依	kou yi
蔻依瑟凡尼	kou yi se fan ni
拉丝格瑞丝	la si ge rui si
蕾克蒂艾森纳赫	lei ke di ai sen na he
蕾库迪	lei ku di
雷亚尔努亚	lei ya er nu ya
莉莉兰卡斯特	li li lan ka si te
栗子蛋糕	li zi dan gao
莉子弗拉梅尔	li zi fu la mei er
裂翔枪	lie xiang qiang
琉恩	liu en
洛伊德欧文	luo yi de ou wen
美空惠特儿	mei kong hui te er
密斯特岗	mi si te gang
魔甲虫	mo jia chong
魔剑士	mo jian shi
魔炮剑	mo pao jian
魔炮剑士	mo pao jian shi
魔炮仗	mo pao zhang
魔枪	mo qiang
魔枪士	mo qiang shi
魔双剑	mo shuang jian
木户衣吹	mu hu yi chui
女神	nv shen
排位战	pai wei zhan
叛徒	pan tu
齐藤次郎	qi teng ci lang
千里眼	qian li yan
三咲麻里	san xiao ma li
莎夏尼尔森	sha xia ni er sen
山本希望	shan ben xi wang
闪光剑	shan guang jian
山田悠希	shan tian you xi
上仓万实	shang cang wan shi
矢尾幸子	shi wei xing zi
柿原彻也	shi yuan che ye
收束魔炮	shou shu mo pao
松冈祯丞	song gang zhen cheng
索西惠特儿	suo xi hui te er
特务小队	te wu xiao dui
天羽羽斩	tian yu yu zhan
托里修拉	tuo li xiu la
西拉	xi la
小队	xiao dui
雅典娜	ya dian na
瑶光	yao guang
野水伊织	ye shui yi zhi
优莉	you li
优莉弗罗斯特尔	you li fu luo si te er
原优子	yuan you zi
斩空闪	zhan kong shan
支援科	zhi yuan ke
种田梨沙	zhong tian li sha
咒力	zhou li
奏多	zou duo
佐藤利奈	zuo teng li nai
