阿加特	a jia te
阿伊夏	a yi xia
艾卢迪尔	ai lu di er
艾丝蒂尔	ai si di er
艾斯蒂尔	ai si di er
奥利维尔	ao li wei er
草尾毅	cao wei yi
达尔克法克特	da er ke fa ke te
大河内雅子	da he nei ya zi
多奇	duo qi
盖修	gai xiu
轨迹系列	gui ji xi lie
进藤尚美	jin teng shang mei
近藤孝行	jin teng xiao xing
今野宏美	jin ye hong mei
金子英彦	jin zi ying yan
凯文格拉汉姆	kai wen ge la han mu
克鲁茨	ke lu ci
拉比	la bi
莉丝亚尔珍特	li si ya er zhen te
罗伊德	luo yi de
马场圭介	ma chang gui jie
咪西	mi xi
七星魔法使	qi xing mo fa shi
三上枝织	san shang zhi zhi
桑岛法子	sang dao fa zi
神田朱未	shen tian zhu wei
柿原彻也	shi yuan che ye
双星物语	shuang xing wu yu
水桥香织	shui qiao xiang zhi
提妲	ti da
缇欧普拉托	ti ou pu la tuo
田中秀幸	tian zhong xiu xing
屠龙剑	tu long jian
梶裕贵	wei yu gui
西原久美子	xi yuan jiu mei zi
小寺可南子	xiao si ke nan zi
兴津和幸	xing jin he xing
学园	xue yuan
亚妮拉丝	ya ni la si
亚特鲁	ya te lu
亚特鲁克里斯汀	ya te lu ke li si ting
伊苏系列	yi su xi lie
英雄传说系列	ying xiong chuan shuo xi lie
约修亚	yue xiu ya
斋贺弥月	zhai he mi yue
中尾良平	zhong wei liang ping
子安武人	zi an wu ren
佐藤拓也	zuo teng tuo ye
