阿斯特罗	a si te luo
安野希世乃	an ye xi shi nai
白石凉子	bai shi liang zi
赤羽根健治	chi yu gen jian zhi
此世之恶	ci shi zhi e
村咲馨	cun xiao xin
村咲薰	cun xiao xun
大空直美	da kong zhi mei
大浦冬华	da pu dong hua
多多良五十六	duo duo liang wu shi liu
恶性肿瘤	e xing zhong liu
飞城京儿	fei cheng jing er
菲欧娜兰温彻斯特	fei ou na lan wen che si te
国立幸	guo li xing
黑色标签	hei se biao qian
黑田崇矢	hei tian chong shi
护龙	hu long
嘉山未纱	jia shan wei sha
剑光姬	jian guang ji
近藤唯	jin teng wei
久川绫	jiu chuan ling
柩小夜	jiu xiao ye
橘田泉	ju tian quan
梨田织叶	li tian zhi ye
铃江好实	ling jiang hao shi
榴弹发射器	liu dan fa she qi
木场美琴	mu chang mei qin
浅野真澄	qian ye zhen cheng
犬鸣慎一郎	quan ming shen yi lang
三木真一郎	san mu zhen yi lang
三日月赫伦	san ri yue he lun
三日月堇	san ri yue jin
三神岚	san shen lan
失控偶像	shi kong ou xiang
手冢秀彰	shou zhong xiu zhang
双枪	shuang qiang
桃木野由宇	tao mu ye you yu
望月正宗	wang yue zheng zong
味里	wei li
狭雾友子	xia wu you zi
小凑雏子	xiao cou chu zi
幸田梦波	xing tian meng bo
星野贵纪	xing ye gui ji
野岛健儿	ye dao jian er
野水伊织	ye shui yi zhi
重机车	zhong ji che
佐藤节次	zuo teng jie ci
佐藤亚美菜	zuo teng ya mei cai
