艾库斯	ai ku si
柴来人	chai lai ren
超过人口审议研究所	chao guo ren kou shen yi yan jiu suo
超人	chao ren
超人课	chao ren ke
川岛得爱	chuan dao de ai
大川透	da chuan tou
尔朗	er lang
芳村兵马	fang cun bing ma
风郎太	feng lang tai
丰崎爱生	feng qi ai sheng
格罗斯欧根	ge luo si ou gen
鬼野笑美	gui ye xiao mei
会川升	hui chuan sheng
辉子	hui zi
混凝土革命超人幻想	hun ning tu ge ming chao ren huan xiang
吉尔朗	ji er lang
金尾哲夫	jin wei zhe fu
铃村健一	ling cun jian yi
青年尔朗	qing nian er lang
秋田大司	qiu tian da si
人吉尔朗	ren ji er lang
人吉孙竹	ren ji sun zhu
人吉孙竹博士	ren ji sun zhu bo shi
三木真一郎	san mu zhen yi lang
上坂堇	shang ban jin
神化	shen hua
神话时代	shen hua shi dai
石川界人	shi chuan jie ren
水岛精二	shui dao jing er
乌鲁	wu lu
星野辉子	xing ye hui zi
游星人	you xing ren
支援者	zhi yuan zhe
中村绘里子	zhong cun hui li zi
