敖子龙	ao zi long
白灵	bai ling
白雪	bai xue
必安	bi an
必清	bi qing
必同	bi tong
赑屃	bi xi
斌雪	bin xue
仇天鹅	chou tian e
纯阳指	chun yang zhi
大鹏鸟	da peng niao
道济	dao ji
地仙	di xian
痘神	dou shen
阿弥陀佛	e mi tuo fo
方丈	fang zhang
飞空斩	fei kong zhan
疯和尚	feng he shang
佛祖	fo zu
伏虎	fu hu
黑风	hei feng
红花	hong hua
洪天恩	hong tian en
幻影剑	huan ying jian
皇上	huang shang
活佛济公	huo fo ji gong
火灵珠	huo ling zhu
济公	ji gong
孔玉麟	kong yu lin
雷公电母	lei gong dian mu
冷冰心	leng bing xin
李修缘	li xiu yuan
亮灵	liang ling
罗汉翻天印	luo han fan tian yin
罗蜜藕	luo mi ou
绿姬	lv ji
媒婆	mei po
明珠	ming zhu
魔雷棒	mo lei bang
欧青山	ou qing shan
胖仙童	pang xian tong
乾坤洞主	qian kun dong zhu
宋婉仪	song wan yi
廋仙童	sou xian tong
降龙	xiang long
降龙十八掌	xiang long shi ba zhang
萧风	xiao feng
萧遥	xiao yao
小珍珠	xiao zhen zhu
星月	xing yue
修罗剑	xiu luo jian
修罗指	xiu luo zhi
雪女	xue nv
雪柔	xue rou
雪艳	xue yan
闫涛	yan tao
胭脂	yan zhi
玉衡仙子	yu heng xian zi
章小蕙	zhang xiao hui
珠儿	zhu er
朱丽月	zhu li yue
追云	zhui yun
