阿格布	a ge bu
部族首领	bu zu shou ling
蔡鹭	cai lu
曹卫宇	cao wei yu
曹英睿	cao ying rui
陈炳强	chen bing qiang
大端朝	da duan chao
窦骁	dou xiao
杜玉明	du yu ming
端明帝	duan ming di
端王朝	duan wang chao
端隐帝	duan yin di
帆拉凯色	fan la kai se
高叶	gao ye
孤松拓	gu song tuo
顾璇	gu xuan
韩朴俊	han pu jun
何杜娟	he du juan
赫兰部	he lan bu
赫兰刀	he lan dao
赫兰铁朵	he lan tie duo
赫兰铁辕	he lan tie yuan
河洛国国王	he luo guo guo wang
河洛王	he luo wang
和术红玲	he shu hong ling
黑森林	hei sen lin
红袍女巫	hong pao nv wu
侯伊荻	hou yi di
黄轩	huang xuan
会首	hui shou
霍政谚	huo zheng yan
姬公主	ji gong zhu
纪焕博	ji huan bo
贾海涛	jia hai tao
蒋勤勤	jiang qin qin
蒋毅	jiang yi
教养嬷嬷	jiao yang mo mo
蛟族首领	jiao zu shou ling
金珠海	jin zhu hai
靖公主	jing gong zhu
阚清子	kan qing zi
兰钰儿	lan yu er
李凯馨	li kai xin
李念	li nian
李心艾	li xin ai
李子峰	li zi feng
六皇子	liu huang zi
龙格丹珠	long ge dan zhu
龙格鲲	long ge kun
龙锦焕	long jin huan
芦芳生	lu fang sheng
马泽涵	ma ze han
魅灵	mei ling
湄音	mei yin
魅族	mei zu
穆如风	mu ru feng
穆如寒江	mu ru han jiang
穆如寒山	mu ru han shan
穆如屏	mu ru ping
穆如世家	mu ru shi jia
穆如槊	mu ru shuo
木原	mu yuan
牧云德	mu yun de
牧云寒	mu yun han
牧云合戈	mu yun he ge
牧云家族	mu yun jia zu
牧云陆	mu yun lu
牧云栾	mu yun luan
牧云勤	mu yun qin
牧云勤贵	mu yun qin gui
牧云笙	mu yun sheng
牧云严霜	mu yun yan shuang
南枯明仪	nan ku ming yi
南枯祺	nan ku qi
南枯月漓	nan ku yue li
女主君	nv zhu jun
盼兮	pan xi
彭冠英	peng guan ying
七皇子	qi huang zi
千鸿	qian hong
曲高位	qu gao wei
热依扎	re yi zha
萨满	sa man
侍读	shi du
矢野浩二	shi ye hao er
石云	shi yun
硕风部	shuo feng bu
硕风达	shuo feng da
硕风和叶	shuo feng he ye
硕风苏赫	shuo feng su he
苏嬷嬷	su mo mo
速沁部	su qin bu
速沁紫炎	su qin zi yan
苏语凝	su yu ning
孙坚	sun jian
孙正霖	sun zheng lin
天罗堂堂主	tian luo tang tang zhu
万茜	wan qian
宛州商会	wan zhou shang hui
王千源	wang qian yuan
王思思	wang si si
文咏珊	wen yong shan
徐璐	xu lu
虚魅	xu mei
雪狼王	xue lang wang
邺王	ye wang
银容	yin rong
游大庆	you da qing
俞灏明	yu hao ming
于战江	yu zhan jiang
翟小光	zhai xiao guang
张佳宁	zhang jia ning
张钧甯	zhang jun ning
张晓晨	zhang xiao chen
张棪琰	zhang yan yan
张瑶	zhang yao
张峪磊	zhang yu lei
郑伟	zheng wei
周奇	zhou qi
周一围	zhou yi wei
