阿澄佳奈	a cheng jia nai
辰己琉唯	chen ji liu wei
凤树	feng shu
冈本信彦	gang ben xin yan
高校星歌剧	gao xiao xing ge ju
虎石和泉	hu shi he quan
花江夏树	hua jiang xia shu
花形学科	hua xing xue ke
华樱会	hua ying hui
金元寿子	jin yuan shou zi
空闲愁	kong xian chou
朗斯贝里亚瑟	lang si bei li ya se
涟朔也	lian shuo ye
绫薙学园	ling ti xue yuan
卯川晶	mao chuan jing
那雪紬	na xue chou
那雪透	na xue tou
那雪优希	na xue you xi
内田雄马	nei tian xiong ma
鸟海浩辅	niao hai hao fu
平川大辅	ping chuan da fu
奇怪的学长	qi guai de xue zhang
前野智昭	qian ye zhi zhao
犬猿之仲	quan yuan zhi zhong
森久保祥太郎	sen jiu bao xiang tai lang
申渡荣吾	shen du rong wu
松冈祯丞	song gang zhen cheng
天花寺	tian hua si
天花寺翔	tian hua si xiang
细谷佳正	xi gu jia zheng
晓镜司	xiao jing si
小野贤章	xiao ye xian zhang
星谷悠太	xing gu you tai
兴津和幸	xing jin he xing
星路	xing lu
戌峰诚士郎	xu feng cheng shi lang
楪克里斯蒂安利恩	ye ke li si di an li en
音乐学科	yin yue xue ke
羽多野涉	yu duo ye she
月皇海斗	yue huang hai dou
月皇遥斗	yue huang yao dou
月皇组	yue huang zu
柊翼	zhong yi
子安武人	zi an wu ren
诹访部顺一	zou fang bu shun yi
