阿虚	a xu
北高文艺社	bei gao wen yi she
长门	chang men
长门有希	chang men you xi
朝比奈实玖瑠	chao bi nai shi jiu liu
朝仓凉子	chao cang liang zi
超能力者	chao neng li zhe
古泉一树	gu quan yi shu
光阳园	guang yang yuan
鹤屋学姐	he wu xue jie
后藤邑子	hou teng yi zi
凉宫春日	liang gong chun ri
凉宫春日的忧郁	liang gong chun ri de you yu
茅原实里	mao yuan shi li
平行世界	ping xing shi jie
平野绫	ping ye ling
桑谷夏子	sang gu xia zi
杉田智和	shan tian zhi he
师父	shi fu
实玖琉粉丝俱乐部	shi jiu liu fen si ju le bu
疏远的对象	shu yuan de dui xiang
松冈由贵	song gang you gui
外星人	wai xing ren
未来人	wei lai ren
喜绿江美里	xi lv jiang mei li
消失长门	xiao shi chang men
小野大辅	xiao ye da fu
异类	yi lei
