阿半	a ban
阿漕	a cao
阿真	a zhen
爱知天妇罗饭团	ai zhi tian fu luo fan tuan
白熊宽嗣	bai xiong kuan si
班卡拉	ban ka la
北多摩危机	bei duo mo wei ji
滨添伸也	bin tian shen ye
步华	bu hua
长谷川芳明	chang gu chuan fang ming
车持不比等	che chi bu bi deng
村上裕哉	cun shang yu zai
大伴贵将	da ban gui jiang
大川透	da chuan tou
大浦冬华	da pu dong hua
大原沙耶香	da yuan sha ye xiang
大冢明夫	da zhong ming fu
丹迪店长	dan di dian zhang
德弘早纪	de hong zao ji
东地宏树	dong di hong shu
东京大决战	dong jing da jue zhan
豆千代	dou qian dai
鳄鱼	e yu
冈山魔鬼	gang shan mo gui
高桥伸也	gao qiao shen ye
宫泽正	gong ze zheng
古城门志帆	gu cheng men zhi fan
古木望	gu mu wang
关智一	guan zhi yi
横山智佐	heng shan zhi zuo
花守由美里	hua shou you mei li
极道	ji dao
甲胄骑士	jia zhou qi shi
芥火龙之介	jie huo long zhi jie
结季贝	jie ji bei
津岛一三	jin dao yi san
金井美香	jin jing mei xiang
襟替	jin ti
久川绫	jiu chuan ling
九鬼温罗	jiu gui wen luo
酒吞童子	jiu tun tong zi
酒吞一派	jiu tun yi pai
菊志乃	ju zhi nai
濑户初枝	lai hu chu zhi
濑户勘太郎	lai hu kan tai lang
理香子	li xiang zi
铃本纪子	ling ben ji zi
铃本文	ling ben wen
铃鹿友龟	ling lu you gui
龙彦	long yan
马赫运转	ma he yun zhuan
美作桃	mei zuo tao
猛者	meng zhe
名余竹辉夜	ming yu zhu hui ye
名余竹月光	ming yu zhu yue guang
抹茶绿	mo cha lv
木村珠莉	mu cun zhu li
内藤有海	nei teng you hai
籾山藏之介	ni shan cang zhi jie
齐藤次郎	qi teng ci lang
齐藤贵美子	qi teng gui mei zi
祇园甲部花街	qi yuan jia bu hua jie
日高里菜	ri gao li cai
日吉町推进者	ri ji ding tui jin zhe
三重摩托	san chong mo tuo
三好安夫	san hao an fu
森友日向代	sen you ri xiang dai
森友望未	sen you wang wei
森友友守	sen you you shou
山本祥太	shan ben xiang tai
山下大辉	shan xia da hui
上田丽奈	shang tian li nai
烧团子店	shao tuan zi dian
神速手里剑	shen su shou li jian
胜生真沙子	sheng sheng zhen sha zi
辻亲八	shi qin ba
石作志麻	shi zuo zhi ma
手冢弘道	shou zhong hong dao
双塔骑士团	shuang ta qi shi tuan
水谷优子	shui gu you zi
所泽总统	suo ze zong tong
藤村步	teng cun bu
藤原春	teng yuan chun
藤原桃	teng yuan tao
田先生	tian xian sheng
田中敦子	tian zhong dun zi
万子	wan zi
望助	wang zhu
舞妓啪嗒啪嗒	wu ji pa da pa da
武器使女帝	wu qi shi nv di
五十岚裕美	wu shi lan yu mei
呜炭	wu tan
西村知道	xi cun zhi dao
细谷佳正	xi gu jia zheng
响逢衣	xiang feng yi
小坂结季奈	xiao ban jie ji nai
小达	xiao da
小吉	xiao ji
小懒	xiao lan
小咪	xiao mi
小西克幸	xiao xi ke xing
小泽亚李	xiao ze ya li
小真	xiao zhen
修罗车持	xiu luo che chi
旋转少女	xuan zhuan shao nv
伊贺忍者	yi he ren zhe
伊藤静	yi teng jing
一条美沙	yi tiao mei sha
音无由香里	yin wu you xiang li
音羽幸吉	yin yu xing ji
永冢拓马	yong zhong tuo ma
由美	you mei
宇德园	yu de yuan
宇德真茶未	yu de zhen cha wei
御好村	yu hao cun
鱼虎工房	yu hu gong fang
鱼虎姬子	yu hu ji zi
鱼虎守	yu hu shou
御园春香	yu yuan chun xiang
御园千绫	yu yuan qian ling
羽原秋	yu yuan qiu
月光石	yue guang shi
早见沙织	zao jian sha zhi
增田由纪	zeng tian you ji
战队片	zhan dui pian
真理夫	zhen li fu
真堂圭	zhen tang gui
执行玖仁子	zhi xing jiu ren zi
种田梨沙	zhong tian li sha
中原麻衣	zhong yuan ma yi
自警团	zi jing tuan
佐藤奏美	zuo teng zou mei
佐佐健太	zuo zuo jian tai
