阿部敦	a bu dun
暗杀者	an sha zhe
奥尔加	ao er jia
奥尔加珍宁	ao er jia zhen ning
巴斯蒂安	ba si di an
保志总一朗	bao zhi zong yi lang
布赖恩博士	bu lai en bo shi
草阴稜	cao yin ling
大川透	da chuan tou
大原沙耶香	da yuan sha ye xiang
第十七极东帝都管理区	di shi qi ji dong di du guan li qu
渡世术	du shi shu
风澄彻	feng cheng che
金元寿子	jin yuan shou zi
老虚	lao xu
雷米奥德纳	lei mi ao de na
龙胆静音	long dan jing yin
露莎	lu sha
罗汉堂旭	luo han tang xu
片桐镜华	pian tong jing hua
片桐镜磨	pian tong jing mo
片桐组	pian tong zu
枪神斯托拉塔斯	qiang shen si tuo la ta si
乔纳森西斯摩尔	qiao na sen xi si mo er
秋元羊介	qiu yuan yang jie
时空越境作战	shi kong yue jing zuo zhan
双枪激斗	shuang qiang ji dou
水树奈奈	shui shu nai nai
水潟九美	shui xi jiu mei
斯里尼瓦瑟森	si li ni wa se sen
藤田茜	teng tian qian
藤田咲	teng tian xiao
西田雅一	xi tian ya yi
小林由美子	xiao lin you mei zi
小山力也	xiao shan li ye
筱生茉莉	xiao sheng mo li
虚渊玄	xu yuan xuan
亚伦伯勒斯	ya lun bo le si
伊濑茉莉也	yi lai mo li ye
早见沙织	zao jian sha zhi
泽城美雪	ze cheng mei xue
真加部主水	zhen jia bu zhu shui
植田佳奈	zhi tian jia nai
子安武人	zi an wu ren
