阿尔	a er
阿尔弗里德玛卡曼	a er fu li de ma ka man
滨田贤二	bin tian xian er
柴田秀胜	chai tian xiu sheng
初多蒙	chu duo meng
村中知	cun zhong zhi
大桥彩香	da qiao cai xiang
靛蓝花园	dian lan hua yuan
凡特雷莫咖啡馆	fan te lei mo ka fei guan
菲丽雅	fei li ya
菲莉亚	fei li ya
菲莉雅	fei li ya
高桥李依	gao qiao li yi
惠那天城	hui na tian cheng
彗星路西法	hui xing lu xi fa
吉夫特矿石	ji fu te kuang shi
加尔福宗博伊尔	jia er fu zong bo yi er
加斯	jia si
加斯斯图尔特	jia si si tu er te
间岛淳司	jian dao chun si
江川央生	jiang chuan yang sheng
卡恩	ka en
卡恩兰切斯特	ka en lan qie si te
莉莉安安纳托利亚	li li an an na tuo li ya
利玛	li ma
利玛假说	li ma jia shuo
罗曼	luo man
罗曼瓦洛夫	luo man wa luo fu
玛尔维娜阿尼安斯	ma er wei na a ni an si
莫拉	mo la
莫利提卡切切斯乌拉	mo li ti ka qie qie si wu la
能登麻美子	neng deng ma mei zi
欧特	ou te
欧特莫托	ou te mo tuo
帕克	pa ke
帕特里克杨	pa te li ke yang
裘德普莱斯	qiu de pu lai si
三森铃子	san sen ling zi
三宅健太	san zhai jian tai
水濑祈	shui lai qi
寺岛拓笃	si dao tuo du
速水奖	su shui jiang
田村睦心	tian cun mu xin
文森特达德利	wen sen te da de li
小林裕介	xiao lin yu jie
因迪戈花园	yin di ge hua yuan
宗博伊尔	zong bo yi er
宗吾	zong wu
宗吾天城	zong wu tian cheng
诹访彩花	zou fang cai hua
